Set-up Sub Optics CS,Cutter,,,Set-up Sub Optics SR1,Cutter,,,Set-up Sub Optics SRM,Cutter,,,Set-up Sub Optics SRE,Cutter,,,,,,,,
,Drilling,,,,Drilling,,,,Drilling,,,,Drilling,,,,,,,,
,Grind,,,,Grind,,,,Grind,,,,Grind,,,,,,,,
,Saw,,,,Saw,,,,Saw,,,,Saw,,,,,,,,
,Saw Bench,,,,Saw Bench,,,,Saw Bench,,,,Saw Bench,,,,,,,,
,Saw Lenses,,,,Saw Lenses,,,,Saw Lenses,,,,Saw Lenses,,,,,,,,
,Subassembly,,,,Subassembly,,,,Subassembly,,,,Subassembly,,,,,,,,
,Single Saw,,,,Single Saw,,,,Single Saw,,,,Single Saw,,,,,,,,
Set-up Housing CS,Subassembly,,,Set-up Housing SR1,Subassembly,,,Set-up Housing SRM,Subassembly,,,Set-up Housing SRE,Subassembly,,,,,,,,
,Housing Assembly,20.67,,,Housing Assembly,,,,Housing Assembly,,,,Housing Assembly,,,,,,,,
Set-up MR,Drilling,4,,Set-up MR,Drilling,,,,,,,,,,,,,,,,
,Single Saw,4.85,,,Saw,,,,,,,,,,,,,,,,
Set-up Controls,Single Saw,,,Set-up Controls,Saw,,,,,,,,,,,,,,,,
,CNC,,,,CNC,,,,,,,,,,,,,,,,
Set-up End Feed,Drilling,,,Set-up End Feed,Drilling,,,,,,,,,,,,,,,,
Set-up Remote,Single Saw,,,Set-up Remote,Single Saw,,,,,,,,,,,,,,,,
,Subassembly,,,,Subassembly,,,,,,,,,,,,,,,,
Set-up CB,Single Saw,,,Set-up CB,Single Saw,,,,,,,,,,,,,,,,
,Drilling,,,,Drilling,,,,,,,,,,,,,,,,
,CNC,,,,CNC,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Operation,Work Center,Time,,Operation,Work Center,Time,,Operation,Work Center,Time,,Operation,Work Center,Time,,,,,,,
MS Time CS,Double Saw,3.329,,MS Time SR1,Double Saw,,,MS Time SRM,Double Saw,,,MS Time SRE,Double Saw,,,,,,,,
,Single Saw,,,,Single Saw,,,,Single Saw,,,,Single Saw,,,,,,,,
,CNC,,,,CNC,,,,CNC,,,,CNC,,,,,,,,
,Drill,,,,Drill,,,,Drill,,,,Drill,,,,,,,,
,Mill,,,,Mill,,,,Mill,,,,Mill,,,,,,,,
,Brake,,,,Brake,,,,Brake,,,,Brake,,,,,,,,
,Welding,,,,Welding,,,,Welding,,,,Welding,,,,,,,,
,Press Punch,,,,Press Punch,,,,Press Punch,,,,Press Punch,,,,,,,,
,Punch,0.38,,,Punch,,,,Punch,,,,Punch,,,,,,,,
Sub End C CS,Single Saw,,,Sub End C SR1,Single Saw,,,Sub End C SRM,Single Saw,,,Sub End C SRE,Single Saw,,,,,,,,
,Drill,,,,Drill,,,,Drill,,,,Drill,,,,,,,,
,Mill,,,,Mill,,,,Mill,,,,Mill,,,,,,,,
,Preparation,,,,Preparation,,,,Preparation,,,,Preparation,,,,,,,,
Sub End P CS,Drill,,,Sub End P SR1,Drill,,,Sub Optics SRM,Brake,,,Sub End P SRE,Drill,,,,,,,,
,MS Table,2.4,,,MS Table,,,,Drill,,,,MS Table,,,,,,,,
,Saw Lenses,0.52,,,Saw Lenses,,,,Grind,,,,Saw Lenses,,,,,,,,
Sub Optics CS,Brake,,,Sub Optics SR1,Brake,,,,Double Saw,,,Sub Optics SRE,Brake,,,,,,,,
,Drill,,,,Drill,,,,Saw Bench,,,,Drill,,,,,,,,
,Grind,,,,Grind,,,,Saw Lenses,,,,Grind,,,,,,,,
,Double Saw,,,,Double Saw,,,,Single Saw,,,,Double Saw,,,,,,,,
,Saw Bench,,,,Saw Bench,,,,Preparation,,,,Saw Bench,,,,,,,,
,Saw Lenses,,,,Saw Lenses,,,,Subassembly Lens Grid,,,,Saw Lenses,,,,,,,,
,Single Saw,,,,Single Saw,,,Housing SRM,Double Saw,,,,Single Saw,,,,,,,,
,Preparation,,,,Preparation,,,,Subassembly MS,,,,Preparation,,,,,,,,
,Subassembly Lens Grid,,,,Subassembly Lens Grid,,,,MS Table,,,,Subassembly Lens Grid,,,,,,,,
Housing CS,Double Saw,,,Housing SR1,Double Saw,,,,MS Jig,,,Housing SRE,Double Saw,,,,,,,,
,Subassembly MS,,,,Subassembly MS,,,,Assembly,,,,Subassembly MS,,,,,,,,
,MS Table,,,,MS Table,,,,Drill,,,,MS Table,,,,,,,,
,MS Jig,,,,MS Jig,,,Ballast Fixation,Assembly,,,,MS Jig,,,,,,,,
,Assembly,,,,Assembly,,,Light Connexion,Assembly,,,,Assembly,,,,,,,,
,Drill,,,,Drill,,,Power Connexion,Assembly,,,,Drill,,,,,,,,
Ballast Fixation,Assembly,1.74,,Ballast Fixation,Assembly,,,Exit Wires,Assembly,,,Ballast Fixation,Assembly,,,,,,,,
Light Connexion,Assembly,0.94,,Light Connexion,Assembly,,,Ballast/Driver,Preparation,,,Light Connexion,Assembly,,,,,,,,
Power Connexion,Assembly,2.18,,Power Connexion,Assembly,,,Cartridge 1 SRM,Subassembly LED,,,Power Connexion,Assembly,,,,,,,,
Exit Wires,Assembly,0.15,,Exit Wires,Assembly,,,Cartridge 2 SRM,Subassembly LED,,,Exit Wires,Assembly,,,,,,,,
Ballast/Driver,Preparation,2.795,,Ballast/Driver,Preparation,,,Cartridge 3 SRM,Subassembly LED,,,Ballast/Driver,Preparation,,,,,,,,
Cartridge 1 CS,Subassembly LED,2.836583333,,Cartridge 1 SR1,Subassembly LED,,,Board,Preparation,,,Cartridge 1 SR1,Subassembly LED,,,,,,,,
Cartridge 2 CS,Subassembly LED,2.143666667,,Cartridge 2 SR1,Subassembly LED,,,,Assembly,,,Cartridge 2 SR1,Subassembly LED,,,,,,,,
Cartridge 3 CS,Subassembly LED,,,Cartridge 3 SR1,Subassembly LED,,,Power Cord,Subassembly Wires,,,Cartridge 3 SR1,Subassembly LED,,,,,,,,
Board,Preparation,,,Board,Preparation,,,Screw Reflector,Preparation,,,Board,Preparation,,,,,,,,
,Assembly,,,,Assembly,,,,Assembly,,,,Assembly,,,,,,,,
Power Cord,Subassembly Wires,,,Power Cord,Subassembly Wires,,,Back Cover Plate,Assembly,,,Power Cord,Subassembly Wires,,,,,,,,
Screw Reflector,Preparation,,,Screw Reflector,Preparation,,,Hanger,Subassembly Hangers,,,Screw Reflector,Preparation,,,,,,,,
,Assembly,1.626666667,,,Assembly,,,,Assembly,,,,Assembly,,,,,,,,
Back Cover Plate,Assembly,,,Back Cover Plate,Assembly,,,Operational Test,Assembly,,,Back Cover Plate,Assembly,,,,,,,,
Hanger,Subassembly Hangers,,,Hanger,Subassembly Hangers,,,Label,Assembly,,,Hanger,Subassembly Hangers,,,,,,,,
,Assembly,,,,Assembly,,,Optic Direct,Preparation,,,,Assembly,,,,,,,,
End Cap,Preparation,,,End Cap,Preparation,,,,Assembly,,,End Cap,Preparation,,,,,,,,
,Assembly,,,,Assembly,,,Optic Indirect,Preparation,,,,Assembly,,,,,,,,
Operational Test,Assembly,0.2,,Operational Test,Assembly,,,,Assembly,,,Operational Test,Assembly,,,,,,,,
Label,Assembly,0.60,,Label,Assembly,,,Inspection,Assembly,,,Label,Assembly,,,,,,,,
Optic Direct,Preparation,,,Optic Direct,Preparation,,,,Preparation,,,Optic Direct,Preparation,,,,,,,,
,Assembly,,,,Assembly,,,Counterweight,Preparation,,,,Assembly,,,,,,,,
Optic Indirect,Preparation,,,Optic Indirect,Preparation,,,,Hacksaw,,,Optic Indirect,Preparation,,,,,,,,
,Assembly,,,,Assembly,,,Packaging,Assembly,,,,Assembly,,,,,,,,
Inspection,Assembly,,,Inspection,Assembly,,,,Packaging,,,Inspection,Assembly,,,,,,,,
,Preparation,,,,Preparation,,,Mounting Kits,CNC,,,,Preparation,,,,,,,,
Counterweight,Preparation,,,Counterweight,Preparation,,,,Mounting Kits,,,Counterweight,Preparation,,,,,,,,
,Hacksaw,,,,Hacksaw,,,,Press Punch,,,,Hacksaw,,,,,,,,
Packaging,Assembly,4.195,,Packaging,Assembly,,,,Hacksaw,,,Packaging,Assembly,,,,,,,,
,Packaging,1.18,,,Packaging,,,,Subassembly Lens Grid,,,,Packaging,,,,,,,,
Mounting Kits,CNC,,,Mounting Kits,CNC,,,,Subassembly MS,,,Mounting Kits,CNC,,,,,,,,
,Mounting Kits,1.2,,,Mounting Kits,,,,Double Saw,,,,Mounting Kits,,,,,,,,
,Press Punch,,,,Press Punch,,,Dust Cover,Preparation,,,,Press Punch,,,,,,,,
,Hacksaw,,,,Hacksaw,,,,Assembly,,,,Hacksaw,,,,,,,,
,Subassembly Lens Grid,,,,Subassembly Lens Grid,,,Chicago Plenium,Assembly,,,,Subassembly Lens Grid,,,,,,,,
,Subassembly MS,,,,Subassembly MS,,,,,,,,Subassembly MS,,,,,,,,
,Double Saw,,,,Double Saw,,,,,,,,Double Saw,,,,,,,,
Emergency,Assembly,,,Emergency,Assembly,,,,,,,Dust Cover,Preparation,,,,,,,,
,Punch,,,,Punch,,,,,,,,Assembly,,,,,,,,
,Subassembly Wires,,,,Subassembly Wires,,,,,,,Chicago Plenium,Assembly,,,,,,,,
GTD,Assembly,,,GTD,Assembly,,,,,,,,,,,,,,,,
,Drill,,,,Drill,,,,,,,,,,,,,,,,
,Preparation,,,,Preparation,,,,,,,,,,,,,,,,
Night Light,Assembly,,,Night Light,Assembly,,,,,,,,,,,,,,,,
,Subassembly Wires,,,,Subassembly Wires,,,,,,,,,,,,,,,,
MR,Assembly,3.251,,MR,Assembly,,,,,,,,,,,,,,,,
,Drill,0.88,,,Drill,,,,,,,,,,,,,,,,
,Single Saw,0.29,,,Single Saw,,,,,,,,,,,,,,,,
,Subassembly Wires,,,,Subassembly Wires,,,,,,,,,,,,,,,,
,Preparation,3.373,,,Preparation,,,,,,,,,,,,,,,,
Controls,Assembly,,,Controls,Assembly,,,,,,,,,,,,,,,,
,CNC,,,,CNC,,,,,,,,,,,,,,,,
,Single Saw,,,,Single Saw,,,,,,,,,,,,,,,,
,Preparation,,,,Preparation,,,,,,,,,,,,,,,,
End Feed,Assembly,,,End Feed,Assembly,,,,,,,,,,,,,,,,
,Drill,,,,Drill,,,,,,,,,,,,,,,,
,Preparation,,,,Preparation,,,,,,,,,,,,,,,,
Fuse,Assembly,,,Fuse,Assembly,,,,,,,,,,,,,,,,
,Preparation,,,,Preparation,,,,,,,,,,,,,,,,
ITS,Single Saw,,,ITS,Single Saw,,,,,,,,,,,,,,,,
,Drill,,,,Drill,,,,,,,,,,,,,,,,
,Preparation,,,,Preparation,,,,,,,,,,,,,,,,
Battery,Preparation,,,Battery,Preparation,,,,,,,,,,,,,,,,
,Assembly,,,,Assembly,,,,,,,,,,,,,,,,
Flexwhip,Assembly,,,Flexwhip,Assembly,,,,,,,,,,,,,,,,
,Preparation,,,,Preparation,,,,,,,,,,,,,,,,
Dust Cover,Preparation,,,Dust Cover,Preparation,,,,,,,,,,,,,,,,
,Assembly,,,,Assembly,,,,,,,,,,,,,,,,
Chicago Plenium,Assembly,,,Chicago Plenium,Assembly,,,,,,,,,,,,,,,,
Remote,Assembly,,,Remote,Assembly,,,,,,,,,,,,,,,,
,Packaging,,,,Packaging,,,,,,,,,,,,,,,,
,Double Saw,,,,Double Saw,,,,,,,,,,,,,,,,
,Single Saw,,,,Single Saw,,,,,,,,,,,,,,,,
,MS Table,,,,MS Table,,,,,,,,,,,,,,,,
,Mounting Kits,,,,Mounting Kits,,,,,,,,,,,,,,,,
Accent,Sub-Assembly,,,Accent,Sub-Assembly,,,,,,,,,,,,,,,,
,Assembly,,,,Assembly,,,,,,,,,,,,,,,,
TS,Sub-Assembly,,,TS,Sub-Assembly,,,,,,,,,,,,,,,,
,Assembly,,,,Assembly,,,,,,,,,,,,,,,,
,Packaging,,,,Packaging,,,,,,,,,,,,,,,,
,Mounting Kits,,,,Mounting Kits,,,,,,,,,,,,,,,,
CB,Assembly,,,CB,Assembly,,,,,,,,,,,,,,,,
,CNC,,,,CNC,,,,,,,,,,,,,,,,
,Grind,,,,Grind,,,,,,,,,,,,,,,,
,Single Saw,,,,Single Saw,,,,,,,,,,,,,,,,
,Subassembly LED,,,,Subassembly LED,,,,,,,,,,,,,,,,
,Drill,,,,Drill,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
TOTAL,Double Saw,3.329,,TOTAL,Double Saw,,,TOTAL,Double Saw,,,TOTAL,Double Saw,,,,,,,,
,Single Saw,0.29,,,Single Saw,,,,Single Saw,,,,Single Saw,,,,,,,,
,Saw Lenses,0.52,,,Saw Lenses,,,,Saw Lenses,,,,Saw Lenses,,,,,,,,
,Subassembly Lens Grid,,,,Subassembly Lens Grid,,,,Subassembly Lens Grid,,,,Subassembly Lens Grid,,,,,,,,
,Saw Bench,,,,Saw Bench,,,,Saw Bench,,,,Saw Bench,,,,,,,,
,CNC,,,,CNC,,,,CNC,,,,CNC,,,,,,,,
,Drill,0.88,,,Drill,,,,Drill,,,,Drill,,,,,,,,
,Mill,,,,Mill,,,,Mill,,,,Mill,,,,,,,,
,Punch,0.38,,,Punch,,,,Punch,,,,Punch,,,,,,,,
,Press Punch,,,,Press Punch,,,,Press Punch,,,,Press Punch,,,,,,,,
,Welding,,,,Welding,,,,Welding,,,,Welding,,,,,,,,
,Hacksaw,,,,Hacksaw,,,,Hacksaw,,,,Hacksaw,,,,,,,,
,Brake,,,,Brake,,,,Brake,,,,Brake,,,,,,,,
,MS Table,2.4,,,MS Table,,,,MS Table,,,,MS Table,,,,,,,,
,MS Jig,,,,MS Jig,,,,MS Jig,,,,MS Jig,,,,,,,,
,Grind,,,,Grind,,,,Grind,,,,Grind,,,,,,,,
,Subassembly MS,,,,Subassembly MS,,,,Subassembly MS,,,,Subassembly MS,,,,,,,,
,Assembly,14.28266667,,,Assembly,,,,Assembly,,,,Assembly,,,,,,,,
,Preparation,6.168,,,Preparation,,,,Preparation,,,,Preparation,,,,,,,,
,Subassembly LED,4.98025,,,Subassembly LED,,,,Subassembly LED,,,,Subassembly LED,,,,,,,,
,Subassembly Wires,,,,Subassembly Wires,,,,Subassembly Wires,,,,Subassembly Wires,,,,,,,,
,Subassembly Hangers,,,,Subassembly Hangers,,,,Subassembly Hangers,,,,Subassembly Hangers,,,,,,,,
,Mounting Kits,1.2,,,Mounting Kits,,,,Mounting Kits,,,,Mounting Kits,,,,,,,,
,Packaging,1.18,,,Packaging,,,,Packaging,,,,Packaging,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Double Saw,3.329,,,Machine Shop,7.799,,,"TOTAL VALUE-ADDED TIME
(min)",,,,STANDARD LABOR COST,,,,,,,,,
Single Saw,0.29,,,,,,,,,,,,,,,,,,,,
Saw Lenses,0.52,,,,,,,,,,,,,,,,,,,,
Subassembly Lens Grid,,,,,,,,35.60991667,,,, CAD 37.12 ,,,,,,,,,
Saw Bench,,,,,,,,,,,,,,,,TOTAL LABOR COST,,,,,
CNC,,,,,,,,,,,,,,,,,,,,,
Drill,0.88,,,,,,,,,,,,,,,,,,,,
Mill,,,,Subassembly,13.52825,,,,,,,,,,, CAD 73.95 ,,,,,
Punch,0.38,,,,,,,STANDARD TIME (min),,,,OVERHEAD,,,,,,,,,
Press Punch,,,,,,,,,,,,,,,,,,,,,
Welding,,,,,,,,,,,,,,,,,,,,,
Hacksaw,,,,,,,,124.6347083,,,, CAD 36.83 ,,,,,,,,,
Brake,,,,,,,,,,,,,,,,,,,,,
MS Table,2.4,,,,,,,,,,,,,,,,,,,,
MS Jig,,,,Final Assembly,14.28266667,,,,,,,,,,,,,,,,
Grind,,,,,,,,,,,,,,,,,,,,,
Subassembly MS,,,,,,,,,,,,,,,,,,,,,
Final Assembly,14.28266667,,,,,,,,,,,,,,,,,,,,
Preparation,6.168,,,,,,,,,,,,,,,,,,,,
Subassembly LED,4.98025,,,,,,,,,,,,,,,,,,,,
Subassembly Wires,,,,,,,,,,,,,,,,,,,,,
Subassembly Hangers,,,,,,,,,,,,,,,,,,,,,
Mounting Kits,1.2,,,,,,,,,,,,,,,,,,,,
Packaging,1.18,,,,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Sections/hour,,,,,,,,,,,,,
Double Saw,3.329,,,,Double Saw,3.329,,18,,,,,,,,,,,,,
Single Saw,0.29,,,,Single Saw,0.29,,207,,,,,,,,,,,,,
Saw Lenses,0.52,,,,Saw Lenses,0.52,,115,,,,,,,,,,,,,
CNC,,,,,CNC,,,,,,,,,,,,,,,,
Punch,0.38,,,,Punch,0.38,,158,,,,,,,,,,,,,
Welding,,,,,Welding,,,,,,,,,,,,,,,,
Body Assembly,6,,,,Body Assembly,6,,10,,,,,,,,,,,,,
Final Assembly,5.100952381,,,,Final Assembly,5.100952381,,12,,,,,,,,,,,,,
Subassembly LED,27.870625,,,,Subassembly LED,27.870625,,2,,,,,,,,,,,,,
Subassembly Wires,,,,,Subassembly Wires,,,,,,,,,,,,,,,,
