 Product ID , LIGHTING , Bracket/N Bracket , TASK , WORK CENTER , DESCRIPTION ,UNIT TIME (MIN),
 202FA , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 202FW , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 202FWA , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 AR , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 ARC , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 ARCA , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 ARCW , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 ARCWA , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 ARLED , led , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 ARS , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 ARSLED , led , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 ARW , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 ARWBT , fluorescent , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 ARWBTLED , led , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 ARWLED , led , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 B6 , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 B6D , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 B6DLED , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 B6DLEDPAT , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 B6DPAT , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 B6I , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 B6ILEDPAT , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 B6IPAT , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 B6LEDPAT , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 B6PAT , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 B6R , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 B6RLED , led , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 B6RLEDPAT , led , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 B6RPAT , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 B6RV , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 B6RVLED , led , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 B6S , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 B6SLED , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 B6SLEDPAT , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 B6SPAT , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 B6W , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 B6WD , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 B6WDLED , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 B6WDLEDPAT , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 B6WDPAT , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 B6WI , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 B6WILEDPAT , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 B6WIPAT , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 B6WLEDPAT , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 B6WPAT , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BAS , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 BASA , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 BASS , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 BASW , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 BASWA , fluorescent , Bracket , XO : 3 screws +2brkt , Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",1.65,
 BB , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BBD , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BBDILED , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BBDILEDPAT , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BBDLED , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BBDLEDPAT , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BBDPAT , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BBI , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BBILED , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BBILED2 , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BBILEDPAT , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BBIPAT , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BBLED2 , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BBLEDPAT , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BBPAT , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BBR , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 BBRLED , led , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 BBRLEDPAT , led , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 BBRPAT , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 BBRV , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 BBRVLED , led , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 BBS , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BBSLED , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BBSLEDPAT , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BBSPAT , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BBW , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BBWD , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BBWDILED , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BBWDLED , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BBWDLEDPAT , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BBWDPAT , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BBWI , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BBWILED , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BBWILEDPAT , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BBWIPAT , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BBWLEDPAT , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BBWPAT , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BD , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BDI , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BDIW , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BDLED , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BDLEDPAT , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BDPAT , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BI , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BILED , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BILEDPAT , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BIPAT , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BLEDPAT , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BMD , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BMDLED , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BMDLEDPAT , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BMDPAT , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BMI , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BMILED , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BMILEDPAT , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BMIPAT , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BMLEDPAT , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BMR , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 BMRLED , led , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 BMRLEDPAT , led , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 BMRPAT , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 BMRV , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 BMRVLED , led , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 BMS , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BMSLED , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BMSLEDPAT , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BMSPAT , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BMWD , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BMWDLED , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BMWDLEDPAT , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BMWDPAT , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BMWI , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BMWILED , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BMWILEDPAT , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BMWIPAT , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BMWLEDPAT , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BMWPAT , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BMWV , fluorescent , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BMWVLED , led , Bracket , sub brkt : 5 screws , Assembly ," take sub-assy, place in housing, 1st side=2 screws/brckt, screw 2nd brkt with grnd wire, screw ground eyelet to housing ",2.03,
 BR , fluorescent , N Bracket , on housing: 3screws , Assembly ," take sub-assy, place in housing, screw 1 side, screw 2nd side with grnd wire, screw ground eyelet to housing ",1.17,
 BRLED , led , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
 BRLEDPAT , led , N Bracket ," no brkt:2 nuts, 1 screw ", Assembly ," take sub-assy, place in housing, nut+washer 1 side, nut+washer 2nd side with grnd wire, screw ground eyelet to housing ",0.87,
