Section,Kind of Ballast/Driver,Circuit,B/D Qty,Wires Qty,Work Center,Option,Length,ID,Task,Unit Time (min),Qty,Total Time (min)
SR1,BI,2,2,4,Assembly,pcswsr1bi22,4,2,"take 4 wires, plug in connector, place, put tie-wrap",0.56,4,2.24
SR1,BI,2,2,4,Assembly,pcswsr1bi22,4,3,bring power wires to main exit,0.1,4,0.4
SR1,BI,2,2,4,Assembly,pcswsr1bi22,4,4,identify wires circuits,0.15,4,0.6
SR1,BI,2,2,4,Assembly,pcswsr1bi22,4,5,extra time to passing wires for XO housing,2.1,1,2.1
SR1,BI,2A/B,2,4,Assembly,pcswsr1bi22,4,1,plug connector on each 4 wires of 1 ballast,0.24,4,0.96
SR1,BI,2A/B,2,4,Assembly,pcswsr1bi22,4,2,"take 4 wires, plug in connector, place, put tie-wrap",0.56,4,2.24
SR1,BI,2A/B,2,4,Assembly,pcswsr1bi22,4,3,bring power wires to main exit,0.1,4,0.4
SR1,BI,2A/B,2,4,Assembly,pcswsr1bi22,4,4,identify wires circuits,0.15,4,0.6
SR1,BI,2A/B,2,4,Assembly,pcswsr1bi22,4,5,extra time to passing wires for XO housing,2.1,1,2.1
SRE,BI,1,1,4,Assembly,pcswsrebi11,4,1,bring power wires to main exit,0.1,1,0.1
SRE,BI,1,1,4,Assembly,pcswsrebi11,4,2,extra time to passing wires for XO housing,0.03,1,0.03
SRE,BI,1,2,4,Assembly,pcswsrebi12,4,1,connect 2 ballasts together (4 wires each),0.48,1,0.48
SRE,BI,1,2,4,Assembly,pcswsrebi12,4,2,"take 4 wires, plug in connector, place, put tie-wrap",0.56,1,0.56
SRE,BI,1,2,4,Assembly,pcswsrebi12,4,3,bring power wires to main exit,0.1,1,0.1
SRE,BI,1,2,4,Assembly,pcswsrebi12,4,4,extra time to passing wires for XO housing,0.57,1,0.57
SRE,BI,2,2,4,Assembly,pcswsrebi22,4,1,bring wires to exit for system-run,0.1,2,0.2
SRE,BI,2,2,4,Assembly,pcswsrebi22,4,1,bring power wires to main exit ,0.1,2,0.2
SRE,BI,2,2,4,Assembly,pcswsrebi22,4,2,identify wires circuits,0.15,2,0.3
SRE,BI,2,2,4,Assembly,pcswsrebi22,4,3,extra time to passing wires for XO housing,0.25,1,0.25
SRE,BI,2A/B,2,4,Assembly,pcswsrebi22,4,1,bring wires to exit for system-run,0.1,2,0.2
SRE,BI,2A/B,2,4,Assembly,pcswsrebi22,4,1,bring power wires to main exit ,0.1,2,0.2
SRE,BI,2A/B,2,4,Assembly,pcswsrebi22,4,2,identify wires circuits,0.15,2,0.3
SRE,BI,2A/B,2,4,Assembly,pcswsrebi22,4,3,extra time to passing wires for XO housing,0.25,1,0.25
SRM,BI,1,1,4,Assembly,pcswsrmbi11,4,1,plug connector on each 4 wires of 1 ballast,0.24,1,0.24
SRM,BI,1,1,4,Assembly,pcswsrmbi11,4,2,"take 4 wires, plug in connector, place, put tie-wrap",0.56,2,1.12
SRM,BI,1,1,4,Assembly,pcswsrmbi11,4,3,bring power wires to main exit,0.1,1,0.1
SRM,BI,1,1,4,Assembly,pcswsrmbi11,4,4,bring wires to exit for system-run,0.1,1,0.1
SRM,BI,1,1,4,Assembly,pcswsrmbi11,4,5,extra time to passing wires for XO housing,0.39,1,0.39
SRM,BI,1,2,4,Assembly,pcswsrmbi12,4,1,connect 2 ballasts together (4 wires each),0.48,1,0.48
SRM,BI,1,2,4,Assembly,pcswsrmbi12,4,2,"take 4 wires, plug in connector, place, put tie-wrap",0.56,2,1.12
SRM,BI,1,2,4,Assembly,pcswsrmbi12,4,3,bring power wires to main exit,0.1,1,0.1
SRM,BI,1,2,4,Assembly,pcswsrmbi12,4,4,bring wires to exit for system-run,0.1,1,0.1
SRM,BI,1,2,4,Assembly,pcswsrmbi12,4,5,extra time to passing wires for XO housing,0.9,1,0.9
SRM,BI,2,2,4,Assembly,pcswsrmbi22,4,1,plug connector on each 4 wires of 1 ballast,0.24,4,0.96
SRM,BI,2,2,4,Assembly,pcswsrmbi22,4,2,"take 4 wires, plug in connector, place, put tie-wrap",0.56,4,2.24
SRM,BI,2,2,4,Assembly,pcswsrmbi22,4,3,bring power wires to main exit,0.1,4,0.4
SRM,BI,2,2,4,Assembly,pcswsrmbi22,4,4,identify wires circuits,0.15,4,0.6
SRM,BI,2,2,4,Assembly,pcswsrmbi22,4,5,extra time to passing wires for XO housing,2.1,1,2.1
SRM,BI,2A/B,2,4,Assembly,pcswsrmbi22,4,1,plug connector on each 4 wires of 1 ballast,0.24,4,0.96
SRM,BI,2A/B,2,4,Assembly,pcswsrmbi22,4,2,"take 4 wires, plug in connector, place, put tie-wrap",0.56,4,2.24
SRM,BI,2A/B,2,4,Assembly,pcswsrmbi22,4,3,bring power wires to main exit,0.1,4,0.4
SRM,BI,2A/B,2,4,Assembly,pcswsrmbi22,4,4,identify wires circuits,0.15,4,0.6
SRM,BI,2A/B,2,4,Assembly,pcswsrmbi22,4,5,extra time to passing wires for XO housing,2.1,1,2.1
Complete Section,BI,1,3,4,Assembly,pcswcsbi13,8,1,connect 2 ballasts together (4 wires each),0.48,1,0.48
Complete Section,BI,1,3,4,Assembly,pcswcsbi13,8,2,connect 1 ballast(4 wires) to 2 previous ballast,0.24,1,0.24
Complete Section,BI,1,3,4,Assembly,pcswcsbi13,8,3,"take 4 wires, plug in connector, place, put tie-wrap",0.56,1,0.56
Complete Section,BI,1,3,4,Assembly,pcswcsbi13,8,4,bring power wires to main exit,0.15,1,0.15
Complete Section,BI,1,3,4,Assembly,pcswcsbi13,8,5,extra time to passing wires for XO housing,0.72,1,0.72
Complete Section,BI,1,4,4,Assembly,pcswcsbi14,8,1,connect 2 ballasts together (4 wires each),0.48,2,0.96
Complete Section,BI,1,4,4,Assembly,pcswcsbi14,8,2,connect 2 groups of ballasts together (4 wires each),0.6,1,0.6
Complete Section,BI,1,4,4,Assembly,pcswcsbi14,8,3,"take 4 wires, plug in connector, place, put tie-wrap",0.56,1,0.56
Complete Section,BI,1,4,4,Assembly,pcswcsbi14,8,4,bring power wires to main exit,0.15,1,0.15
Complete Section,BI,1,4,4,Assembly,pcswcsbi14,8,5,extra time to passing wires for XO housing,1.14,1,1.14
Complete Section,BI,1,1,4,Assembly,pcswcsbi11,12,1,bring power wires to main exit,0.1,1,0.1
Complete Section,BI,1,1,4,Assembly,pcswcsbi11,12,2,extra time to passing wires for XO housing,0.05,1,0.05
Complete Section,BI,1,2,4,Assembly,pcswcsbi12,12,1,connect 2 ballasts together (4 wires each),0.48,1,0.48
Complete Section,BI,1,2,4,Assembly,pcswcsbi12,12,2,"take 4 wires, plug in connector, place, put tie-wrap",0.56,1,0.56
Complete Section,BI,1,2,4,Assembly,pcswcsbi12,12,3,bring power wires to main exit,0.2,1,0.2
Complete Section,BI,1,3,4,Assembly,pcswcsbi13,12,1,connect 2 ballasts together (4 wires each),0.48,1,0.48
Complete Section,BI,1,3,4,Assembly,pcswcsbi13,12,2,connect 1 ballast(4 wires) to 2 previous ballast,0.24,1,0.24
Complete Section,BI,1,3,4,Assembly,pcswcsbi13,12,3,"take 4 wires, plug in connector, place, put tie-wrap",0.56,1,0.56
Complete Section,BI,1,3,4,Assembly,pcswcsbi13,12,4,bring power wires to main exit,0.2,1,0.2
Complete Section,BI,1,3,4,Assembly,pcswcsbi13,12,5,extra time to passing wires for XO housing,0.74,1,0.74
Complete Section,BI,1,4,4,Assembly,pcswcsbi14,12,1,connect 2 ballasts together (4 wires each),0.48,2,0.96
Complete Section,BI,1,4,4,Assembly,pcswcsbi14,12,2,connect 2 groups of ballasts together (4 wires each),0.6,1,0.6
Complete Section,BI,1,4,4,Assembly,pcswcsbi14,12,3,"take 4 wires, plug in connector, place, put tie-wrap",0.56,1,0.56
Complete Section,BI,1,4,4,Assembly,pcswcsbi14,12,4,bring power wires to main exit,0.2,1,0.2
Complete Section,BI,1,4,4,Assembly,pcswcsbi14,12,5,extra time to passing wires for XO housing,1.16,1,1.16
Complete Section,BI,1,5,4,Assembly,pcswcsbi15,12,1,connect 2 ballasts together (4 wires each),0.48,2,0.96
Complete Section,BI,1,5,4,Assembly,pcswcsbi15,12,2,connect 2 groups of ballasts together (4 wires each),0.6,1,0.6
Complete Section,BI,1,5,4,Assembly,pcswcsbi15,12,3,connect 1 ballast(4 wires) to 2 previous ballast,0.24,1,0.24
Complete Section,BI,1,5,4,Assembly,pcswcsbi15,12,4,"take 4 wires, plug in connector, place, put tie-wrap",0.56,1,0.56
Complete Section,BI,1,5,4,Assembly,pcswcsbi15,12,5,bring power wires to main exit,0.2,1,0.2
Complete Section,BI,1,5,4,Assembly,pcswcsbi15,12,6,extra time to passing wires for XO housing,1.28,1,1.28
Complete Section,BI,1,6,4,Assembly,pcswcsbi16,12,1,connect 2 ballasts together (4 wires each),0.48,3,1.44
SR1,BI,1,1,4,Assembly,pcswsr1bi11,8,1,plug connector on each 4 wires of 1 ballast,0.24,1,0.24
SR1,BI,1,1,4,Assembly,pcswsr1bi11,8,1,"take 4 wires, plug in connector, place, put tie-wrap",0.56,2,1.12
SR1,BI,1,1,4,Assembly,pcswsr1bi11,8,1,bring power wires to main exit,0.15,1,0.15
SR1,BI,1,1,4,Assembly,pcswsr1bi11,8,1,bring wires to exit for system-run,0.15,1,0.15
SR1,BI,1,1,4,Assembly,pcswsr1bi11,8,2,"take 4 wires, plug in connector, place, put tie-wrap",0.56,2,1.12
SR1,BI,1,1,4,Assembly,pcswsr1bi11,8,3,bring power wires to main exit,0.15,1,0.15
SR1,BI,1,1,4,Assembly,pcswsr1bi11,8,4,bring wires to exit for system-run,0.15,1,0.15
SR1,BI,1,1,4,Assembly,pcswsr1bi11,8,5,extra time to passing wires for XO housing,0.42,1,0.42
SR1,BI,1,2,4,Assembly,pcswsr1bi12,8,1,connect 2 ballasts together (4 wires each),0.48,1,0.48
SR1,BI,1,2,4,Assembly,pcswsr1bi12,8,2,"take 4 wires, plug in connector, place, put tie-wrap",0.56,2,1.12
SR1,BI,1,2,4,Assembly,pcswsr1bi12,8,3,bring power wires to main exit,0.15,1,0.15
SR1,BI,1,2,4,Assembly,pcswsr1bi12,8,4,bring wires to exit for system-run,0.15,1,0.15
SR1,BI,1,2,4,Assembly,pcswsr1bi12,8,5,extra time to passing wires for XO housing,0.95,1,0.95
SR1,BI,1,3,4,Assembly,pcswsr1bi13,8,1,connect 2 ballasts together (4 wires each),0.48,1,0.48
SR1,BI,1,3,4,Assembly,pcswsr1bi13,8,2,connect 1 ballast(4 wires) to 2 previous ballast,0.24,1,0.24
SR1,BI,1,3,4,Assembly,pcswsr1bi13,8,3,"take 4 wires, plug in connector, place, put tie-wrap",0.56,2,1.12
SR1,BI,1,3,4,Assembly,pcswsr1bi13,8,4,bring power wires to main exit,0.15,1,0.15
SR1,BI,1,3,4,Assembly,pcswsr1bi13,8,5,bring wires to exit for system-run,0.15,1,0.15
SR1,BI,1,3,4,Assembly,pcswsr1bi13,8,6,extra time to passing wires for XO housing,1.07,1,1.07
SR1,BI,1,4,4,Assembly,pcswsr1bi14,8,1,connect 2 ballasts together (4 wires each),0.48,2,0.96
SR1,BI,1,4,4,Assembly,pcswsr1bi14,8,2,connect 2 groups of ballasts together (4 wires each),0.6,1,0.6
SR1,BI,1,4,4,Assembly,pcswsr1bi14,8,3,"take 4 wires, plug in connector, place, put tie-wrap",0.56,2,1.12
SR1,BI,1,4,4,Assembly,pcswsr1bi14,8,4,bring power wires to main exit,0.15,1,0.15
SR1,BI,1,4,4,Assembly,pcswsr1bi14,8,5,bring wires to exit for system-run,0.15,1,0.15
SR1,BI,1,4,4,Assembly,pcswsr1bi14,8,6,extra time to passing wires for XO housing,1.49,1,1.49
SR1,BI,2,2,4,Assembly,pcswsr1bi22,8,1,plug connector on each 4 wires of 1 ballast,0.24,2,0.48
SR1,BI,2,2,4,Assembly,pcswsr1bi22,8,2,"take 4 wires, plug in connector, place, put tie-wrap",0.56,4,2.24
SR1,BI,2,2,4,Assembly,pcswsr1bi22,8,3,bring power wires to main exit,0.15,2,0.3
SR1,BI,2,2,4,Assembly,pcswsr1bi22,8,4,identify wires circuits,0.15,4,0.6
SR1,BI,2,2,4,Assembly,pcswsr1bi22,8,5,bring wires to exit for system-run,0.15,2,0.3
SR1,BI,2,2,4,Assembly,pcswsr1bi22,8,6,extra time to passing wires for XO housing,2.08,1,2.08
SR1,BI,2,4,4,Assembly,pcswsr1bi24,8,1,connect 2 ballasts together (4 wires each),0.48,2,0.96
SR1,BI,2,4,4,Assembly,pcswsr1bi24,8,2,"take 4 wires, plug in connector, place, put tie-wrap",0.56,4,2.24
SR1,BI,2,4,4,Assembly,pcswsr1bi24,8,3,bring power wires to main exit,0.15,2,0.3
SR1,BI,2,4,4,Assembly,pcswsr1bi24,8,4,identify wires circuits,0.15,4,0.6
SR1,BI,2,4,4,Assembly,pcswsr1bi24,8,5,bring wires to exit for system-run,0.15,2,0.3
SR1,BI,2,4,4,Assembly,pcswsr1bi24,8,6,extra time to passing wires for XO housing,2.2,1,2.2
SR1,BI,2A/B,2,4,Assembly,pcswsr1bi22,8,1,plug connector on each 4 wires of 1 ballast,0.24,2,0.48
SR1,BI,2A/B,2,4,Assembly,pcswsr1bi22,8,2,"take 4 wires, plug in connector, place, put tie-wrap",0.56,4,2.24
SR1,BI,2A/B,2,4,Assembly,pcswsr1bi22,8,3,bring power wires to main exit,0.15,2,0.3
SR1,BI,2A/B,2,4,Assembly,pcswsr1bi22,8,4,identify wires circuits,0.15,4,0.6
SR1,BI,2A/B,2,4,Assembly,pcswsr1bi22,8,5,bring wires to exit for system-run,0.15,2,0.3
SR1,BI,2A/B,2,4,Assembly,pcswsr1bi22,8,6,extra time to passing wires for XO housing,2.08,1,2.08
SR1,BI,2A/B,4,4,Assembly,pcswsr1bi24,8,1,connect 2 ballasts together (4 wires each),0.48,2,0.96
SR1,BI,2A/B,4,4,Assembly,pcswsr1bi24,8,2,"take 4 wires, plug in connector, place, put tie-wrap",0.56,4,2.24
SR1,BI,2A/B,4,4,Assembly,pcswsr1bi24,8,3,bring power wires to main exit,0.15,2,0.3
SR1,BI,2A/B,4,4,Assembly,pcswsr1bi24,8,4,identify wires circuits,0.15,4,0.6
SR1,BI,2A/B,4,4,Assembly,pcswsr1bi24,8,5,bring wires to exit for system-run,0.15,2,0.3
SR1,BI,2A/B,4,4,Assembly,pcswsr1bi24,8,6,extra time to passing wires for XO housing,2.2,1,2.2
SRE,BI,1,1,4,Assembly,pcswsrebi11,8,1,bring power wires to main exit,0.15,1,0.15
SRE,BI,1,1,4,Assembly,pcswsrebi11,8,2,extra time to passing wires for XO housing,0.04,1,0.04
SRE,BI,1,2,4,Assembly,pcswsrebi12,8,1,connect 2 ballasts together (4 wires each),0.48,1,0.48
SRE,BI,1,2,4,Assembly,pcswsrebi12,8,2,"take 4 wires, plug in connector, place, put tie-wrap",0.56,1,0.56
SRE,BI,1,2,4,Assembly,pcswsrebi12,8,3,bring power wires to main exit,0.15,1,0.15
SRE,BI,1,2,4,Assembly,pcswsrebi12,8,4,extra time to passing wires for XO housing,0.6,1,0.6
SRE,BI,1,3,4,Assembly,pcswsrebi13,8,1,connect 2 ballasts together (4 wires each),0.48,1,0.48
SRE,BI,1,3,4,Assembly,pcswsrebi13,8,2,connect 1 ballast(4 wires) to 2 previous ballast,0.24,1,0.24
SRE,BI,1,3,4,Assembly,pcswsrebi13,8,3,"take 4 wires, plug in connector, place, put tie-wrap",0.56,1,0.56
SRE,BI,1,3,4,Assembly,pcswsrebi13,8,4,bring power wires to main exit,0.15,1,0.15
SRE,BI,1,3,4,Assembly,pcswsrebi13,8,5,extra time to passing wires for XO housing,0.72,1,0.72
SRE,BI,1,4,4,Assembly,pcswsrebi14,8,1,connect 2 ballasts together (4 wires each),0.48,2,0.96
SRE,BI,1,4,4,Assembly,pcswsrebi14,8,2,connect 2 groups of ballasts together (4 wires each),0.6,1,0.6
SRE,BI,1,4,4,Assembly,pcswsrebi14,8,3,"take 4 wires, plug in connector, place, put tie-wrap",0.56,1,0.56
SRE,BI,1,4,4,Assembly,pcswsrebi14,8,4,bring power wires to main exit,0.15,1,0.15
SRE,BI,1,4,4,Assembly,pcswsrebi14,8,5,extra time to passing wires for XO housing,1.14,1,1.14
SRE,BI,2,2,4,Assembly,pcswsrebi22,8,1,bring wires to exit for system-run,0.15,2,0.3
SRE,BI,2,2,4,Assembly,pcswsrebi22,8,1,bring power wires to main exit,0.15,2,0.3
SRE,BI,2,2,4,Assembly,pcswsrebi22,8,2,identify wires circuits,0.15,2,0.3
SRE,BI,2,2,4,Assembly,pcswsrebi22,8,3,extra time to passing wires for XO housing,0.3,1,0.3
SRE,BI,2,4,4,Assembly,pcswsrebi24,8,1,connect 2 ballasts together (4 wires each),0.48,2,0.96
SRE,BI,2,4,4,Assembly,pcswsrebi24,8,2,"take 4 wires, plug in connector, place, put tie-wrap",0.56,2,1.12
SRE,BI,2,4,4,Assembly,pcswsrebi24,8,3,bring wires to exit for system-run,0.15,2,0.3
SRE,BI,2,4,4,Assembly,pcswsrebi24,8,3,bring power wires to main exit,0.15,2,0.3
SRE,BI,2,4,4,Assembly,pcswsrebi24,8,4,identify wires circuits,0.15,2,0.3
SRE,BI,2,4,4,Assembly,pcswsrebi24,8,5,extra time to passing wires for XO housing,1.34,1,1.34
SRE,BI,2A/B,2,4,Assembly,pcswsrebi22,8,1,bring wires to exit for system-run,0.15,2,0.3
SRE,BI,2A/B,2,4,Assembly,pcswsrebi22,8,1,bring power wires to main exit,0.15,2,0.3
SRE,BI,2A/B,2,4,Assembly,pcswsrebi22,8,2,identify wires circuits,0.15,2,0.3
SRE,BI,2A/B,2,4,Assembly,pcswsrebi22,8,3,extra time to passing wires for XO housing,0.3,1,0.3
SRE,BI,2A/B,4,4,Assembly,pcswsrebi24,8,1,connect 2 ballasts together (4 wires each),0.48,2,0.96
SRE,BI,2A/B,4,4,Assembly,pcswsrebi24,8,2,"take 4 wires, plug in connector, place, put tie-wrap",0.56,2,1.12
SRE,BI,2A/B,4,4,Assembly,pcswsrebi24,8,3,bring wires to exit for system-run,0.15,2,0.3
SRE,BI,2A/B,4,4,Assembly,pcswsrebi24,8,3,bring power wires to main exit,0.15,2,0.3
SRE,BI,2A/B,4,4,Assembly,pcswsrebi24,8,4,identify wires circuits,0.15,2,0.3
SRE,BI,2A/B,4,4,Assembly,pcswsrebi24,8,5,extra time to passing wires for XO housing,1.34,1,1.34
SRM,BI,1,1,4,Assembly,pcswsrmbi11,8,1,plug connector on each 4 wires of 1 ballast,0.24,1,0.24
SRM,BI,1,1,4,Assembly,pcswsrmbi11,8,1,"take 4 wires, plug in connector, place, put tie-wrap",0.56,2,1.12
SRM,BI,1,1,4,Assembly,pcswsrmbi11,8,1,bring power wires to main exit,0.15,1,0.15
SRM,BI,1,1,4,Assembly,pcswsrmbi11,8,1,bring wires to exit for system-run,0.15,1,0.15
SRM,BI,1,1,4,Assembly,pcswsrmbi11,8,2,"take 4 wires, plug in connector, place, put tie-wrap",0.56,2,1.12
SRM,BI,1,1,4,Assembly,pcswsrmbi11,8,3,bring power wires to main exit,0.15,1,0.15
SRM,BI,1,1,4,Assembly,pcswsrmbi11,8,4,bring wires to exit for system-run,0.15,1,0.15
SRM,BI,1,1,4,Assembly,pcswsrmbi11,8,5,extra time to passing wires for XO housing,0.42,1,0.42
SRM,BI,1,2,4,Assembly,pcswsrmbi12,8,1,connect 2 ballasts together (4 wires each),0.48,1,0.48
SRM,BI,1,2,4,Assembly,pcswsrmbi12,8,2,"take 4 wires, plug in connector, place, put tie-wrap",0.56,2,1.12
SRM,BI,1,2,4,Assembly,pcswsrmbi12,8,3,bring power wires to main exit,0.15,1,0.15
SRM,BI,1,2,4,Assembly,pcswsrmbi12,8,4,bring wires to exit for system-run,0.15,1,0.15
SRM,BI,1,2,4,Assembly,pcswsrmbi12,8,5,extra time to passing wires for XO housing,0.95,1,0.95
SRM,BI,1,3,4,Assembly,pcswsrmbi13,8,1,connect 2 ballasts together (4 wires each),0.48,1,0.48
SRM,BI,1,3,4,Assembly,pcswsrmbi13,8,2,connect 1 ballast(4 wires) to 2 previous ballast,0.24,1,0.24
SRM,BI,1,3,4,Assembly,pcswsrmbi13,8,3,"take 4 wires, plug in connector, place, put tie-wrap",0.56,2,1.12
SRM,BI,1,3,4,Assembly,pcswsrmbi13,8,4,bring power wires to main exit,0.15,1,0.15
SRM,BI,1,3,4,Assembly,pcswsrmbi13,8,5,bring wires to exit for system-run,0.15,1,0.15
SRM,BI,1,3,4,Assembly,pcswsrmbi13,8,6,extra time to passing wires for XO housing,1.07,1,1.07
SRM,BI,1,4,4,Assembly,pcswsrmbi14,8,1,connect 2 ballasts together (4 wires each),0.48,2,0.96
SRM,BI,1,4,4,Assembly,pcswsrmbi14,8,2,connect 2 groups of ballasts together (4 wires each),0.6,1,0.6
SRM,BI,1,4,4,Assembly,pcswsrmbi14,8,3,"take 4 wires, plug in connector, place, put tie-wrap",0.56,2,1.12
SRM,BI,1,4,4,Assembly,pcswsrmbi14,8,4,bring power wires to main exit,0.15,1,0.15
SRM,BI,1,4,4,Assembly,pcswsrmbi14,8,5,bring wires to exit for system-run,0.15,1,0.15
SRM,BI,1,4,4,Assembly,pcswsrmbi14,8,6,extra time to passing wires for XO housing,1.49,1,1.49
SRM,BI,2,2,4,Assembly,pcswsrmbi22,8,1,plug connector on each 4 wires of 1 ballast,0.24,2,0.48
SRM,BI,2,2,4,Assembly,pcswsrmbi22,8,2,"take 4 wires, plug in connector, place, put tie-wrap",0.56,4,2.24
SRM,BI,2,2,4,Assembly,pcswsrmbi22,8,3,bring power wires to main exit,0.15,2,0.3
SRM,BI,2,2,4,Assembly,pcswsrmbi22,8,4,identify wires circuits,0.15,4,0.6
SRM,BI,2,2,4,Assembly,pcswsrmbi22,8,5,bring wires to exit for system-run,0.15,2,0.3
SRM,BI,2,2,4,Assembly,pcswsrmbi22,8,6,extra time to passing wires for XO housing,2.08,1,2.08
SRM,BI,2,4,4,Assembly,pcswsrmbi24,8,1,connect 2 ballasts together (4 wires each),0.48,2,0.96
SRM,BI,2,4,4,Assembly,pcswsrmbi24,8,2,"take 4 wires, plug in connector, place, put tie-wrap",0.56,4,2.24
SRM,BI,2,4,4,Assembly,pcswsrmbi24,8,3,bring power wires to main exit,0.15,2,0.3
SRM,BI,2,4,4,Assembly,pcswsrmbi24,8,4,identify wires circuits,0.15,4,0.6
SRM,BI,2,4,4,Assembly,pcswsrmbi24,8,5,bring wires to exit for system-run,0.15,2,0.3
SRM,BI,2,4,4,Assembly,pcswsrmbi24,8,6,extra time to passing wires for XO housing,2.2,1,2.2
SRM,BI,2A/B,2,4,Assembly,pcswsrmbi22,8,1,plug connector on each 4 wires of 1 ballast,0.24,2,0.48
SRM,BI,2A/B,2,4,Assembly,pcswsrmbi22,8,2,"take 4 wires, plug in connector, place, put tie-wrap",0.56,4,2.24
SRM,BI,2A/B,2,4,Assembly,pcswsrmbi22,8,3,bring power wires to main exit,0.15,2,0.3
SRM,BI,2A/B,2,4,Assembly,pcswsrmbi22,8,4,identify wires circuits,0.15,4,0.6
SRM,BI,2A/B,2,4,Assembly,pcswsrmbi22,8,5,bring wires to exit for system-run,0.15,2,0.3
SRM,BI,2A/B,2,4,Assembly,pcswsrmbi22,8,6,extra time to passing wires for XO housing,2.08,1,2.08
SRM,BI,2A/B,4,4,Assembly,pcswsrmbi24,8,1,connect 2 ballasts together (4 wires each),0.48,2,0.96
SRM,BI,2A/B,4,4,Assembly,pcswsrmbi24,8,2,"take 4 wires, plug in connector, place, put tie-wrap",0.56,4,2.24
SRM,BI,2A/B,4,4,Assembly,pcswsrmbi24,8,3,bring power wires to main exit,0.15,2,0.3
SRM,BI,2A/B,4,4,Assembly,pcswsrmbi24,8,4,identify wires circuits,0.15,4,0.6
SRM,BI,2A/B,4,4,Assembly,pcswsrmbi24,8,5,bring wires to exit for system-run,0.15,2,0.3
SRM,BI,2A/B,4,4,Assembly,pcswsrmbi24,8,6,extra time to passing wires for XO housing,2.2,1,2.2
-,BI,1,1,4,Assembly,pcswcsbi11,11,1,bring power wires to main exit,0.1,1,0.1
-,BI,1,2,4,Assembly,pcswcsbi12,11,1,connect 2 ballasts together (4 wires each),0.48,1,0.48
-,BI,1,2,4,Assembly,pcswcsbi12,11,2,"take 4 wires, plug in connector, place, put tie-wrap",0.56,1,0.56
-,BI,1,2,4,Assembly,pcswcsbi12,11,3,bring power wires to main exit,0.1,1,0.1
-,BI,2,2,4,Assembly,pcswcsbi22,11,1,bring power wires to main exit ,0.1,2,0.2
-,BI,2,2,4,Assembly,pcswcsbi22,11,2,identify wires circuits,0.15,2,0.3
-,BI,2,1,4,Assembly,pcswcsbi22,11,1,bring power wires to main exit ,0.1,2,0.2
-,BI,2,1,4,Assembly,pcswcsbi22,11,2,identify wires circuits,0.15,2,0.3
