Fixture Type,Work Center,Lamp Qty,Option,ID,Task,Time(min),,,,,,,,,
recessed,CNC,1,optioncbrs,4,"lamp support : drill 0.144"" ground hole(1x)",1.01,,,,,,,,,
recessed,CNC,1,optioncbrs,5,"lamp support : drill 0.3/32"" lamp hole(2x)",1.17,,,,,,,,,
recessed,CNC,1,optioncbrs,10,face plat:drill & countersink lamp hole (on 8ft long extrusion),1.4,,,,,,,,,
recessed,CNC,1,optioncbrs,11,turn & make 2 slots on 1st side of face plate,0.89,,,,,,,,,
recessed,CNC,1,optioncbrs,12,turn & make 2 slots on 2nd side of face plate,0.95,,,,,,,,,
recessed,CNC,2,optioncbrs,2,"lamp support : drill 0.437"" hole(1x)",2.02,,,,,,,,,
recessed,CNC,2,optioncbrs,3,"lamp support : drill 0.687"" countersink hole(1x)",2.02,,,,,,,,,
recessed,CNC,2,optioncbrs,4,"lamp support : drill 0.144"" ground hole(1x)",2.02,,,,,,,,,
recessed,CNC,2,optioncbrs,5,"lamp support : drill 0.3/32"" lamp hole(2x)",2.34,,,,,,,,,
recessed,CNC,2,optioncbrs,10,face plat:drill & countersink lamp hole (on 8ft long extrusion),2.8,,,,,,,,,
recessed,CNC,2,optioncbrs,11,turn & make 2 slots on 1st side of face plate,1.78,,,,,,,,,
recessed,CNC,2,optioncbrs,12,turn & make 2 slots on 2nd side of face plate,1.9,,,,,,,,,
recessed,CNC,3,optioncbrs,2,"lamp support : drill 0.437"" hole(1x)",3.03,,,,,,,,,
recessed,CNC,3,optioncbrs,3,"lamp support : drill 0.687"" countersink hole(1x)",3.03,,,,,,,,,
recessed,CNC,3,optioncbrs,4,"lamp support : drill 0.144"" ground hole(1x)",3.03,,,,,,,,,
recessed,CNC,3,optioncbrs,5,"lamp support : drill 0.3/32"" lamp hole(2x)",3.51,,,,,,,,,
recessed,CNC,3,optioncbrs,10,face plat:drill & countersink lamp hole (on 8ft long extrusion),4.2,,,,,,,,,
recessed,CNC,3,optioncbrs,11,turn & make 2 slots on 1st side of face plate,2.67,,,,,,,,,
recessed,CNC,3,optioncbrs,12,turn & make 2 slots on 2nd side of face plate,2.85,,,,,,,,,
recessed,CNC,4,optioncbrs,2,"lamp support : drill 0.437"" hole(1x)",4.04,,,,,,,,,
recessed,CNC,4,optioncbrs,3,"lamp support : drill 0.687"" countersink hole(1x)",4.04,,,,,,,,,
recessed,CNC,4,optioncbrs,4,"lamp support : drill 0.144"" ground hole(1x)",4.04,,,,,,,,,
recessed,CNC,4,optioncbrs,5,"lamp support : drill 0.3/32"" lamp hole(2x)",4.68,,,,,,,,,
recessed,CNC,4,optioncbrs,10,face plat:drill & countersink lamp hole (on 8ft long extrusion),5.6,,,,,,,,,
recessed,CNC,4,optioncbrs,11,turn & make 2 slots on 1st side of face plate,3.56,,,,,,,,,
recessed,CNC,4,optioncbrs,12,turn & make 2 slots on 2nd side of face plate,3.8,,,,,,,,,
surface,CNC,1,optioncbrs,2,"lamp support : drill 0.437"" hole(1x)",1.01,,,,,,,,,
surface,CNC,1,optioncbrs,3,"lamp support : drill 0.687"" countersink hole(1x)",1.01,,,,,,,,,
surface,CNC,1,optioncbrs,4,"lamp support : drill 0.144"" ground hole(1x)",1.01,,,,,,,,,
surface,CNC,1,optioncbrs,5,"lamp support : drill 0.3/32"" lamp hole(2x)",1.17,,,,,,,,,
surface,CNC,1,optioncbrs,10,face plat:drill & countersink lamp hole (on 8ft long extrusion),1.4,,,,,,,,,
surface,CNC,1,optioncbrs,11,turn & make 2 slots on 1st side of face plate,0.89,,,,,,,,,
surface,CNC,1,optioncbrs,12,turn & make 2 slots on 2nd side of face plate,0.95,,,,,,,,,
surface,CNC,2,optioncbrs,2,"lamp support : drill 0.437"" hole(1x)",2.02,,,,,,,,,
surface,CNC,2,optioncbrs,3,"lamp support : drill 0.687"" countersink hole(1x)",2.02,,,,,,,,,
surface,CNC,2,optioncbrs,4,"lamp support : drill 0.144"" ground hole(1x)",2.02,,,,,,,,,
surface,CNC,2,optioncbrs,5,"lamp support : drill 0.3/32"" lamp hole(2x)",2.34,,,,,,,,,
surface,CNC,2,optioncbrs,10,face plat:drill & countersink lamp hole (on 8ft long extrusion),2.8,,,,,,,,,
surface,CNC,2,optioncbrs,11,turn & make 2 slots on 1st side of face plate,1.78,,,,,,,,,
surface,CNC,2,optioncbrs,12,turn & make 2 slots on 2nd side of face plate,1.9,,,,,,,,,
surface,CNC,3,optioncbrs,2,"lamp support : drill 0.437"" hole(1x)",3.03,,,,,,,,,
surface,CNC,3,optioncbrs,3,"lamp support : drill 0.687"" countersink hole(1x)",3.03,,,,,,,,,
surface,CNC,3,optioncbrs,4,"lamp support : drill 0.144"" ground hole(1x)",3.03,,,,,,,,,
surface,CNC,3,optioncbrs,5,"lamp support : drill 0.3/32"" lamp hole(2x)",3.51,,,,,,,,,
surface,CNC,3,optioncbrs,10,face plat:drill & countersink lamp hole (on 8ft long extrusion),4.2,,,,,,,,,
surface,CNC,3,optioncbrs,11,turn & make 2 slots on 1st side of face plate,2.67,,,,,,,,,
surface,CNC,3,optioncbrs,12,turn & make 2 slots on 2nd side of face plate,2.85,,,,,,,,,
surface,CNC,4,optioncbrs,2,"lamp support : drill 0.437"" hole(1x)",4.04,,,,,,,,,
surface,CNC,4,optioncbrs,3,"lamp support : drill 0.687"" countersink hole(1x)",4.04,,,,,,,,,
surface,CNC,4,optioncbrs,4,"lamp support : drill 0.144"" ground hole(1x)",4.04,,,,,,,,,
surface,CNC,4,optioncbrs,5,"lamp support : drill 0.3/32"" lamp hole(2x)",4.68,,,,,,,,,
surface,CNC,4,optioncbrs,10,face plat:drill & countersink lamp hole (on 8ft long extrusion),5.6,,,,,,,,,
surface,CNC,4,optioncbrs,11,turn & make 2 slots on 1st side of face plate,3.56,,,,,,,,,
surface,CNC,4,optioncbrs,12,turn & make 2 slots on 2nd side of face plate,3.8,,,,,,,,,
pendant,CNC,1,optioncbpw,1,drill 2-1-1holes+ 1 countersink lamp support,4.2,,,,,,,,,
pendant,CNC,1,optioncbpw,6,drill & countersink lamp hole (on 8ft long extrusion),1.4,,,,,,,,,
pendant,CNC,1,optioncbpw,7,turn & make 2 slots on 1st side of face plate,0.89,,,,,,,,,
pendant,CNC,1,optioncbpw,8,turn & make 2 slots on 2nd side of face plate,0.95,,,,,,,,,
pendant,CNC,2,optioncbpw,1,drill 2-1-1holes+ 1 countersink lamp support,0.476,,,,,,,,,
pendant,CNC,2,optioncbpw,6,drill & countersink lamp hole (on 8ft long extrusion),2.8,,,,,,,,,
pendant,CNC,2,optioncbpw,7,turn & make 2 slots on 1st side of face plate,1.78,,,,,,,,,
pendant,CNC,2,optioncbpw,8,turn & make 2 slots on 2nd side of face plate,1.9,,,,,,,,,
pendant,CNC,3,optioncbpw,1,drill 2-1-1holes+ 1 countersink lamp support,0.714,,,,,,,,,
pendant,CNC,3,optioncbpw,6,drill & countersink lamp hole (on 8ft long extrusion),4.2,,,,,,,,,
pendant,CNC,3,optioncbpw,7,turn & make 2 slots on 1st side of face plate,2.67,,,,,,,,,
pendant,CNC,3,optioncbpw,8,turn & make 2 slots on 2nd side of face plate,2.85,,,,,,,,,
pendant,CNC,4,optioncbpw,1,drill 2-1-1holes+ 1 countersink lamp support,0.952,,,,,,,,,
pendant,CNC,4,optioncbpw,6,drill & countersink lamp hole (on 8ft long extrusion),5.6,,,,,,,,,
pendant,CNC,4,optioncbpw,7,turn & make 2 slots on 1st side of face plate,3.56,,,,,,,,,
pendant,CNC,4,optioncbpw,8,turn & make 2 slots on 2nd side of face plate,3.8,,,,,,,,,
wall,CNC,1,optioncbpw,1,drill 2-1-1holes+ 1 countersink lamp support,4.2,,,,,,,,,
wall,CNC,1,optioncbpw,6,drill & countersink lamp hole (on 8ft long extrusion),1.4,,,,,,,,,
wall,CNC,1,optioncbpw,7,turn & make 2 slots on 1st side of face plate,0.89,,,,,,,,,
wall,CNC,1,optioncbpw,8,turn & make 2 slots on 2nd side of face plate,0.95,,,,,,,,,
wall,CNC,2,optioncbpw,1,drill 2-1-1holes+ 1 countersink lamp support,0.476,,,,,,,,,
wall,CNC,2,optioncbpw,6,drill & countersink lamp hole (on 8ft long extrusion),2.8,,,,,,,,,
wall,CNC,2,optioncbpw,7,turn & make 2 slots on 1st side of face plate,1.78,,,,,,,,,
wall,CNC,2,optioncbpw,8,turn & make 2 slots on 2nd side of face plate,1.9,,,,,,,,,
wall,CNC,3,optioncbpw,1,drill 2-1-1holes+ 1 countersink lamp support,0.714,,,,,,,,,
wall,CNC,3,optioncbpw,6,drill & countersink lamp hole (on 8ft long extrusion),4.2,,,,,,,,,
wall,CNC,3,optioncbpw,7,turn & make 2 slots on 1st side of face plate,2.67,,,,,,,,,
wall,CNC,3,optioncbpw,8,turn & make 2 slots on 2nd side of face plate,2.85,,,,,,,,,
wall,CNC,4,optioncbpw,1,drill 2-1-1holes+ 1 countersink lamp support,0.952,,,,,,,,,
wall,CNC,4,optioncbpw,6,drill & countersink lamp hole (on 8ft long extrusion),5.6,,,,,,,,,
wall,CNC,4,optioncbpw,7,turn & make 2 slots on 1st side of face plate,3.56,,,,,,,,,
wall,CNC,4,optioncbpw,8,turn & make 2 slots on 2nd side of face plate,3.8,,,,,,,,,
recessed,Drill,1,optioncbrs,7,lamp support :thread 2 holes for lamp,0.62,,,,,,,,,
recessed,Drill,1,optioncbrs,8,lamp support :drill 5 holes on side,0.95,,,,,,,,,
recessed,Drill,1,optioncbrs,9,lamp support : thread 5 sides holes,0.88,,,,,,,,,
recessed,Drill,2,optioncbrs,7,lamp support :thread 2 holes for lamp,1.24,,,,,,,,,
recessed,Drill,2,optioncbrs,8,lamp support :drill 5 holes on side,1.9,,,,,,,,,
recessed,Drill,2,optioncbrs,9,lamp support : thread 5 sides holes,1.76,,,,,,,,,
recessed,Drill,3,optioncbrs,7,lamp support :thread 2 holes for lamp,1.86,,,,,,,,,
recessed,Drill,3,optioncbrs,8,lamp support :drill 5 holes on side,2.85,,,,,,,,,
recessed,Drill,3,optioncbrs,9,lamp support : thread 5 sides holes,2.64,,,,,,,,,
recessed,Drill,4,optioncbrs,7,lamp support :thread 2 holes for lamp,2.48,,,,,,,,,
recessed,Drill,4,optioncbrs,8,lamp support :drill 5 holes on side,3.8,,,,,,,,,
recessed,Drill,4,optioncbrs,9,lamp support : thread 5 sides holes,3.52,,,,,,,,,
surface,Drill,1,optioncbrs,7,lamp support :thread 2 holes for lamp,0.62,,,,,,,,,
surface,Drill,1,optioncbrs,8,lamp support :drill 5 holes on side,0.95,,,,,,,,,
surface,Drill,1,optioncbrs,9,lamp support : thread 5 sides holes,0.88,,,,,,,,,
surface,Drill,2,optioncbrs,7,lamp support :thread 2 holes for lamp,1.24,,,,,,,,,
surface,Drill,2,optioncbrs,8,lamp support :drill 5 holes on side,1.9,,,,,,,,,
surface,Drill,2,optioncbrs,9,lamp support : thread 5 sides holes,1.76,,,,,,,,,
surface,Drill,3,optioncbrs,7,lamp support :thread 2 holes for lamp,1.86,,,,,,,,,
surface,Drill,3,optioncbrs,8,lamp support :drill 5 holes on side,2.85,,,,,,,,,
surface,Drill,3,optioncbrs,9,lamp support : thread 5 sides holes,2.64,,,,,,,,,
surface,Drill,4,optioncbrs,7,lamp support :thread 2 holes for lamp,2.48,,,,,,,,,
surface,Drill,4,optioncbrs,8,lamp support :drill 5 holes on side,3.8,,,,,,,,,
surface,Drill,4,optioncbrs,9,lamp support : thread 5 sides holes,3.52,,,,,,,,,
pendant,Drill,1,optioncbpw,3,thread 2 holes for lamp on lamp support,0.62,,,,,,,,,
pendant,Drill,1,optioncbpw,4,drill 5 holes on side of lamp support,0.95,,,,,,,,,
pendant,Drill,1,optioncbpw,5,thread 5 sides holes on lamp support,0.88,,,,,,,,,
pendant,Drill,2,optioncbpw,3,thread 2 holes for lamp on lamp support,1.24,,,,,,,,,
pendant,Drill,2,optioncbpw,4,drill 5 holes on side of lamp support,1.9,,,,,,,,,
pendant,Drill,2,optioncbpw,5,thread 5 sides holes on lamp support,1.76,,,,,,,,,
pendant,Drill,3,optioncbpw,3,thread 2 holes for lamp on lamp support,1.86,,,,,,,,,
pendant,Drill,3,optioncbpw,4,drill 5 holes on side of lamp support,2.85,,,,,,,,,
pendant,Drill,3,optioncbpw,5,thread 5 sides holes on lamp support,2.64,,,,,,,,,
pendant,Drill,4,optioncbpw,3,thread 2 holes for lamp on lamp support,2.48,,,,,,,,,
pendant,Drill,4,optioncbpw,4,drill 5 holes on side of lamp support,3.8,,,,,,,,,
pendant,Drill,4,optioncbpw,5,thread 5 sides holes on lamp support,3.52,,,,,,,,,
wall,Drill,1,optioncbpw,3,thread 2 holes for lamp on lamp support,0.62,,,,,,,,,
wall,Drill,1,optioncbpw,4,drill 5 holes on side of lamp support,0.95,,,,,,,,,
wall,Drill,1,optioncbpw,5,thread 5 sides holes on lamp support,0.88,,,,,,,,,
wall,Drill,2,optioncbpw,3,thread 2 holes for lamp on lamp support,1.24,,,,,,,,,
wall,Drill,2,optioncbpw,4,drill 5 holes on side of lamp support,1.9,,,,,,,,,
wall,Drill,2,optioncbpw,5,thread 5 sides holes on lamp support,1.76,,,,,,,,,
wall,Drill,3,optioncbpw,3,thread 2 holes for lamp on lamp support,1.86,,,,,,,,,
wall,Drill,3,optioncbpw,4,drill 5 holes on side of lamp support,2.85,,,,,,,,,
wall,Drill,3,optioncbpw,5,thread 5 sides holes on lamp support,2.64,,,,,,,,,
wall,Drill,4,optioncbpw,3,thread 2 holes for lamp on lamp support,2.48,,,,,,,,,
wall,Drill,4,optioncbpw,4,drill 5 holes on side of lamp support,3.8,,,,,,,,,
wall,Drill,4,optioncbpw,5,thread 5 sides holes on lamp support,3.52,,,,,,,,,
recessed,Grind,1,optioncbrs,14,polish slot & lamp opening,0.81,,,,,,,,,
recessed,Grind,2,optioncbrs,14,polish slot & lamp opening,1.62,,,,,,,,,
recessed,Grind,3,optioncbrs,14,polish slot & lamp opening,2.43,,,,,,,,,
recessed,Grind,4,optioncbrs,14,polish slot & lamp opening,3.24,,,,,,,,,
surface,Grind,1,optioncbrs,14,polish slot & lamp opening,0.81,,,,,,,,,
surface,Grind,2,optioncbrs,14,polish slot & lamp opening,1.62,,,,,,,,,
surface,Grind,3,optioncbrs,14,polish slot & lamp opening,2.43,,,,,,,,,
surface,Grind,4,optioncbrs,14,polish slot & lamp opening,3.24,,,,,,,,,
pendant,Grind,1,optioncbpw,10,polish slot & lamp opening,0.81,,,,,,,,,
pendant,Grind,2,optioncbpw,10,polish slot & lamp opening,1.62,,,,,,,,,
pendant,Grind,3,optioncbpw,10,polish slot & lamp opening,2.43,,,,,,,,,
pendant,Grind,4,optioncbpw,10,polish slot & lamp opening,3.24,,,,,,,,,
wall,Grind,1,optioncbpw,10,polish slot & lamp opening,0.81,,,,,,,,,
wall,Grind,2,optioncbpw,10,polish slot & lamp opening,1.62,,,,,,,,,
wall,Grind,3,optioncbpw,10,polish slot & lamp opening,2.43,,,,,,,,,
wall,Grind,4,optioncbpw,10,polish slot & lamp opening,3.24,,,,,,,,,
recessed,Single Saw,1,optioncbrs,1,"lamp support : saw 102"" extrusion in 2",0.238,,,,,,,,,
recessed,Single Saw,1,optioncbrs,6,lamp support : saw in unit,0.95,,,,,,,,,
recessed,Single Saw,1,optioncbrs,13,"saw face plate in 5"" section",0.82,,,,,,,,,
recessed,Single Saw,2,optioncbrs,1,"lamp support : saw 102"" extrusion in 2",0.476,,,,,,,,,
recessed,Single Saw,2,optioncbrs,6,lamp support : saw in unit,1.9,,,,,,,,,
recessed,Single Saw,2,optioncbrs,13,"saw face plate in 5"" section",1.64,,,,,,,,,
recessed,Single Saw,3,optioncbrs,1,"lamp support : saw 102"" extrusion in 2",0.714,,,,,,,,,
recessed,Single Saw,3,optioncbrs,6,lamp support : saw in unit,2.85,,,,,,,,,
recessed,Single Saw,3,optioncbrs,13,"saw face plate in 5"" section",2.46,,,,,,,,,
recessed,Single Saw,4,optioncbrs,1,"lamp support : saw 102"" extrusion in 2",0.952,,,,,,,,,
recessed,Single Saw,4,optioncbrs,6,lamp support : saw in unit,3.8,,,,,,,,,
recessed,Single Saw,4,optioncbrs,13,"saw face plate in 5"" section",3.28,,,,,,,,,
surface,Single Saw,1,optioncbrs,1,"lamp support : saw 102"" extrusion in 2",0.238,,,,,,,,,
surface,Single Saw,1,optioncbrs,6,lamp support : saw in unit,0.95,,,,,,,,,
surface,Single Saw,1,optioncbrs,13,"saw face plate in 5"" section",0.82,,,,,,,,,
surface,Single Saw,2,optioncbrs,1,"lamp support : saw 102"" extrusion in 2",0.476,,,,,,,,,
surface,Single Saw,2,optioncbrs,6,lamp support : saw in unit,1.9,,,,,,,,,
