,Length,Complete Section,Cartridge 1,Cartridge 2,Cartridge 3,,Length (feet),SR1,SRM,SRE,Cartridge 1 SR1,Cartridge 2 SR1,Cartridge 3 SR1,Cartridge 1 SRM,Cartridge 2 SRM,Cartridge 3 SRM,Cartridge 1 SRE,Cartridge 2 SRE,Cartridge 3 SRE,,Wires Qty,,,System Run Circuit,,,,,,Ballast/Driver Qty,,,,,,,,,,,,,,,,,,,,
,,,,,,,36,12,12,12,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,,,,,,,,,,,led,direct,2A/B,8,,leddirect2A/B8,2,,,,TB15,,,,,,SLC,,,,
,,,,,,,37,8,12,5,C6-2,C6-2,,C6-2,C6-2,C6-2,C4-3,C1-6,,,,,,,,,,,,led,direct,2A/B,12,,leddirect2A/B12,3,,,,TB9,,,,,,SO,,,,
,,,,,,,38,8,12,6,C6-2,C6-2,,C6-2,C6-2,C6-2,C6-2,C6-1,,,,,,,,,,,,led,indirect,2A/B,4,,ledindirect2A/B4,2,,,,TG15,,,,,,SS,,,,
,,,,,,,39,8,12,7,C6-2,C6-2,,C6-2,C6-2,C6-2,C1-17,C1-11,,,,,,,,,,,,led,indirect,2A/B,8,,ledindirect2A/B8,2,,,,TG9,,,,,,SSD,,,,
,,,,,,,40,8,12,8,C6-2,C6-2,,C6-2,C6-2,C6-2,C6-2,C6-2,,,,,,,,,,,,led,indirect,2A/B,12,,ledindirect2A/B12,3,,,,,,,,,,SW,,,,
,,,,,,,41,12,12,5,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C4-3,C1-6,,,,,,,,,,,,fluorescent,direct,1,4,1,fluorescentdirect114,1,,,,,,,,,,VL,,,,
,,,,,,,42,12,12,6,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-1,,,,,,,,,,,,fluorescent,direct,1,4,2,fluorescentdirect124,1,,,,,,,,,,WW,,,,
,,,,,,,43,12,12,7,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C1-17,C1-11,,,,,,,,,,,,fluorescent,direct,1,4,3,fluorescentdirect134,2,,,,,,,,,,ML,,,,
,,,,,,,44,12,12,8,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,,,,,,,,,,,,fluorescent,direct,1,4,4,fluorescentdirect144,2,,,,,,,,,,MSO,,,,
,,,,,,,45,12,12,9,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C4-3,C7-2,C1-7,,,,,,,,,,,fluorescent,indirect,1,4,1,fluorescentindirect114,1,,,,,,,,,,0.25G,,,,
,,,,,,,46,12,12,10,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-1,,,,,,,,,,,fluorescent,indirect,1,4,2,fluorescentindirect124,1,,,,,,,,,,L,,,,
,,,,,,,47,12,12,11,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C1-21,C7-2,C2-3,,,,,,,,,,,fluorescent,indirect,1,4,3,fluorescentindirect134,2,,,,,,,,,,SLA,,,,
,,,,,,,48,12,12,12,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,,,,,,,,,,,fluorescent,indirect,1,4,4,fluorescentindirect144,2,,,,,,,,,,1SF,,,,
,,,,,,,49,8,12,5,C6-2,C6-2,,C6-2,C6-2,C6-2,C4-3,C1-6,,,,,,,,,,,,fluorescent,direct,1,8,1,fluorescentdirect118,1,,,,,,,,,,2SF,,,,
,,,,,,,50,8,12,6,C6-2,C6-2,,C6-2,C6-2,C6-2,C6-2,C6-1,,,,,,,,,,,,fluorescent,direct,1,8,2,fluorescentdirect128,2,,,,,,,,,,3SF,,,,
,,,,,,,51,8,12,7,C6-2,C6-2,,C6-2,C6-2,C6-2,C1-17,C1-11,,,,,,,,,,,,fluorescent,direct,1,8,3,fluorescentdirect138,4,,,,,,,,,,4SF,,,,
,,,,,,,52,8,12,8,C6-2,C6-2,,C6-2,C6-2,C6-2,C6-2,C6-2,,,,,,,,,,,,fluorescent,direct,1,8,4,fluorescentdirect148,4,,,,,,,,,,5SF,,,,
,,,,,,,53,12,12,5,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C4-3,C1-6,,,,,,,,,,,,fluorescent,indirect,1,8,1,fluorescentindirect118,1,,,,,,,,,,6SF,,,,
,,,,,,,54,12,12,6,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-1,,,,,,,,,,,,fluorescent,indirect,1,8,2,fluorescentindirect128,2,,,,,,,,,,7SF,,,,
,,,,,,,55,12,12,7,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C1-17,C1-11,,,,,,,,,,,,fluorescent,indirect,1,8,3,fluorescentindirect138,4,,,,,,,,,,MAL,,,,
,,,,,,,56,12,12,8,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,,,,,,,,,,,,fluorescent,indirect,1,8,4,fluorescentindirect148,4,,,,,,,,,,SM,,,,
,,,,,,,57,12,12,9,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C4-3,C7-2,C1-7,,,,,,,,,,,fluorescent,direct,1,12,1,fluorescentdirect1112,2,,,,,,,,,,,,,,
,,,,,,,58,12,12,10,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-1,,,,,,,,,,,fluorescent,direct,1,12,2,fluorescentdirect1212,3,,,,,,,,,,,,,,
,,,,,,,59,12,12,11,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C1-21,C7-2,C2-3,,,,,,,,,,,fluorescent,direct,1,12,3,fluorescentdirect1312,5,,,,,,,,,,,,,,
,,,,,,,60,12,12,12,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,,,,,,,,,,,fluorescent,direct,1,12,4,fluorescentdirect1412,6,,,,,,,,,,,,,,
,,,,,,,61,8,12,5,C6-2,C6-2,,C6-2,C6-2,C6-2,C4-3,C1-6,,,,,,,,,,,,fluorescent,indirect,1,12,1,fluorescentindirect1112,2,,,,,,,,,,,,,,
,,,,,,,62,8,12,6,C6-2,C6-2,,C6-2,C6-2,C6-2,C6-2,C6-1,,,,,,,,,,,,fluorescent,indirect,1,12,2,fluorescentindirect1212,3,,,,,,,,,,,,,,
,,,,,,,63,8,12,7,C6-2,C6-2,,C6-2,C6-2,C6-2,C1-17,C1-11,,,,,,,,,,,,fluorescent,indirect,1,12,3,fluorescentindirect1312,5,,,,,,,,,,,,,,
,,,,,,,64,8,12,8,C6-2,C6-2,,C6-2,C6-2,C6-2,C6-2,C6-2,,,,,,,,,,,,fluorescent,indirect,1,12,4,fluorescentindirect1412,6,,,,,,,,,,,,,,
,,,,,,,65,12,12,5,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C4-3,C1-6,,,,,,,,,,,,fluorescent,direct/indirect,1,4,1,fluorescentdirect/indirect114,1,,,,,,,,,,,,,,
,,,,,,,66,12,12,6,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-1,,,,,,,,,,,,fluorescent,direct/indirect,1,4,2,fluorescentdirect/indirect124,1,,,,,,,,,,,,,,
,,,,,,,67,12,12,7,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C1-17,C1-11,,,,,,,,,,,,fluorescent,direct/indirect,1,4,3,fluorescentdirect/indirect134,2,,,,,,,,,,,,,,
,,,,,,,68,12,12,8,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,,,,,,,,,,,,fluorescent,direct/indirect,1,4,4,fluorescentdirect/indirect144,2,,,,,,,,,,,,,,
,,,,,,,69,12,12,9,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C4-3,C7-2,C1-7,,,,,,,,,,,fluorescent,direct/indirect,1,4,5,fluorescentdirect/indirect154,3,,,,,,,,,,,,,,
,,,,,,,70,12,12,10,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-1,,,,,,,,,,,fluorescent,direct/indirect,1,8,1,fluorescentdirect/indirect118,1,,,,,,,,,,,,,,
,,,,,,,71,12,12,11,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C1-21,C7-2,C2-3,,,,,,,,,,,fluorescent,direct/indirect,1,8,2,fluorescentdirect/indirect128,2,,,,,,,,,,,,,,
,,,,,,,72,12,12,12,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,,,,,,,,,,,fluorescent,direct/indirect,1,8,3,fluorescentdirect/indirect138,3,,,,,,,,,,,,,,
,,,,,,,73,8,12,5,C6-2,C6-2,,C6-2,C6-2,C6-2,C4-3,C1-6,,,,,,,,,,,,fluorescent,direct/indirect,1,8,4,fluorescentdirect/indirect148,4,,,,,,,,,,,,,,
,,,,,,,74,8,12,6,C6-2,C6-2,,C6-2,C6-2,C6-2,C6-2,C6-1,,,,,,,,,,,,fluorescent,direct/indirect,1,8,5,fluorescentdirect/indirect158,5,,,,,,,,,,,,,,
,,,,,,,75,8,12,7,C6-2,C6-2,,C6-2,C6-2,C6-2,C1-17,C1-11,,,,,,,,,,,,fluorescent,direct/indirect,1,12,1,fluorescentdirect/indirect1112,2,,,,,,,,,,,,,,
,,,,,,,76,8,12,8,C6-2,C6-2,,C6-2,C6-2,C6-2,C6-2,C6-2,,,,,,,,,,,,fluorescent,direct/indirect,1,12,2,fluorescentdirect/indirect1212,3,,,,,,,,,,,,,,
,,,,,,,77,12,12,5,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C4-3,C1-6,,,,,,,,,,,,fluorescent,direct/indirect,1,12,3,fluorescentdirect/indirect1312,5,,,,,,,,,,,,,,
,,,,,,,78,12,12,6,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-1,,,,,,,,,,,,fluorescent,direct/indirect,1,12,4,fluorescentdirect/indirect1412,6,,,,,,,,,,,,,,
,,,,,,,79,12,12,7,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C1-17,C1-11,,,,,,,,,,,,fluorescent,direct/indirect,1,12,5,fluorescentdirect/indirect1512,8,,,,,,,,,,,,,,
,,,,,,,80,12,12,8,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,,,,,,,,,,,,fluorescent,direct,2,4,1,fluorescentdirect214,0,,,,,,,,,,,,,,
,,,,,,,81,12,12,9,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C4-3,C7-2,C1-7,,,,,,,,,,,fluorescent,direct,2,4,2,fluorescentdirect224,2,,,,,,,,,,,,,,
,,,,,,,82,12,12,10,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-1,,,,,,,,,,,fluorescent,direct,2,4,3,fluorescentdirect234,2,,,,,,,,,,,,,,
,,,,,,,83,12,12,11,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C1-21,C7-2,C2-3,,,,,,,,,,,fluorescent,direct,2,4,4,fluorescentdirect244,2,,,,,,,,,,,,,,
,,,,,,,84,12,12,12,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,,,,,,,,,,,fluorescent,direct,2,8,1,fluorescentdirect218,2,,,,,,,,,,,,,,
,,,,,,,85,8,12,5,C6-2,C6-2,,C6-2,C6-2,C6-2,C4-3,C1-6,,,,,,,,,,,,fluorescent,direct,2,8,2,fluorescentdirect228,2,,,,,,,,,,,,,,
,,,,,,,86,8,12,6,C6-2,C6-2,,C6-2,C6-2,C6-2,C6-2,C6-1,,,,,,,,,,,,fluorescent,direct,2,8,3,fluorescentdirect238,3,,,,,,,,,,,,,,
,,,,,,,87,8,12,7,C6-2,C6-2,,C6-2,C6-2,C6-2,C1-17,C1-11,,,,,,,,,,,,fluorescent,direct,2,8,4,fluorescentdirect248,4,,,,,,,,,,,,,,
,,,,,,,88,8,12,8,C6-2,C6-2,,C6-2,C6-2,C6-2,C6-2,C6-2,,,,,,,,,,,,fluorescent,direct,2,12,1,fluorescentdirect2112,2,,,,,,,,,,,,,,
,,,,,,,89,12,12,5,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C4-3,C1-6,,,,,,,,,,,,fluorescent,direct,2,12,2,fluorescentdirect2212,4,,,,,,,,,,,,,,
,,,,,,,90,12,12,6,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-1,,,,,,,,,,,,fluorescent,direct,2,12,3,fluorescentdirect2312,5,,,,,,,,,,,,,,
,,,,,,,91,12,12,7,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C1-17,C1-11,,,,,,,,,,,,fluorescent,direct,2,12,4,fluorescentdirect2412,6,,,,,,,,,,,,,,
,,,,,,,92,12,12,8,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,,,,,,,,,,,,fluorescent,indirect,2,4,1,fluorescentindirect214,0,,,,,,,,,,,,,,
,,,,,,,93,12,12,9,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C4-3,C7-2,C1-7,,,,,,,,,,,fluorescent,indirect,2,4,2,fluorescentindirect224,2,,,,,,,,,,,,,,
,,,,,,,94,12,12,10,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-1,,,,,,,,,,,fluorescent,indirect,2,4,3,fluorescentindirect234,2,,,,,,,,,,,,,,
,,,,,,,95,12,12,11,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C1-21,C7-2,C2-3,,,,,,,,,,,fluorescent,indirect,2,4,4,fluorescentindirect244,2,,,,,,,,,,,,,,
,,,,,,,96,12,12,12,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,C6-2,,,,,,,,,,,fluorescent,indirect,2,8,1,fluorescentindirect218,2,,,,,,,,,,,,,,
,,,,,,,97,8,12,5,C6-2,C6-2,,C6-2,C6-2,C6-2,C4-3,C1-6,,,,,,,,,,,,fluorescent,indirect,2,8,2,fluorescentindirect228,2,,,,,,,,,,,,,,
,,,,,,,98,8,12,6,C6-2,C6-2,,C6-2,C6-2,C6-2,C6-2,C6-1,,,,,,,,,,,,fluorescent,indirect,2,8,3,fluorescentindirect238,3,,,,,,,,,,,,,,
,,,,,,,99,8,12,7,C6-2,C6-2,,C6-2,C6-2,C6-2,C1-17,C1-11,,,,,,,,,,,,fluorescent,indirect,2,8,4,fluorescentindirect248,4,,,,,,,,,,,,,,
,,,,,,,100,8,12,8,C6-2,C6-2,,C6-2,C6-2,C6-2,C6-2,C6-2,,,,,,,,,,,,fluorescent,indirect,2,12,1,fluorescentindirect2112,2,,,,,,,,,,,,,,
,,,,,,,101,12,12,5,,,,,,,,,,,,,,,,,,,,fluorescent,indirect,2,12,2,fluorescentindirect2212,4,,,,,,,,,,,,,,
,,,,,,,102,12,12,6,,,,,,,,,,,,,,,,,,,,fluorescent,indirect,2,12,3,fluorescentindirect2312,5,,,,,,,,,,,,,,
,,,,,,,103,12,12,7,,,,,,,,,,,,,,,,,,,,fluorescent,indirect,2,12,4,fluorescentindirect2412,6,,,,,,,,,,,,,,
,,,,,,,104,12,12,8,,,,,,,,,,,,,,,,,,,,fluorescent,direct/indirect,2,4,2,fluorescentdirect/indirect224,2,,,,,,,,,,,,,,
,,,,,,,105,12,12,9,,,,,,,,,,,,,,,,,,,,fluorescent,direct/indirect,2,4,3,fluorescentdirect/indirect234,2,,,,,,,,,,,,,,
,,,,,,,106,12,12,10,,,,,,,,,,,,,,,,,,,,fluorescent,direct/indirect,2,4,4,fluorescentdirect/indirect244,2,,,,,,,,,,,,,,
,,,,,,,107,12,12,11,,,,,,,,,,,,,,,,,,,,fluorescent,direct/indirect,2,4,5,fluorescentdirect/indirect254,3,,,,,,,,,,,,,,
,,,,,,,108,12,12,12,,,,,,,,,,,,,,,,,,,,fluorescent,direct/indirect,2,8,1,fluorescentdirect/indirect218,2,,,,,,,,,,,,,,
,,,,,,,109,8,12,5,,,,,,,,,,,,,,,,,,,,fluorescent,direct/indirect,2,8,2,fluorescentdirect/indirect228,2,,,,,,,,,,,,,,
,,,,,,,110,8,12,6,,,,,,,,,,,,,,,,,,,,fluorescent,direct/indirect,2,8,3,fluorescentdirect/indirect238,3,,,,,,,,,,,,,,
,,,,,,,111,8,12,7,,,,,,,,,,,,,,,,,,,,fluorescent,direct/indirect,2,8,4,fluorescentdirect/indirect248,4,,,,,,,,,,,,,,
,,,,,,,112,8,12,8,,,,,,,,,,,,,,,,,,,,fluorescent,direct/indirect,2,8,5,fluorescentdirect/indirect258,5,,,,,,,,,,,,,,
,,,,,,,113,12,12,5,,,,,,,,,,,,,,,,,,,,fluorescent,direct/indirect,2,12,1,fluorescentdirect/indirect2112,2,,,,,,,,,,,,,,
,,,,,,,114,12,12,6,,,,,,,,,,,,,,,,,,,,fluorescent,direct/indirect,2,12,2,fluorescentdirect/indirect2212,4,,,,,,,,,,,,,,
,,,,,,,115,12,12,7,,,,,,,,,,,,,,,,,,,,fluorescent,direct/indirect,2,12,3,fluorescentdirect/indirect2312,5,,,,,,,,,,,,,,
,,,,,,,116,12,12,8,,,,,,,,,,,,,,,,,,,,fluorescent,direct/indirect,2,12,4,fluorescentdirect/indirect2412,6,,,,,,,,,,,,,,
,,,,,,,117,12,12,9,,,,,,,,,,,,,,,,,,,,fluorescent,direct/indirect,2,12,5,fluorescentdirect/indirect2512,8,,,,,,,,,,,,,,
,,,,,,,118,12,12,10,,,,,,,,,,,,,,,,,,,,fluorescent,direct,2A/B,4,1,fluorescentdirect2A/B14,0,,,,,,,,,,,,,,
,,,,,,,119,12,12,11,,,,,,,,,,,,,,,,,,,,fluorescent,direct,2A/B,4,2,fluorescentdirect2A/B24,2,,,,,,,,,,,,,,
,,,,,,,120,12,12,12,,,,,,,,,,,,,,,,,,,,fluorescent,direct,2A/B,4,3,fluorescentdirect2A/B34,2,,,,,,,,,,,,,,
,,,,,,,121,8,12,5,,,,,,,,,,,,,,,,,,,,fluorescent,direct,2A/B,4,4,fluorescentdirect2A/B44,2,,,,,,,,,,,,,,
,,,,,,,122,8,12,6,,,,,,,,,,,,,,,,,,,,fluorescent,direct,2A/B,8,1,fluorescentdirect2A/B18,2,,,,,,,,,,,,,,
,,,,,,,123,8,12,7,,,,,,,,,,,,,,,,,,,,fluorescent,direct,2A/B,8,2,fluorescentdirect2A/B28,2,,,,,,,,,,,,,,
,,,,,,,124,8,12,8,,,,,,,,,,,,,,,,,,,,fluorescent,direct,2A/B,8,3,fluorescentdirect2A/B38,3,,,,,,,,,,,,,,
,,,,,,,125,12,12,5,,,,,,,,,,,,,,,,,,,,fluorescent,direct,2A/B,8,4,fluorescentdirect2A/B48,4,,,,,,,,,,,,,,
,,,,,,,126,12,12,6,,,,,,,,,,,,,,,,,,,,fluorescent,direct,2A/B,12,1,fluorescentdirect2A/B112,2,,,,,,,,,,,,,,
,,,,,,,127,12,12,7,,,,,,,,,,,,,,,,,,,,fluorescent,direct,2A/B,12,2,fluorescentdirect2A/B212,4,,,,,,,,,,,,,,
,,,,,,,128,12,12,8,,,,,,,,,,,,,,,,,,,,fluorescent,direct,2A/B,12,3,fluorescentdirect2A/B312,5,,,,,,,,,,,,,,
,,,,,,,129,12,12,9,,,,,,,,,,,,,,,,,,,,fluorescent,direct,2A/B,12,4,fluorescentdirect2A/B412,6,,,,,,,,,,,,,,
,,,,,,,130,12,12,10,,,,,,,,,,,,,,,,,,,,fluorescent,indirect,2A/B,4,1,fluorescentindirect2A/B14,0,,,,,,,,,,,,,,
,,,,,,,131,12,12,11,,,,,,,,,,,,,,,,,,,,fluorescent,indirect,2A/B,4,2,fluorescentindirect2A/B24,2,,,,,,,,,,,,,,
,,,,,,,132,12,12,12,,,,,,,,,,,,,,,,,,,,fluorescent,indirect,2A/B,4,3,fluorescentindirect2A/B34,2,,,,,,,,,,,,,,
,,,,,,,133,8,12,5,,,,,,,,,,,,,,,,,,,,fluorescent,indirect,2A/B,4,4,fluorescentindirect2A/B44,2,,,,,,,,,,,,,,
,,,,,,,134,8,12,6,,,,,,,,,,,,,,,,,,,,fluorescent,indirect,2A/B,8,1,fluorescentindirect2A/B18,2,,,,,,,,,,,,,,
,,,,,,,135,8,12,7,,,,,,,,,,,,,,,,,,,,fluorescent,indirect,2A/B,8,2,fluorescentindirect2A/B28,2,,,,,,,,,,,,,,
,,,,,,,136,8,12,8,,,,,,,,,,,,,,,,,,,,fluorescent,indirect,2A/B,8,3,fluorescentindirect2A/B38,3,,,,,,,,,,,,,,
,,,,,,,137,12,12,5,,,,,,,,,,,,,,,,,,,,fluorescent,indirect,2A/B,8,4,fluorescentindirect2A/B48,4,,,,,,,,,,,,,,
,,,,,,,138,12,12,6,,,,,,,,,,,,,,,,,,,,fluorescent,indirect,2A/B,12,1,fluorescentindirect2A/B112,2,,,,,,,,,,,,,,
,,,,,,,139,12,12,7,,,,,,,,,,,,,,,,,,,,fluorescent,indirect,2A/B,12,2,fluorescentindirect2A/B212,4,,,,,,,,,,,,,,
,,,,,,,140,12,12,8,,,,,,,,,,,,,,,,,,,,fluorescent,indirect,2A/B,12,3,fluorescentindirect2A/B312,5,,,,,,,,,,,,,,
,,,,,,,141,12,12,9,,,,,,,,,,,,,,,,,,,,fluorescent,indirect,2A/B,12,4,fluorescentindirect2A/B412,6,,,,,,,,,,,,,,
,,,,,,,142,12,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,143,12,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,144,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,145,8,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,146,8,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
