 Product ID , Work Center , Section , Option , ID , Task , Qty , Time(min) , Total Time ,, Sum of Total Time , Column Labels ,,,,,,
 BI , Drill , Complete Section , aendcap5 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.45 , CAD 0.90 ,, Complete Section , CAD 0.46 ,,,, CAD 0.46 ,,
 BILED , Drill , Complete Section , aendcap6 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, SR1 , CAD 0.23 ,,,, CAD 0.23 ,,
 BILEDPAT , Drill , Complete Section , aendcap6 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, SRE , CAD 0.23 ,,,, CAD 0.23 ,,
 BIPAT , Drill , Complete Section , aendcap5 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.45 , CAD 0.90 ,, 202CW ,,, CAD 4.36 ,, CAD 4.36 ,,
 BLEDPAT , Drill , Complete Section , aendcap6 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, Complete Section ,,, CAD 2.18 ,, CAD 2.18 ,,
 BMD , Drill , Complete Section , aendcap5 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.45 , CAD 0.90 ,, SR1 ,,, CAD 1.09 ,, CAD 1.09 ,,
 BMDLED , Drill , Complete Section , aendcap6 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, SRE ,,, CAD 1.09 ,, CAD 1.09 ,,
 BMDLEDPAT , Drill , Complete Section , aendcap6 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, 202CWA ,,, CAD 4.36 ,, CAD 4.36 ,,
 BMDPAT , Drill , Complete Section , aendcap5 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.45 , CAD 0.90 ,, Complete Section ,,, CAD 2.18 ,, CAD 2.18 ,,
 BMI , Drill , Complete Section , aendcap5 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.45 , CAD 0.90 ,, SR1 ,,, CAD 1.09 ,, CAD 1.09 ,,
 BMILED , Drill , Complete Section , aendcap6 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, SRE ,,, CAD 1.09 ,, CAD 1.09 ,,
 BMILEDPAT , Drill , Complete Section , aendcap6 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, 202F , CAD 0.92 ,,,, CAD 0.92 ,,
 BMIPAT , Drill , Complete Section , aendcap5 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.45 , CAD 0.90 ,, Complete Section , CAD 0.46 ,,,, CAD 0.46 ,,
 BMLEDPAT , Drill , Complete Section , aendcap6 , CAD 1.00 , drill half hole in endcap for hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, SR1 , CAD 0.23 ,,,, CAD 0.23 ,,
 CU , Drill , Complete Section , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, SRE , CAD 0.23 ,,,, CAD 0.23 ,,
 CUA , Drill , Complete Section , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, 202FA , CAD 0.92 ,,,, CAD 0.92 ,,
 CUB , Drill , Complete Section , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, Complete Section , CAD 0.46 ,,,, CAD 0.46 ,,
 CUBA , Drill , Complete Section , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, SR1 , CAD 0.23 ,,,, CAD 0.23 ,,
 CUBS , Drill , Complete Section , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, SRE , CAD 0.23 ,,,, CAD 0.23 ,,
 CUS , Drill , Complete Section , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, 202FW ,,, CAD 4.36 ,, CAD 4.36 ,,
 D5 , Drill , Complete Section , aendcap10 , CAD 2.00 , Drill 3 holes in end cap , CAD 2.00 ,0.60, CAD 1.20 ,, Complete Section ,,, CAD 2.18 ,, CAD 2.18 ,,
 D5S , Drill , Complete Section , aendcap10 , CAD 2.00 , Drill 3 holes in end cap , CAD 2.00 ,0.60, CAD 1.20 ,, SR1 ,,, CAD 1.09 ,, CAD 1.09 ,,
 D5W , Drill , Complete Section , aendcap10 , CAD 2.00 , Drill 3 holes in end cap , CAD 2.00 ,0.60, CAD 1.20 ,, SRE ,,, CAD 1.09 ,, CAD 1.09 ,,
 FL , Drill , Complete Section , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, 202FWA ,,, CAD 4.36 ,, CAD 4.36 ,,
 L2 , Drill , Complete Section , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, Complete Section ,,, CAD 2.18 ,, CAD 2.18 ,,
 L2A , Drill , Complete Section , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, SR1 ,,, CAD 1.09 ,, CAD 1.09 ,,
 L2S , Drill , Complete Section , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, SRE ,,, CAD 1.09 ,, CAD 1.09 ,,
 LT , Drill , Complete Section , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, AR ,,,, CAD 2.40 , CAD 2.40 ,,
 LTA , Drill , Complete Section , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, Complete Section ,,,, CAD 1.20 , CAD 1.20 ,,
 SL , Drill , Complete Section , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, SR1 ,,,, CAD 0.60 , CAD 0.60 ,,
 SL2HLED , Drill , Complete Section , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, SRE ,,,, CAD 0.60 , CAD 0.60 ,,
 SL2LLED , Drill , Complete Section , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, ARC , CAD 0.92 ,,,, CAD 0.92 ,,
 SLLED , Drill , Complete Section , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, Complete Section , CAD 0.46 ,,,, CAD 0.46 ,,
 SOL , Drill , Complete Section , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, SR1 , CAD 0.23 ,,,, CAD 0.23 ,,
 SOLS , Drill , Complete Section , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, SRE , CAD 0.23 ,,,, CAD 0.23 ,,
 SU , Drill , Complete Section , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, ARCA , CAD 0.92 ,,,, CAD 0.92 ,,
 SUA , Drill , Complete Section , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, Complete Section , CAD 0.46 ,,,, CAD 0.46 ,,
 SUS , Drill , Complete Section , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 2.00 , CAD 0.23 , CAD 0.46 ,, SR1 , CAD 0.23 ,,,, CAD 0.23 ,,
 WB , Drill , Complete Section , aendcapwbp , CAD 1.00 ," place end cap on jig, tight, drill & spray oil on drill ", CAD 2.00 , CAD 0.95 , CAD 1.90 ,, SRE , CAD 0.23 ,,,, CAD 0.23 ,,
 WB , Drill , Complete Section , aendcapwbp , CAD 2.00 ," remove gard, clean with air, take part & put aside ", CAD 2.00 , CAD 0.36 , CAD 0.72 ,, ARCW ,,, CAD 4.36 ,, CAD 4.36 ,,
 WB , Drill , Complete Section , aendcapwbp , CAD 3.00 , clean station 1/5 part , CAD 2.00 , CAD 0.06 , CAD 0.12 ,, Complete Section ,,, CAD 2.18 ,, CAD 2.18 ,,
 WBDI , Drill , Complete Section , aendcapwbp , CAD 1.00 ," place end cap on jig, tight, drill & spray oil on drill ", CAD 2.00 , CAD 0.95 , CAD 1.90 ,, SR1 ,,, CAD 1.09 ,, CAD 1.09 ,,
 WBDI , Drill , Complete Section , aendcapwbp , CAD 2.00 ," remove gard, clean with air, take part & put aside ", CAD 2.00 , CAD 0.36 , CAD 0.72 ,, SRE ,,, CAD 1.09 ,, CAD 1.09 ,,
 WBDI , Drill , Complete Section , aendcapwbp , CAD 3.00 , clean station 1/5 part , CAD 2.00 , CAD 0.06 , CAD 0.12 ,, ARCWA ,,, CAD 4.36 ,, CAD 4.36 ,,
 WBDILED , Drill , Complete Section , aendcapwbp , CAD 1.00 ," place end cap on jig, tight, drill & spray oil on drill ", CAD 2.00 , CAD 0.95 , CAD 1.90 ,, Complete Section ,,, CAD 2.18 ,, CAD 2.18 ,,
 WBDILED , Drill , Complete Section , aendcapwbp , CAD 2.00 ," remove gard, clean with air, take part & put aside ", CAD 2.00 , CAD 0.36 , CAD 0.72 ,, SR1 ,,, CAD 1.09 ,, CAD 1.09 ,,
 WBDILED , Drill , Complete Section , aendcapwbp , CAD 3.00 , clean station 1/5 part , CAD 2.00 , CAD 0.06 , CAD 0.12 ,, SRE ,,, CAD 1.09 ,, CAD 1.09 ,,
 WBDIW , Drill , Complete Section , aendcapwbp , CAD 1.00 ," place end cap on jig, tight, drill & spray oil on drill ", CAD 2.00 , CAD 0.95 , CAD 1.90 ,, ARLED ,,,, CAD 2.40 , CAD 2.40 ,,
 WBDIW , Drill , Complete Section , aendcapwbp , CAD 2.00 ," remove gard, clean with air, take part & put aside ", CAD 2.00 , CAD 0.36 , CAD 0.72 ,, Complete Section ,,,, CAD 1.20 , CAD 1.20 ,,
 WBDIW , Drill , Complete Section , aendcapwbp , CAD 3.00 , clean station 1/5 part , CAD 2.00 , CAD 0.06 , CAD 0.12 ,, SR1 ,,,, CAD 0.60 , CAD 0.60 ,,
 WBDIWLED , Drill , Complete Section , aendcapwbp , CAD 1.00 ," place end cap on jig, tight, drill & spray oil on drill ", CAD 2.00 , CAD 0.95 , CAD 1.90 ,, SRE ,,,, CAD 0.60 , CAD 0.60 ,,
 WBDIWLED , Drill , Complete Section , aendcapwbp , CAD 2.00 ," remove gard, clean with air, take part & put aside ", CAD 2.00 , CAD 0.36 , CAD 0.72 ,, ARS ,,,, CAD 2.40 , CAD 2.40 ,,
 WBDIWLED , Drill , Complete Section , aendcapwbp , CAD 3.00 , clean station 1/5 part , CAD 2.00 , CAD 0.06 , CAD 0.12 ,, Complete Section ,,,, CAD 1.20 , CAD 1.20 ,,
 WBLED , Drill , Complete Section , aendcapwbp , CAD 1.00 ," place end cap on jig, tight, drill & spray oil on drill ", CAD 2.00 , CAD 0.95 , CAD 1.90 ,, SR1 ,,,, CAD 0.60 , CAD 0.60 ,,
 WBLED , Drill , Complete Section , aendcapwbp , CAD 2.00 ," remove gard, clean with air, take part & put aside ", CAD 2.00 , CAD 0.36 , CAD 0.72 ,, SRE ,,,, CAD 0.60 , CAD 0.60 ,,
 WBLED , Drill , Complete Section , aendcapwbp , CAD 3.00 , clean station 1/5 part , CAD 2.00 , CAD 0.06 , CAD 0.12 ,, ARSLED ,,,, CAD 2.40 , CAD 2.40 ,,
 WBR , Drill , Complete Section , aendcapwbr , CAD 1.00 ," take part, tight in jig, drill 1 hole, remove from jig put aside ", CAD 2.00 , CAD 0.25 , CAD 0.50 ,, Complete Section ,,,, CAD 1.20 , CAD 1.20 ,,
 WBR , Drill , Complete Section , aendcapwbr , CAD 2.00 ," take part, tight in jig, drill 2sd hole, remove from jig put aside ", CAD 2.00 , CAD 0.25 , CAD 0.50 ,, SR1 ,,,, CAD 0.60 , CAD 0.60 ,,
 WBR , Drill , Complete Section , aendcapwbr , CAD 3.00 ," place part on jig, tight, drill & spray oil on drill ", CAD 2.00 , CAD 0.95 , CAD 1.90 ,, SRE ,,,, CAD 0.60 , CAD 0.60 ,,
 WBR , Drill , Complete Section , aendcapwbr , CAD 4.00 ," remove gard, clean with air, take part & put aside ", CAD 2.00 , CAD 0.36 , CAD 0.72 ,, ARW ,,,, CAD 2.40 , CAD 2.40 ,,
 WBR , Drill , Complete Section , aendcapwbr , CAD 5.00 , clean station 1/5 part , CAD 2.00 , CAD 0.06 , CAD 0.12 ,, Complete Section ,,,, CAD 1.20 , CAD 1.20 ,,
 WBRLED , Drill , Complete Section , aendcapwbr , CAD 1.00 ," take part, tight in jig, drill 1 hole, remove from jig put aside ", CAD 2.00 , CAD 0.25 , CAD 0.50 ,, SR1 ,,,, CAD 0.60 , CAD 0.60 ,,
 WBRLED , Drill , Complete Section , aendcapwbr , CAD 2.00 ," take part, tight in jig, drill 2sd hole, remove from jig put aside ", CAD 2.00 , CAD 0.25 , CAD 0.50 ,, SRE ,,,, CAD 0.60 , CAD 0.60 ,,
 WBRLED , Drill , Complete Section , aendcapwbr , CAD 3.00 ," place part on jig, tight, drill & spray oil on drill ", CAD 2.00 , CAD 0.95 , CAD 1.90 ,, ARWBT ,,,, CAD 2.40 , CAD 2.40 ,,
 WBRLED , Drill , Complete Section , aendcapwbr , CAD 4.00 ," remove gard, clean with air, take part & put aside ", CAD 2.00 , CAD 0.36 , CAD 0.72 ,, Complete Section ,,,, CAD 1.20 , CAD 1.20 ,,
 WBRLED , Drill , Complete Section , aendcapwbr , CAD 5.00 , clean station 1/5 part , CAD 2.00 , CAD 0.06 , CAD 0.12 ,, SR1 ,,,, CAD 0.60 , CAD 0.60 ,,
 WBS , Drill , Complete Section , aendcapwbp , CAD 1.00 ," place end cap on jig, tight, drill & spray oil on drill ", CAD 2.00 , CAD 0.95 , CAD 1.90 ,, SRE ,,,, CAD 0.60 , CAD 0.60 ,,
 WBS , Drill , Complete Section , aendcapwbp , CAD 2.00 ," remove gard, clean with air, take part & put aside ", CAD 2.00 , CAD 0.36 , CAD 0.72 ,, ARWBTLED ,,,, CAD 2.40 , CAD 2.40 ,,
 WBS , Drill , Complete Section , aendcapwbp , CAD 3.00 , clean station 1/5 part , CAD 2.00 , CAD 0.06 , CAD 0.12 ,, Complete Section ,,,, CAD 1.20 , CAD 1.20 ,,
 WBSLED , Drill , Complete Section , aendcapwbp , CAD 1.00 ," place end cap on jig, tight, drill & spray oil on drill ", CAD 2.00 , CAD 0.95 , CAD 1.90 ,, SR1 ,,,, CAD 0.60 , CAD 0.60 ,,
 WBSLED , Drill , Complete Section , aendcapwbp , CAD 2.00 ," remove gard, clean with air, take part & put aside ", CAD 2.00 , CAD 0.36 , CAD 0.72 ,, SRE ,,,, CAD 0.60 , CAD 0.60 ,,
 WBSLED , Drill , Complete Section , aendcapwbp , CAD 3.00 , clean station 1/5 part , CAD 2.00 , CAD 0.06 , CAD 0.12 ,, ARWLED ,,,, CAD 2.40 , CAD 2.40 ,,
 WBW , Drill , Complete Section , aendcapwbp , CAD 1.00 ," place end cap on jig, tight, drill & spray oil on drill ", CAD 2.00 , CAD 0.95 , CAD 1.90 ,, Complete Section ,,,, CAD 1.20 , CAD 1.20 ,,
 WBW , Drill , Complete Section , aendcapwbp , CAD 2.00 ," remove gard, clean with air, take part & put aside ", CAD 2.00 , CAD 0.36 , CAD 0.72 ,, SR1 ,,,, CAD 0.60 , CAD 0.60 ,,
 WBW , Drill , Complete Section , aendcapwbp , CAD 3.00 , clean station 1/5 part , CAD 2.00 , CAD 0.06 , CAD 0.12 ,, SRE ,,,, CAD 0.60 , CAD 0.60 ,,
 WBWLED , Drill , Complete Section , aendcapwbp , CAD 1.00 ," place end cap on jig, tight, drill & spray oil on drill ", CAD 2.00 , CAD 0.95 , CAD 1.90 ,, B6 , CAD 1.80 ,,, CAD 3.72 , CAD 5.52 ,,
 WBWLED , Drill , Complete Section , aendcapwbp , CAD 2.00 ," remove gard, clean with air, take part & put aside ", CAD 2.00 , CAD 0.36 , CAD 0.72 ,, Complete Section , CAD 0.90 ,,, CAD 1.86 , CAD 2.76 ,,
 WBWLED , Drill , Complete Section , aendcapwbp , CAD 3.00 , clean station 1/5 part , CAD 2.00 , CAD 0.06 , CAD 0.12 ,, SR1 , CAD 0.45 ,,, CAD 0.93 , CAD 1.38 ,,
 101C , Drill , SR1 , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 1.00 , CAD 0.23 , CAD 0.23 ,, SRE , CAD 0.45 ,,, CAD 0.93 , CAD 1.38 ,,
 101CA , Drill , SR1 , aendcap8 , CAD 1.00 , drill half hole in end cap casting for power cord or stem hanger , CAD 1.00 , CAD 0.23 , CAD 0.23 ,, B6D , CAD 1.80 ,,, CAD 3.72 , CAD 5.52 ,,
