Product ID,Lighting,Fixture Type,Option,Work Center,ID,Task,Time(min),,Sum of Time(min),Column Labels,,,
101CW,fluorescent,wall,battfluo4,Assembly,9,Extra time to connecte driver to batt.,2,,B6DLED,9.54,0.75,10.29,
101CW,fluorescent,wall,battfluo4,Assembly,10,Extra time for Battery test,0.2,,B6DLEDPAT,9.54,0.75,10.29,
101CW,fluorescent,wall,battfluo4,Assembly,11,Emergency labels,0.36,,B6DPAT,9.84,0.71,10.55,
101CW,fluorescent,wall,battfluo4,Preparation,1,Remove battery & acc. from box,0.3,,B6I,9.84,0.71,10.55,
101CW,fluorescent,wall,battfluo4,Preparation,2,Cap unused lead wire (black or orange),0.33,,B6ILED,9.54,0.75,10.29,
101CW,fluorescent,wall,battfluo4,Preparation,3,Put ballast aside,0.08,,B6ILEDPAT,9.54,0.75,10.29,
101CWA,fluorescent,wall,battfluo4,Assembly,4,Put battery in housing and fix with XO brkt & screws,1.65,,B6IPAT,9.84,0.71,10.55,
101CWA,fluorescent,wall,battfluo4,Assembly,5,Inverter connections+get out wires,0.3,,B6LEDPAT,9.54,0.75,10.29,
101CWA,fluorescent,wall,battfluo4,Assembly,6,Indicator light connections+clip light,2,,B6PAT,9.84,0.71,10.55,
101CWA,fluorescent,wall,battfluo4,Assembly,7,Test switch connections,2.81,,B6R,9.84,0.71,10.55,
101CWA,fluorescent,wall,battfluo4,Assembly,8,Extra time to connect light to batt.,1,,B6RLED,9.54,0.75,10.29,
101CWA,fluorescent,wall,battfluo4,Assembly,9,Extra time to connecte driver to batt.,2,,B6RLEDPAT,9.54,0.75,10.29,
101CWA,fluorescent,wall,battfluo4,Assembly,10,Extra time for Battery test,0.2,,B6RPAT,9.84,0.71,10.55,
101CWA,fluorescent,wall,battfluo4,Assembly,11,Emergency labels,0.36,,B6RV,9.84,0.71,10.55,
101CWA,fluorescent,wall,battfluo4,Preparation,1,Remove battery & acc. from box,0.3,,B6RVLED,9.54,0.75,10.29,
101CWA,fluorescent,wall,battfluo4,Preparation,2,Cap unused lead wire (black or orange),0.33,,B6S,9.84,0.71,10.55,
101CWA,fluorescent,wall,battfluo4,Preparation,3,Put ballast aside,0.08,,B6SLED,9.54,0.75,10.29,
101F,fluorescent,pendant,battfluo4,Assembly,4,Put battery in housing and fix with XO brkt & screws,1.65,,B6SLEDPAT,9.54,0.75,10.29,
101F,fluorescent,pendant,battfluo4,Assembly,5,Inverter connections+get out wires,0.3,,B6SPAT,9.84,0.71,10.55,
101F,fluorescent,pendant,battfluo4,Assembly,6,Indicator light connections+clip light,2,,B6W,9.84,0.71,10.55,
101F,fluorescent,pendant,battfluo4,Assembly,7,Test switch connections,2.81,,B6WD,9.84,0.71,10.55,
101F,fluorescent,pendant,battfluo4,Assembly,8,Extra time to connect light to batt.,1,,B6WDLED,9.54,0.75,10.29,
101F,fluorescent,pendant,battfluo4,Assembly,9,Extra time to connecte driver to batt.,2,,B6WDLEDPAT,9.54,0.75,10.29,
101F,fluorescent,pendant,battfluo4,Assembly,10,Extra time for Battery test,0.2,,B6WDPAT,9.84,0.71,10.55,
101F,fluorescent,pendant,battfluo4,Assembly,11,Emergency labels,0.36,,B6WI,9.84,0.71,10.55,
101F,fluorescent,pendant,battfluo4,Preparation,1,Remove battery & acc. from box,0.3,,B6WILEDPAT,9.54,0.75,10.29,
101F,fluorescent,pendant,battfluo4,Preparation,2,Cap unused lead wire (black or orange),0.33,,B6WIPAT,9.84,0.71,10.55,
101F,fluorescent,pendant,battfluo4,Preparation,3,Put ballast aside,0.08,,B6WLEDPAT,9.54,0.75,10.29,
101FA,fluorescent,pendant,battfluo4,Assembly,4,Put battery in housing and fix with XO brkt & screws,1.65,,B6WPAT,9.84,0.71,10.55,
101FA,fluorescent,pendant,battfluo4,Assembly,5,Inverter connections+get out wires,0.3,,BAS,10.32,0.71,11.03,
101FA,fluorescent,pendant,battfluo4,Assembly,6,Indicator light connections+clip light,2,,BASA,10.32,0.71,11.03,
101FA,fluorescent,pendant,battfluo4,Assembly,7,Test switch connections,2.81,,BASS,10.32,0.71,11.03,
101FA,fluorescent,pendant,battfluo4,Assembly,8,Extra time to connect light to batt.,1,,BASW,10.32,0.71,11.03,
101FA,fluorescent,pendant,battfluo4,Assembly,9,Extra time to connecte driver to batt.,2,,BASWA,10.32,0.71,11.03,
101FA,fluorescent,pendant,battfluo4,Assembly,10,Extra time for Battery test,0.2,,BB,10.7,1.71,12.41,
101FA,fluorescent,pendant,battfluo4,Assembly,11,Emergency labels,0.36,,BBD,9.84,0.71,10.55,
101FA,fluorescent,pendant,battfluo4,Preparation,1,Remove battery & acc. from box,0.3,,BBDILED,9.54,0.75,10.29,
101FA,fluorescent,pendant,battfluo4,Preparation,2,Cap unused lead wire (black or orange),0.33,,BBDILEDPAT,9.54,0.75,10.29,
101FA,fluorescent,pendant,battfluo4,Preparation,3,Put ballast aside,0.08,,BBDLED,9.54,0.75,10.29,
101FW,fluorescent,wall,battfluo4,Assembly,4,Put battery in housing and fix with XO brkt & screws,1.65,,BBDLEDPAT,9.54,0.75,10.29,
101FW,fluorescent,wall,battfluo4,Assembly,5,Inverter connections+get out wires,0.3,,BBDPAT,9.84,0.71,10.55,
101FW,fluorescent,wall,battfluo4,Assembly,6,Indicator light connections+clip light,2,,BBI,9.84,0.71,10.55,
101FW,fluorescent,wall,battfluo4,Assembly,7,Test switch connections,2.81,,BBILED,9.54,0.75,10.29,
101FW,fluorescent,wall,battfluo4,Assembly,8,Extra time to connect light to batt.,1,,BBILED2,9.54,0.75,10.29,
101FW,fluorescent,wall,battfluo4,Assembly,9,Extra time to connecte driver to batt.,2,,BBILEDPAT,9.54,0.75,10.29,
101FW,fluorescent,wall,battfluo4,Assembly,10,Extra time for Battery test,0.2,,BBIPAT,9.84,0.71,10.55,
101FW,fluorescent,wall,battfluo4,Assembly,11,Emergency labels,0.36,,BBLED2,9.54,0.75,10.29,
101FW,fluorescent,wall,battfluo4,Preparation,1,Remove battery & acc. from box,0.3,,BBLEDPAT,9.54,0.75,10.29,
101FW,fluorescent,wall,battfluo4,Preparation,2,Cap unused lead wire (black or orange),0.33,,BBPAT,10.7,1.71,12.41,
101FW,fluorescent,wall,battfluo4,Preparation,3,Put ballast aside,0.08,,BBR,9.84,0.71,10.55,
101FWA,fluorescent,wall,battfluo4,Assembly,4,Put battery in housing and fix with XO brkt & screws,1.65,,BBRLED,9.84,0.75,10.59,
101FWA,fluorescent,wall,battfluo4,Assembly,5,Inverter connections+get out wires,0.3,,BBRLEDPAT,9.84,0.75,10.59,
101FWA,fluorescent,wall,battfluo4,Assembly,6,Indicator light connections+clip light,2,,BBRPAT,9.84,0.71,10.55,
101FWA,fluorescent,wall,battfluo4,Assembly,7,Test switch connections,2.81,,BBRV,9.84,0.71,10.55,
101FWA,fluorescent,wall,battfluo4,Assembly,8,Extra time to connect light to batt.,1,,BBRVLED,9.84,0.75,10.59,
101FWA,fluorescent,wall,battfluo4,Assembly,9,Extra time to connecte driver to batt.,2,,BBS,9.84,0.71,10.55,
101FWA,fluorescent,wall,battfluo4,Assembly,10,Extra time for Battery test,0.2,,BBSLED,9.84,0.75,10.59,
101FWA,fluorescent,wall,battfluo4,Assembly,11,Emergency labels,0.36,,BBSLEDPAT,9.84,0.75,10.59,
101FWA,fluorescent,wall,battfluo4,Preparation,1,Remove battery & acc. from box,0.3,,BBSPAT,9.84,0.71,10.55,
101FWA,fluorescent,wall,battfluo4,Preparation,2,Cap unused lead wire (black or orange),0.33,,BBW,10.7,1.71,12.41,
101FWA,fluorescent,wall,battfluo4,Preparation,3,Put ballast aside,0.08,,BBWD,9.84,0.71,10.55,
202C,fluorescent,pendant,battfluo4,Assembly,4,Put battery in housing and fix with XO brkt & screws,1.65,,BBWDILED,10.7,0.75,11.45,
202C,fluorescent,pendant,battfluo4,Assembly,5,Inverter connections+get out wires,0.3,,BBWDLED,9.84,0.75,10.59,
202C,fluorescent,pendant,battfluo4,Assembly,6,Indicator light connections+clip light,2,,BBWDLEDPAT,9.84,0.75,10.59,
202C,fluorescent,pendant,battfluo4,Assembly,7,Test switch connections,2.81,,BBWDPAT,10.7,1.71,12.41,
202C,fluorescent,pendant,battfluo4,Assembly,8,Extra time to connect light to batt.,1,,BBWI,10.7,1.71,12.41,
202C,fluorescent,pendant,battfluo4,Assembly,9,Extra time to connecte driver to batt.,2,,BBWILED,9.84,0.75,10.59,
202C,fluorescent,pendant,battfluo4,Assembly,10,Extra time for Battery test,0.2,,BBWILEDPAT,9.84,0.75,10.59,
202C,fluorescent,pendant,battfluo4,Assembly,11,Emergency labels,0.36,,BBWIPAT,10.7,1.71,12.41,
202C,fluorescent,pendant,battfluo4,Preparation,1,Remove battery & acc. from box,0.3,,BBWLEDPAT,9.84,0.75,10.59,
202C,fluorescent,pendant,battfluo4,Preparation,2,Cap unused lead wire (black or orange),0.33,,BBWPAT,10.7,1.71,12.41,
202C,fluorescent,pendant,battfluo4,Preparation,3,Put ballast aside,0.08,,BD,10.7,1.71,12.41,
202CA,fluorescent,pendant,battfluo4,Assembly,4,Put battery in housing and fix with XO brkt & screws,1.65,,BDI,10.7,1.71,12.41,
202CA,fluorescent,pendant,battfluo4,Assembly,5,Inverter connections+get out wires,0.3,,BDIW,10.7,1.71,12.41,
202CA,fluorescent,pendant,battfluo4,Assembly,6,Indicator light connections+clip light,2,,BDLED,9.84,0.75,10.59,
202CA,fluorescent,pendant,battfluo4,Assembly,7,Test switch connections,2.81,,BDLEDPAT,9.84,0.75,10.59,
202CA,fluorescent,pendant,battfluo4,Assembly,8,Extra time to connect light to batt.,1,,BDPAT,10.7,1.71,12.41,
202CA,fluorescent,pendant,battfluo4,Assembly,9,Extra time to connecte driver to batt.,2,,BI,10.7,1.71,12.41,
202CA,fluorescent,pendant,battfluo4,Assembly,10,Extra time for Battery test,0.2,,BILED,9.84,0.75,10.59,
202CA,fluorescent,pendant,battfluo4,Assembly,11,Emergency labels,0.36,,BILEDPAT,9.84,0.75,10.59,
202CA,fluorescent,pendant,battfluo4,Preparation,1,Remove battery & acc. from box,0.3,,BIPAT,10.7,1.71,12.41,
202CA,fluorescent,pendant,battfluo4,Preparation,2,Cap unused lead wire (black or orange),0.33,,BLEDPAT,9.84,0.75,10.59,
202CA,fluorescent,pendant,battfluo4,Preparation,3,Put ballast aside,0.08,,BMD,9.84,0.71,10.55,
202CS,fluorescent,surface,battfluo4,Assembly,4,Put battery in housing and fix with XO brkt & screws,1.65,,BMDLED,10.7,0.75,11.45,
202CS,fluorescent,surface,battfluo4,Assembly,5,Inverter connections+get out wires,0.3,,BMDLEDPAT,10.7,0.75,11.45,
202CS,fluorescent,surface,battfluo4,Assembly,6,Indicator light connections+clip light,2,,BMDPAT,9.84,0.71,10.55,
202CS,fluorescent,surface,battfluo4,Assembly,7,Test switch connections,2.81,,BMI,9.84,0.71,10.55,
202CS,fluorescent,surface,battfluo4,Assembly,8,Extra time to connect light to batt.,1,,BMILED,10.7,0.75,11.45,
202CS,fluorescent,surface,battfluo4,Assembly,9,Extra time to connecte driver to batt.,2,,BMILEDPAT,10.7,0.75,11.45,
202CS,fluorescent,surface,battfluo4,Assembly,10,Extra time for Battery test,0.2,,BMIPAT,9.84,0.71,10.55,
202CS,fluorescent,surface,battfluo4,Assembly,11,Emergency labels,0.36,,BMLEDPAT,10.7,0.75,11.45,
202CS,fluorescent,surface,battfluo4,Preparation,1,Remove battery & acc. from box,0.3,,BMR,9.84,0.71,10.55,
202CS,fluorescent,surface,battfluo4,Preparation,2,Cap unused lead wire (black or orange),0.33,,BMRLED,10.7,0.75,11.45,
202CS,fluorescent,surface,battfluo4,Preparation,3,Put ballast aside,0.08,,BMRLEDPAT,10.7,0.75,11.45,
202CW,fluorescent,wall,battfluo4,Assembly,4,Put battery in housing and fix with XO brkt & screws,1.65,,BMRPAT,9.84,0.71,10.55,
202CW,fluorescent,wall,battfluo4,Assembly,5,Inverter connections+get out wires,0.3,,BMRV,9.84,0.71,10.55,
202CW,fluorescent,wall,battfluo4,Assembly,6,Indicator light connections+clip light,2,,BMRVLED,10.7,0.75,11.45,
202CW,fluorescent,wall,battfluo4,Assembly,7,Test switch connections,2.81,,BMS,9.84,0.71,10.55,
202CW,fluorescent,wall,battfluo4,Assembly,8,Extra time to connect light to batt.,1,,BMSLED,10.7,0.75,11.45,
202CW,fluorescent,wall,battfluo4,Assembly,9,Extra time to connecte driver to batt.,2,,BMSLEDPAT,10.7,0.75,11.45,
202CW,fluorescent,wall,battfluo4,Assembly,10,Extra time for Battery test,0.2,,BMSPAT,9.84,0.71,10.55,
202CW,fluorescent,wall,battfluo4,Assembly,11,Emergency labels,0.36,,BMWD,9.84,0.71,10.55,
202CW,fluorescent,wall,battfluo4,Preparation,1,Remove battery & acc. from box,0.3,,BMWDLED,10.7,0.75,11.45,
202CW,fluorescent,wall,battfluo4,Preparation,2,Cap unused lead wire (black or orange),0.33,,BMWDLEDPAT,10.7,0.75,11.45,
202CW,fluorescent,wall,battfluo4,Preparation,3,Put ballast aside,0.08,,BMWDPAT,9.84,0.71,10.55,
202CWA,fluorescent,wall,battfluo4,Assembly,4,Put battery in housing and fix with XO brkt & screws,1.65,,BMWI,9.84,0.71,10.55,
202CWA,fluorescent,wall,battfluo4,Assembly,5,Inverter connections+get out wires,0.3,,BMWILED,10.7,0.75,11.45,
202CWA,fluorescent,wall,battfluo4,Assembly,6,Indicator light connections+clip light,2,,BMWILEDPAT,10.7,0.75,11.45,
202CWA,fluorescent,wall,battfluo4,Assembly,7,Test switch connections,2.81,,BMWIPAT,9.84,0.71,10.55,
202CWA,fluorescent,wall,battfluo4,Assembly,8,Extra time to connect light to batt.,1,,BMWLEDPAT,10.7,0.75,11.45,
202CWA,fluorescent,wall,battfluo4,Assembly,9,Extra time to connecte driver to batt.,2,,BMWPAT,9.84,0.71,10.55,
202CWA,fluorescent,wall,battfluo4,Assembly,10,Extra time for Battery test,0.2,,BMWV,9.84,0.71,10.55,
202CWA,fluorescent,wall,battfluo4,Assembly,11,Emergency labels,0.36,,BMWVLED,10.7,0.75,11.45,
202CWA,fluorescent,wall,battfluo4,Preparation,1,Remove battery & acc. from box,0.3,,BR,9.84,0.71,10.55,
202CWA,fluorescent,wall,battfluo4,Preparation,2,Cap unused lead wire (black or orange),0.33,,BRLED,9.84,0.75,10.59,
202CWA,fluorescent,wall,battfluo4,Preparation,3,Put ballast aside,0.08,,BRLEDPAT,9.84,0.75,10.59,
202F,fluorescent,pendant,battfluo4,Assembly,4,Put battery in housing and fix with XO brkt & screws,1.65,,BRPAT,9.84,0.71,10.55,
202F,fluorescent,pendant,battfluo4,Assembly,5,Inverter connections+get out wires,0.3,,BRV,9.84,0.71,10.55,
202F,fluorescent,pendant,battfluo4,Assembly,6,Indicator light connections+clip light,2,,BRVLED,9.84,0.75,10.59,
202F,fluorescent,pendant,battfluo4,Assembly,7,Test switch connections,2.81,,BS,9.84,0.71,10.55,
202F,fluorescent,pendant,battfluo4,Assembly,8,Extra time to connect light to batt.,1,,BSLED,9.84,0.75,10.59,
202F,fluorescent,pendant,battfluo4,Assembly,9,Extra time to connecte driver to batt.,2,,BSLEDPAT,9.84,0.75,10.59,
202F,fluorescent,pendant,battfluo4,Assembly,10,Extra time for Battery test,0.2,,BSPAT,9.84,0.71,10.55,
202F,fluorescent,pendant,battfluo4,Assembly,11,Emergency labels,0.36,,BWD,9.84,0.71,10.55,
202F,fluorescent,pendant,battfluo4,Preparation,1,Remove battery & acc. from box,0.3,,BWDLED,9.84,0.75,10.59,
202F,fluorescent,pendant,battfluo4,Preparation,2,Cap unused lead wire (black or orange),0.33,,BWDLEDPAT,9.84,0.75,10.59,
202F,fluorescent,pendant,battfluo4,Preparation,3,Put ballast aside,0.08,,BWDPAT,9.84,0.71,10.55,
202FA,fluorescent,pendant,battfluo4,Assembly,4,Put battery in housing and fix with XO brkt & screws,1.65,,BWI,9.84,0.71,10.55,
202FA,fluorescent,pendant,battfluo4,Assembly,5,Inverter connections+get out wires,0.3,,BWILED,9.84,0.75,10.59,
202FA,fluorescent,pendant,battfluo4,Assembly,6,Indicator light connections+clip light,2,,BWILEDPAT,9.84,0.75,10.59,
202FA,fluorescent,pendant,battfluo4,Assembly,7,Test switch connections,2.81,,BWIPAT,9.84,0.71,10.55,
202FA,fluorescent,pendant,battfluo4,Assembly,8,Extra time to connect light to batt.,1,,BWLEDPAT,9.84,0.75,10.59,
202FA,fluorescent,pendant,battfluo4,Assembly,9,Extra time to connecte driver to batt.,2,,BWPAT,9.84,0.71,10.55,
202FA,fluorescent,pendant,battfluo4,Assembly,10,Extra time for Battery test,0.2,,BWV,9.84,0.71,10.55,
202FA,fluorescent,pendant,battfluo4,Assembly,11,Emergency labels,0.36,,BWVLED,9.84,0.75,10.59,
202FA,fluorescent,pendant,battfluo4,Preparation,1,Remove battery & acc. from box,0.3,,CLKLED,9.84,0.75,10.59,
202FA,fluorescent,pendant,battfluo4,Preparation,2,Cap unused lead wire (black or orange),0.33,,CU,10.32,0.71,11.03,
202FA,fluorescent,pendant,battfluo4,Preparation,3,Put ballast aside,0.08,,CUA,10.32,0.71,11.03,
202FW,fluorescent,wall,battfluo4,Assembly,4,Put battery in housing and fix with XO brkt & screws,1.65,,CUB,10.32,0.71,11.03,
202FW,fluorescent,wall,battfluo4,Assembly,5,Inverter connections+get out wires,0.3,,CUBA,10.32,0.71,11.03,
202FW,fluorescent,wall,battfluo4,Assembly,6,Indicator light connections+clip light,2,,CUBLED,10.32,0.75,11.07,
202FW,fluorescent,wall,battfluo4,Assembly,7,Test switch connections,2.81,,CUBS,10.32,0.71,11.03,
202FW,fluorescent,wall,battfluo4,Assembly,8,Extra time to connect light to batt.,1,,CUBW,10.32,0.71,11.03,
202FW,fluorescent,wall,battfluo4,Assembly,9,Extra time to connecte driver to batt.,2,,CUBWA,10.32,0.71,11.03,
202FW,fluorescent,wall,battfluo4,Assembly,10,Extra time for Battery test,0.2,,CUBWLED,10.32,0.75,11.07,
202FW,fluorescent,wall,battfluo4,Assembly,11,Emergency labels,0.36,,CUS,10.32,0.71,11.03,
202FW,fluorescent,wall,battfluo4,Preparation,1,Remove battery & acc. from box,0.3,,CUW,10.32,0.71,11.03,
202FW,fluorescent,wall,battfluo4,Preparation,2,Cap unused lead wire (black or orange),0.33,,CUWA,10.32,0.71,11.03,
202FW,fluorescent,wall,battfluo4,Preparation,3,Put ballast aside,0.08,,D5,9.84,0.71,10.55,
202FWA,fluorescent,wall,battfluo4,Assembly,4,Put battery in housing and fix with XO brkt & screws,1.65,,D5S,9.84,0.71,10.55,
202FWA,fluorescent,wall,battfluo4,Assembly,5,Inverter connections+get out wires,0.3,,D5W,9.84,0.71,10.55,
202FWA,fluorescent,wall,battfluo4,Assembly,6,Indicator light connections+clip light,2,,DAYC,9.84,0.71,10.55,
202FWA,fluorescent,wall,battfluo4,Assembly,7,Test switch connections,2.81,,DAYCLED,9.84,0.75,10.59,
202FWA,fluorescent,wall,battfluo4,Assembly,8,Extra time to connect light to batt.,1,,DAYF,9.84,0.71,10.55,
202FWA,fluorescent,wall,battfluo4,Assembly,9,Extra time to connecte driver to batt.,2,,DAYFLED,9.84,0.75,10.59,
202FWA,fluorescent,wall,battfluo4,Assembly,10,Extra time for Battery test,0.2,,DIA,9.84,0.71,10.55,
202FWA,fluorescent,wall,battfluo4,Assembly,11,Emergency labels,0.36,,DIALED,9.84,0.75,10.59,
202FWA,fluorescent,wall,battfluo4,Preparation,1,Remove battery & acc. from box,0.3,,DUO,9.84,0.71,10.55,
202FWA,fluorescent,wall,battfluo4,Preparation,2,Cap unused lead wire (black or orange),0.33,,EL,9.84,0.71,10.55,
202FWA,fluorescent,wall,battfluo4,Preparation,3,Put ballast aside,0.08,,ELS,9.84,0.71,10.55,
202LED,led,pendant,Battled4,Preparation,1,sub-assembly battery,0.3,,ELW,9.84,0.71,10.55,
202LED,led,pendant,Battled5,Preparation,2,drill hole in reflector for invertor wires,0.45,,FL,9.84,0.71,10.55,
202LED,led,pendant,Battled6,Assembly,3,put battery in housing and fix with XO brkt & screws,1.17,,FLW,9.84,0.71,10.55,
202LED,led,pendant,Battled7,Assembly,4,inverter connections+get out wires,0.3,,L2,10.32,0.71,11.03,
202LED,led,pendant,Battled8,Assembly,5,indicator light connections+clip light,2,,L2A,10.32,0.71,11.03,
202LED,led,pendant,Battled9,Assembly,6,test switch connections,2.81,,L2S,10.32,0.71,11.03,
202LED,led,pendant,Battled10,Assembly,7,extra time to connecte driver to batt.,3,,L2W,10.32,0.71,11.03,
202LED,led,pendant,Battled11,Assembly,8,extra time for Battery test,0.2,,L2WA,10.32,0.71,11.03,
202LED,led,pendant,Battled12,Assembly,9,emergency labels,0.36,,LT,10.32,0.71,11.03,
202WLED,led,pendant,Battled4,Preparation,1,sub-assembly battery,0.3,,LTA,10.32,0.71,11.03,
202WLED,led,pendant,Battled5,Preparation,2,drill hole in reflector for invertor wires,0.45,,LTLED,9.84,0.75,10.59,
202WLED,led,pendant,Battled6,Assembly,3,put battery in housing and fix with XO brkt & screws,1.17,,LTW,10.32,0.71,11.03,
202WLED,led,pendant,Battled7,Assembly,4,inverter connections+get out wires,0.3,,LTWA,10.32,0.71,11.03,
202WLED,led,pendant,Battled8,Assembly,5,indicator light connections+clip light,2,,LTWLED,9.84,0.75,10.59,
202WLED,led,pendant,Battled9,Assembly,6,test switch connections,2.81,,MB,9.84,0.71,10.55,
202WLED,led,pendant,Battled10,Assembly,7,extra time to connecte driver to batt.,3,,MBLED,9.84,0.75,10.59,
202WLED,led,pendant,Battled11,Assembly,8,extra time for Battery test,0.2,,MBS,9.84,0.71,10.55,
202WLED,led,pendant,Battled12,Assembly,9,emergency labels,0.36,,MBSLED,9.84,0.75,10.59,
AR,fluorescent,pendant,battfluo2,Assembly,4,Put battery in housing and fix with nuts,0.87,,MBST,9.84,0.71,10.55,
AR,fluorescent,pendant,battfluo2,Assembly,5,Inverter connections+get out wires,0.3,,MBT,9.84,0.71,10.55,
AR,fluorescent,pendant,battfluo2,Assembly,6,Indicator light connections+clip light,2,,MBW,9.84,0.71,10.55,
AR,fluorescent,pendant,battfluo2,Assembly,7,Test switch connections,2.81,,MBWLED,9.84,0.75,10.59,
AR,fluorescent,pendant,battfluo2,Assembly,8,Extra time to connect light to batt.,1,,MBWT,9.84,0.71,10.55,
AR,fluorescent,pendant,battfluo2,Assembly,9,Extra time to connect driver to batt.,2,,MBWV,9.84,0.71,10.55,
AR,fluorescent,pendant,battfluo2,Assembly,10,Extra time for Battery test,0.2,,MBWVLED,9.84,0.75,10.59,
AR,fluorescent,pendant,battfluo2,Assembly,11,Emergency labels,0.36,,PICD,9.54,0.71,10.25,
AR,fluorescent,pendant,battfluo2,Preparation,1,Remove battery & acc. from box,0.3,,PICI,9.54,0.71,10.25,
AR,fluorescent,pendant,battfluo2,Preparation,2,Cap unused lead wire (black or orange),0.33,,PICR,9.54,0.71,10.25,
AR,fluorescent,pendant,battfluo2,Preparation,3,Put ballast aside,0.08,,PICWD,9.54,0.71,10.25,
