Bracket/N Bracket,Lighting,Driver/Ballast,Work Center,Option,ID,Task,Qty,Unit Time (min),Total time (min),,Sum of Total time (min),Column Labels,,,,,,,,,,,,,,,,
Bracket,fluorescent,E,Preparation,subafbe,7,Cut ends of 2 red wires & plug into ballast,1,0.33,0.33,,D,,,,,,,,,,,,,,,,,
Bracket,fluorescent,E,Preparation,subafbe,8,Cut ends of 2 yellow wires & plug into ballast,1,0.33,0.33,,Bracket,2.395,2.395,,,,,,,,,,,,,,,
Bracket,fluorescent,E,Preparation,subafbe,9,Qc,1,0.05,0.05,,N Bracket,1.395,1.395,,,,,,,,,,,,,,,
Bracket,fluorescent,E,Preparation,subafbe,10,Installed 2 brackets,1,1,1,,LT,,,,,,,,,,,,,,,,,
Bracket,fluorescent,E,Preparation,subafbe,11,Put ballast aside,1,0.08,0.08,,Bracket,2.395,2.395,,,,,,,,,,,,,,,
Bracket,fluorescent,ERS,Preparation,subafbers,1,"Remove from box, stretch wires",1,0.13,0.13,,N Bracket,1.395,1.395,,,,,,,,,,,,,,,
Bracket,fluorescent,ERS,Preparation,subafbers,2,"Cut&streap hot+neutral wires, plug disconnect connector",1,0.2,0.2,,MD,,,,,,,,,,,,,,,,,
Bracket,fluorescent,ERS,Preparation,subafbers,3,Strip remaining wires & plug in connector,1,0.18,0.18,,Bracket,0.845,0.845,,,,,,,,,,,,,,,
Bracket,fluorescent,ERS,Preparation,subafbers,4,Installed 2 brackets,1,1,1,,N Bracket,0.845,0.845,,,,,,,,,,,,,,,
Bracket,fluorescent,ERS,Preparation,subafbers,5,Put aside,1,0.08,0.08,,DP,,,,,,,,,,,,,,,,,
Bracket,led,D,Preparation,subalbd,1,Bring driver on table,1,0.09,0.09,,Bracket,2.795,2.795,,,,,,,,,,,,,,,
Bracket,led,D,Preparation,subalbd,2,Plug black & white wires in yellow connector,1,0.2,0.2,,N Bracket,2.795,2.795,,,,,,,,,,,,,,,
Bracket,led,D,Preparation,subalbd,3,Cut end of black & white wires,1,0.185,0.185,,Grand Total,39.48,39.48,,,,,,,,,,,,,,,
Bracket,led,D,Preparation,subalbd,4,Plug black & white wires in ballast,1,0.12,0.12,,,,,,,,,,,,,,,,,,,
Bracket,led,D,Preparation,subalbd,5,Cut end of purple & grey wires and plug in ballast,1,0.34,0.34,,,,,,,,,,,,,,,,,,,
Bracket,led,D,Preparation,subalbd,6,"Form, cut & plug a resistor into driver",1,0.21,0.21,,,,,,,,,,,,,,,,,,,
Bracket,led,D,Preparation,subalbd,7,Cut&stick resistor label,1,0.12,0.12,,,,,,,,,,,,,,,,,,,
Bracket,led,D,Preparation,subalbd,8,Qc,1,0.05,0.05,,,,,,,,,,,,,,,,,,,
Bracket,led,D,Preparation,subalbd,9,Installed 2 brackets,1,1,1,,,,,,,,,,,,,,,,,,,
Bracket,led,D,Preparation,subalbd,10,Put ballast aside,1,0.08,0.08,,,,,,,,,,,,,,,,,,,
Bracket,led,LT,Preparation,subalblt,1,Bring driver on table,1,0.09,0.09,,,,,,,,,,,,,,,,,,,
Bracket,led,LT,Preparation,subalblt,2,Plug black & white wires in yellow connector,1,0.2,0.2,,,,,,,,,,,,,,,,,,,
Bracket,led,LT,Preparation,subalblt,3,Cut end of black & white wires,1,0.185,0.185,,,,,,,,,,,,,,,,,,,
Bracket,led,LT,Preparation,subalblt,4,Plug black & white wires in ballast,1,0.12,0.12,,,,,,,,,,,,,,,,,,,
Bracket,led,LT,Preparation,subalblt,5,Cut end of purple & grey wires and plug in ballast,1,0.34,0.34,,,,,,,,,,,,,,,,,,,
Bracket,led,LT,Preparation,subalblt,6,"Form, cut & plug a resistor into driver",1,0.21,0.21,,,,,,,,,,,,,,,,,,,
Bracket,led,LT,Preparation,subalblt,7,Cut&stick resistor label,1,0.12,0.12,,,,,,,,,,,,,,,,,,,
Bracket,led,LT,Preparation,subalblt,8,Qc,1,0.05,0.05,,,,,,,,,,,,,,,,,,,
Bracket,led,LT,Preparation,subalblt,9,Installed 2 brackets,1,1,1,,,,,,,,,,,,,,,,,,,
Bracket,led,LT,Preparation,subalblt,10,Put ballast aside,1,0.08,0.08,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,D,Preparation,subafnbd,1,Bring ballast on table,1,0.09,0.09,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,D,Preparation,subafnbd,2,Plug black & white wires in yellow connector,1,0.2,0.2,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,D,Preparation,subafnbd,3,Cut end of black & white wires,1,0.185,0.185,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,D,Preparation,subafnbd,4,Plug black & white wires in ballast,1,0.12,0.12,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,D,Preparation,subafnbd,5,Cut end of purple & grey wires and plug in ballast,1,0.34,0.34,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,D,Preparation,subafnbd,6,Plug white & black wires into yellow connectors,1,0.2,0.2,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,D,Preparation,subafnbd,7,Cut ends of 2 blue wires & plug into ballast,1,0.33,0.33,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,D,Preparation,subafnbd,8,Cut ends of 2 red wires & plug into ballast,1,0.33,0.33,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,D,Preparation,subafnbd,9,Cut ends of 2 yellow wires & plug into ballast,1,0.33,0.33,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,D,Preparation,subafnbd,10,Qc,1,0.05,0.05,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,D,Preparation,subafnbd,11,Put ballast aside,1,0.08,0.08,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,E,Preparation,subafnbe,1,Bring ballast on table,1,0.09,0.09,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,E,Preparation,subafnbe,2,Plug black & white wires in yellow connector,1,0.2,0.2,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,E,Preparation,subafnbe,3,Cut end of black & white wires,1,0.185,0.185,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,E,Preparation,subafnbe,4,Plug black & white wires in ballast,1,0.12,0.12,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,E,Preparation,subafnbe,5,Plug white & black wires into yellow connectors,1,0.2,0.2,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,E,Preparation,subafnbe,6,Cut ends of 2 blue wires & plug into ballast,1,0.33,0.33,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,E,Preparation,subafnbe,7,Cut ends of 2 red wires & plug into ballast,1,0.33,0.33,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,E,Preparation,subafnbe,8,Cut ends of 2 yellow wires & plug into ballast,1,0.33,0.33,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,E,Preparation,subafnbe,9,Qc,1,0.05,0.05,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,E,Preparation,subafnbe,10,Put ballast aside,1,0.08,0.08,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,ERS,Preparation,subafnbers,1,"Remove from box, stretch wires",1,0.13,0.13,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,ERS,Preparation,subafnbers,2,"Cut&streap hot+neutral wires, plug disconnect connector",1,0.2,0.2,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,ERS,Preparation,subafnbers,3,Strip remaining wires & plug in connector,1,0.18,0.18,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,ERS,Preparation,subafnbers,4,Put aside,1,0.08,0.08,,,,,,,,,,,,,,,,,,,
N Bracket,led,D,Preparation,subalnbd,1,Bring driver on table,1,0.09,0.09,,,,,,,,,,,,,,,,,,,
N Bracket,led,D,Preparation,subalnbd,2,Plug black & white wires in yellow connector,1,0.2,0.2,,,,,,,,,,,,,,,,,,,
N Bracket,led,D,Preparation,subalnbd,3,Cut end of black & white wires,1,0.185,0.185,,,,,,,,,,,,,,,,,,,
N Bracket,led,D,Preparation,subalnbd,4,Plug black & white wires in ballast,1,0.12,0.12,,,,,,,,,,,,,,,,,,,
N Bracket,led,D,Preparation,subalnbd,5,Cut end of purple & grey wires and plug in ballast,1,0.34,0.34,,,,,,,,,,,,,,,,,,,
N Bracket,led,D,Preparation,subalnbd,6,"Form, cut & plug a resistor into driver",1,0.21,0.21,,,,,,,,,,,,,,,,,,,
N Bracket,led,D,Preparation,subalnbd,7,Cut&stick resistor label,1,0.12,0.12,,,,,,,,,,,,,,,,,,,
N Bracket,led,D,Preparation,subalnbd,8,Qc,1,0.05,0.05,,,,,,,,,,,,,,,,,,,
N Bracket,led,D,Preparation,subalnbd,9,Installed 2 brackets,1,0,0,,,,,,,,,,,,,,,,,,,
N Bracket,led,D,Preparation,subalnbd,10,Put ballast aside,1,0.08,0.08,,,,,,,,,,,,,,,,,,,
N Bracket,led,LT,Preparation,subalnblt,1,Bring driver on table,1,0.09,0.09,,,,,,,,,,,,,,,,,,,
N Bracket,led,LT,Preparation,subalnblt,2,Plug black & white wires in yellow connector,1,0.2,0.2,,,,,,,,,,,,,,,,,,,
N Bracket,led,LT,Preparation,subalnblt,3,Cut end of black & white wires,1,0.185,0.185,,,,,,,,,,,,,,,,,,,
N Bracket,led,LT,Preparation,subalnblt,4,Plug black & white wires in ballast,1,0.12,0.12,,,,,,,,,,,,,,,,,,,
N Bracket,led,LT,Preparation,subalnblt,5,Cut end of purple & grey wires and plug in ballast,1,0.34,0.34,,,,,,,,,,,,,,,,,,,
N Bracket,led,LT,Preparation,subalnblt,6,"Form, cut & plug a resistor into driver",1,0.21,0.21,,,,,,,,,,,,,,,,,,,
N Bracket,led,LT,Preparation,subalnblt,7,Cut&stick resistor label,1,0.12,0.12,,,,,,,,,,,,,,,,,,,
N Bracket,led,LT,Preparation,subalnblt,8,Qc,1,0.05,0.05,,,,,,,,,,,,,,,,,,,
N Bracket,led,LT,Preparation,subalnblt,9,Installed 2 brackets,1,0,0,,,,,,,,,,,,,,,,,,,
N Bracket,led,LT,Preparation,subalnblt,10,Put ballast aside,1,0.08,0.08,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,BI,Preparation,subafnbbi,1,Bring ballast on table,1,0.09,0.09,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,BI,Preparation,subafnbbi,2,Plug black & white wires in yellow connector,1,0.2,0.2,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,BI,Preparation,subafnbbi,3,Cut end of black & white wires,1,0.185,0.185,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,BI,Preparation,subafnbbi,4,Plug black & white wires in ballast,1,0.12,0.12,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,BI,Preparation,subafnbbi,5,Plug orange wire in yellow connector,1,0.2,0.2,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,BI,Preparation,subafnbbi,6,Plug orange wire in ballast,1,0.07,0.07,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,BI,Preparation,subafnbbi,7,Cut end of purple & grey wires and plug in ballast,1,0.34,0.34,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,BI,Preparation,subafnbbi,8,Plug white & black wires into yellow connectors,1,0.2,0.2,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,BI,Preparation,subafnbbi,9,Cut ends of 2 blue wires & plug into ballast,1,0.33,0.33,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,BI,Preparation,subafnbbi,10,Cut ends of 2 red wires & plug into ballast,1,0.33,0.33,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,BI,Preparation,subafnbbi,11,Cut ends of 2 yellow wires & plug into ballast,1,0.33,0.33,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,BI,Preparation,subafnbbi,12,Qc,1,0.05,0.05,,,,,,,,,,,,,,,,,,,
N Bracket,fluorescent,BI,Preparation,subafnbbi,13,Put ballast aside,1,0.08,0.08,,,,,,,,,,,,,,,,,,,
Bracket,fluorescent,BI,Preparation,subafbbi,1,Bring ballast on table,1,0.09,0.09,,,,,,,,,,,,,,,,,,,
Bracket,fluorescent,BI,Preparation,subafbbi,2,Plug black & white wires in yellow connector,1,0.2,0.2,,,,,,,,,,,,,,,,,,,
Bracket,fluorescent,BI,Preparation,subafbbi,3,Cut end of black & white wires,1,0.185,0.185,,,,,,,,,,,,,,,,,,,
Bracket,fluorescent,BI,Preparation,subafbbi,4,Plug black & white wires in ballast,1,0.12,0.12,,,,,,,,,,,,,,,,,,,
Bracket,fluorescent,BI,Preparation,subafbbi,5,Plug orange wire in yellow connector,1,0.2,0.2,,,,,,,,,,,,,,,,,,,
Bracket,fluorescent,BI,Preparation,subafbbi,6,Plug orange wire in ballast,1,0.07,0.07,,,,,,,,,,,,,,,,,,,
Bracket,fluorescent,BI,Preparation,subafbbi,7,Cut end of purple & grey wires and plug in ballast,1,0.34,0.34,,,,,,,,,,,,,,,,,,,
Bracket,fluorescent,BI,Preparation,subafbbi,8,Plug white & black wires into yellow connectors,1,0.2,0.2,,,,,,,,,,,,,,,,,,,
Bracket,fluorescent,BI,Preparation,subafbbi,9,Cut ends of 2 blue wires & plug into ballast,1,0.33,0.33,,,,,,,,,,,,,,,,,,,
Bracket,fluorescent,BI,Preparation,subafbbi,10,Cut ends of 2 red wires & plug into ballast,1,0.33,0.33,,,,,,,,,,,,,,,,,,,
Bracket,fluorescent,BI,Preparation,subafbbi,11,Cut ends of 2 yellow wires & plug into ballast,1,0.33,0.33,,,,,,,,,,,,,,,,,,,
Bracket,fluorescent,BI,Preparation,subafbbi,12,Qc,1,0.05,0.05,,,,,,,,,,,,,,,,,,,
Bracket,fluorescent,BI,Preparation,subafbbi,13,Installed 2 brackets,1,1,1,,,,,,,,,,,,,,,,,,,
Bracket,fluorescent,BI,Preparation,subafbbi,14,Put ballast aside,1,0.08,0.08,,,,,,,,,,,,,,,,,,,
N Bracket,led,MD,Preparation,subalnbd,1,bring ballast on table,1,0.09,0.09,,,,,,,,,,,,,,,,,,,
N Bracket,led,MD,Preparation,subalnbd,2,plug black & white wires in yellow connector,1,0.2,0.2,,,,,,,,,,,,,,,,,,,
N Bracket,led,MD,Preparation,subalnbd,3,cut end of black & white wires,1,0.185,0.185,,,,,,,,,,,,,,,,,,,
N Bracket,led,MD,Preparation,subalnbd,4,plug black & white wires in ballast,1,0.12,0.12,,,,,,,,,,,,,,,,,,,
N Bracket,led,MD,Preparation,subalnbd,5,cut end of green & plug into driver,1,0.13,0.13,,,,,,,,,,,,,,,,,,,
N Bracket,led,MD,Preparation,subalnbd,6,programming press 2 mechanical buttons,1,0.12,0.12,,,,,,,,,,,,,,,,,,,
Bracket,led,DP,Preparation,subalbdp,1,Bring driver on table,1,0.09,0.09,,,,,,,,,,,,,,,,,,,
Bracket,led,DP,Preparation,subalbdp,2,Program Driver,1,0.4,0.4,,,,,,,,,,,,,,,,,,,
Bracket,led,DP,Preparation,subalbdp,3,Plug black & white wires in yellow connector,1,0.2,0.2,,,,,,,,,,,,,,,,,,,
Bracket,led,DP,Preparation,subalbdp,4,Cut end of black & white wires,1,0.185,0.185,,,,,,,,,,,,,,,,,,,
Bracket,led,DP,Preparation,subalbdp,5,Plug black & white wires in ballast,1,0.12,0.12,,,,,,,,,,,,,,,,,,,
Bracket,led,DP,Preparation,subalbdp,6,Cut end of purple & grey wires and plug in ballast,1,0.34,0.34,,,,,,,,,,,,,,,,,,,
Bracket,led,DP,Preparation,subalbdp,7,"Form, cut & plug a resistor into driver",1,0.21,0.21,,,,,,,,,,,,,,,,,,,
Bracket,led,DP,Preparation,subalbdp,8,Cut&stick resistor label,1,0.12,0.12,,,,,,,,,,,,,,,,,,,
Bracket,led,DP,Preparation,subalbdp,9,Qc,1,0.05,0.05,,,,,,,,,,,,,,,,,,,
Bracket,led,DP,Preparation,subalbdp,10,Installed 2 brackets,1,1,1,,,,,,,,,,,,,,,,,,,
Bracket,led,DP,Preparation,subalbdp,11,Put ballast aside,1,0.08,0.08,,,,,,,,,,,,,,,,,,,
N Bracket,led,DP,Preparation,subalbdp,1,Bring driver on table,1,0.09,0.09,,,,,,,,,,,,,,,,,,,
N Bracket,led,DP,Preparation,subalbdp,2,Program Driver,1,0.4,0.4,,,,,,,,,,,,,,,,,,,
N Bracket,led,DP,Preparation,subalbdp,3,Plug black & white wires in yellow connector,1,0.2,0.2,,,,,,,,,,,,,,,,,,,
N Bracket,led,DP,Preparation,subalbdp,4,Cut end of black & white wires,1,0.185,0.185,,,,,,,,,,,,,,,,,,,
N Bracket,led,DP,Preparation,subalbdp,5,Plug black & white wires in ballast,1,0.12,0.12,,,,,,,,,,,,,,,,,,,
N Bracket,led,DP,Preparation,subalbdp,6,Cut end of purple & grey wires and plug in ballast,1,0.34,0.34,,,,,,,,,,,,,,,,,,,
N Bracket,led,DP,Preparation,subalbdp,7,"Form, cut & plug a resistor into driver",1,0.21,0.21,,,,,,,,,,,,,,,,,,,
N Bracket,led,DP,Preparation,subalbdp,8,Cut&stick resistor label,1,0.12,0.12,,,,,,,,,,,,,,,,,,,
N Bracket,led,DP,Preparation,subalbdp,9,Qc,1,0.05,0.05,,,,,,,,,,,,,,,,,,,
N Bracket,led,DP,Preparation,subalbdp,10,Installed 2 brackets,1,1,1,,,,,,,,,,,,,,,,,,,
N Bracket,led,DP,Preparation,subalbdp,11,Put ballast aside,1,0.08,0.08,,,,,,,,,,,,,,,,,,,
N Bracket,led,BI,Preparation,subafnbbi,1,Bring ballast on table,1,0.09,0.09,,,,,,,,,,,,,,,,,,,
N Bracket,led,BI,Preparation,subafnbbi,2,Plug black & white wires in yellow connector,1,0.2,0.2,,,,,,,,,,,,,,,,,,,
N Bracket,led,BI,Preparation,subafnbbi,3,Cut end of black & white wires,1,0.185,0.185,,,,,,,,,,,,,,,,,,,
N Bracket,led,BI,Preparation,subafnbbi,4,Plug black & white wires in ballast,1,0.12,0.12,,,,,,,,,,,,,,,,,,,
N Bracket,led,BI,Preparation,subafnbbi,5,Plug orange wire in yellow connector,1,0.2,0.2,,,,,,,,,,,,,,,,,,,
N Bracket,led,BI,Preparation,subafnbbi,6,Plug orange wire in ballast,1,0.07,0.07,,,,,,,,,,,,,,,,,,,
N Bracket,led,BI,Preparation,subafnbbi,7,Cut end of purple & grey wires and plug in ballast,1,0.34,0.34,,,,,,,,,,,,,,,,,,,
N Bracket,led,BI,Preparation,subafnbbi,8,Plug white & black wires into yellow connectors,1,0.2,0.2,,,,,,,,,,,,,,,,,,,
N Bracket,led,BI,Preparation,subafnbbi,9,Cut ends of 2 blue wires & plug into ballast,1,0.33,0.33,,,,,,,,,,,,,,,,,,,
N Bracket,led,BI,Preparation,subafnbbi,10,Cut ends of 2 red wires & plug into ballast,1,0.33,0.33,,,,,,,,,,,,,,,,,,,
N Bracket,led,BI,Preparation,subafnbbi,11,Cut ends of 2 yellow wires & plug into ballast,1,0.33,0.33,,,,,,,,,,,,,,,,,,,
N Bracket,led,BI,Preparation,subafnbbi,12,Qc,1,0.05,0.05,,,,,,,,,,,,,,,,,,,
N Bracket,led,BI,Preparation,subafnbbi,13,Put ballast aside,1,0.08,0.08,,,,,,,,,,,,,,,,,,,
Bracket,led,BI,Preparation,subafbbi,1,Bring ballast on table,1,0.09,0.09,,,,,,,,,,,,,,,,,,,
Bracket,led,BI,Preparation,subafbbi,2,Plug black & white wires in yellow connector,1,0.2,0.2,,,,,,,,,,,,,,,,,,,
Bracket,led,BI,Preparation,subafbbi,3,Cut end of black & white wires,1,0.185,0.185,,,,,,,,,,,,,,,,,,,
Bracket,led,BI,Preparation,subafbbi,4,Plug black & white wires in ballast,1,0.12,0.12,,,,,,,,,,,,,,,,,,,
Bracket,led,BI,Preparation,subafbbi,5,Plug orange wire in yellow connector,1,0.2,0.2,,,,,,,,,,,,,,,,,,,
Bracket,led,BI,Preparation,subafbbi,6,Plug orange wire in ballast,1,0.07,0.07,,,,,,,,,,,,,,,,,,,
Bracket,led,BI,Preparation,subafbbi,7,Cut end of purple & grey wires and plug in ballast,1,0.34,0.34,,,,,,,,,,,,,,,,,,,
Bracket,led,BI,Preparation,subafbbi,8,Plug white & black wires into yellow connectors,1,0.2,0.2,,,,,,,,,,,,,,,,,,,
Bracket,led,BI,Preparation,subafbbi,9,Cut ends of 2 blue wires & plug into ballast,1,0.33,0.33,,,,,,,,,,,,,,,,,,,
Bracket,led,BI,Preparation,subafbbi,10,Cut ends of 2 red wires & plug into ballast,1,0.33,0.33,,,,,,,,,,,,,,,,,,,
Bracket,led,BI,Preparation,subafbbi,11,Cut ends of 2 yellow wires & plug into ballast,1,0.33,0.33,,,,,,,,,,,,,,,,,,,
Bracket,led,BI,Preparation,subafbbi,12,Qc,1,0.05,0.05,,,,,,,,,,,,,,,,,,,
Bracket,led,BI,Preparation,subafbbi,13,Installed 2 brackets,1,1,1,,,,,,,,,,,,,,,,,,,
Bracket,led,BI,Preparation,subafbbi,14,Put ballast aside,1,0.08,0.08,,,,,,,,,,,,,,,,,,,
Bracket,led,MD,Preparation,subalnbd,1,bring ballast on table,1,0.09,0.09,,,,,,,,,,,,,,,,,,,
Bracket,led,MD,Preparation,subalnbd,2,plug black & white wires in yellow connector,1,0.2,0.2,,,,,,,,,,,,,,,,,,,
Bracket,led,MD,Preparation,subalnbd,3,cut end of black & white wires,1,0.185,0.185,,,,,,,,,,,,,,,,,,,
Bracket,led,MD,Preparation,subalnbd,4,plug black & white wires in ballast,1,0.12,0.12,,,,,,,,,,,,,,,,,,,
Bracket,led,MD,Preparation,subalnbd,5,cut end of green & plug into driver,1,0.13,0.13,,,,,,,,,,,,,,,,,,,
Bracket,led,MD,Preparation,subalnbd,6,programming press 2 mechanical buttons,1,0.12,0.12,,,,,,,,,,,,,,,,,,,
