 Product ID , Flange , Work Center , Length , Task ,Time(min),, Sum of Time(min) , Column Labels ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 B6 , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,,, Housing Assembly ,,,,,,,,,,,,, Housing Assembly Total , Subassembly ,,, Subassembly Total , Drilling ,,, Drilling Total , Grand Total ,,,,,,,,,
 BBW , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, - ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BBWD , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, B6PAT ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BBWDILED , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, - ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BBWDLED , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, B6R ,9.00,10.00,10.75,,,,,,,,,,,29.75,,,,,,,,,29.75,,,,,,,,,
 BBWDLEDPAT , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, Flangeless ,5.00,5.50,5.75,,,,,,,,,,,16.25,,,,,,,,,16.25,,,,,,,,,
 BBWDPAT , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, Spackle Flange ,2.00,2.25,2.50,,,,,,,,,,,6.75,,,,,,,,,6.75,,,,,,,,,
 BBWI , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, With Flanges ,2.00,2.25,2.50,,,,,,,,,,,6.75,,,,,,,,,6.75,,,,,,,,,
 BBWILED , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, B6RLED ,46.74,62.01,76.05,,,,,,,,,,,184.80,,,,,,,,,184.80,,,,,,,,,
 BBWILEDPAT , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, Flangeless ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BBWIPAT , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, Spackle Flange ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BBWLEDPAT , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, With Flanges ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BBWPAT , - , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, B6RLEDPAT ,46.74,62.01,76.05,,,,,,,,,,,184.80,,,,,,,,,184.80,,,,,,,,,
 BD , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, Flangeless ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BDI , - , Housing Assembly , CAD 4.00 , set-up ,15.58,, Spackle Flange ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BDIW , - , Housing Assembly , CAD 4.00 , set-up ,15.58,, With Flanges ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BDLED , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, B6RPAT ,9.00,10.00,10.75,,,,,,,,,,,29.75,,,,,,,,,29.75,,,,,,,,,
 BDLEDPAT , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, Flangeless ,5.00,5.50,5.75,,,,,,,,,,,16.25,,,,,,,,,16.25,,,,,,,,,
 BDPAT , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, Spackle Flange ,2.00,2.25,2.50,,,,,,,,,,,6.75,,,,,,,,,6.75,,,,,,,,,
 BI , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, With Flanges ,2.00,2.25,2.50,,,,,,,,,,,6.75,,,,,,,,,6.75,,,,,,,,,
 BILED , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, B6RV ,9.00,10.00,10.75,,,,,,,,,,,29.75,,,,,,,,,29.75,,,,,,,,,
 BILEDPAT , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, Flangeless ,5.00,5.50,5.75,,,,,,,,,,,16.25,,,,,,,,,16.25,,,,,,,,,
 BIPAT , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, Spackle Flange ,2.00,2.25,2.50,,,,,,,,,,,6.75,,,,,,,,,6.75,,,,,,,,,
 BLEDPAT , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, With Flanges ,2.00,2.25,2.50,,,,,,,,,,,6.75,,,,,,,,,6.75,,,,,,,,,
 BMD , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, B6RVLED ,46.74,62.01,76.05,,,,,,,,,,,184.80,,,,,,,,,184.80,,,,,,,,,
 BMDLED , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, Flangeless ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BMDLEDPAT , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, Spackle Flange ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BMDPAT , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, With Flanges ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BMI , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, B6S ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BMILED , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, - ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BMILEDPAT , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, B6SLED ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BMIPAT , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, - ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BMLEDPAT , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, B6SLEDPAT ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BMR , Flangeless , Housing Assembly , CAD 4.00 , set-up ,5.00,, - ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BMR , Spackle Flange , Housing Assembly , CAD 4.00 , set-up ,2.00,, B6SPAT ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BMR , With Flanges , Housing Assembly , CAD 4.00 , set-up ,2.00,, - ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BMRLED , Flangeless , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, B6W ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BMRLED , Spackle Flange , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, - ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BMRLED , With Flanges , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, B6WD ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BMRLEDPAT , Flangeless , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, - ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BMRLEDPAT , Spackle Flange , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, B6WDLED ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BMRLEDPAT , With Flanges , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, - ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BMRPAT , Flangeless , Housing Assembly , CAD 4.00 , set-up ,5.00,, B6WDLEDPAT ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BMRPAT , Spackle Flange , Housing Assembly , CAD 4.00 , set-up ,2.00,, - ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BMRPAT , With Flanges , Housing Assembly , CAD 4.00 , set-up ,2.00,, B6WDPAT ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BMRV , Flangeless , Housing Assembly , CAD 4.00 , set-up ,5.00,, - ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BMRV , Spackle Flange , Housing Assembly , CAD 4.00 , set-up ,2.00,, B6WI ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BMRV , With Flanges , Housing Assembly , CAD 4.00 , set-up ,2.00,, - ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BMRVLED , Flangeless , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, B6WILEDPAT ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BMRVLED , Spackle Flange , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, - ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BMRVLED , With Flanges , Housing Assembly , CAD 4.00 , set-up , CAD 15.58 ,, B6WIPAT ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BMS , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, - ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BMSLED , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, B6WLEDPAT ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BMSLEDPAT , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, - ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BMSPAT , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, B6WPAT ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BMWD , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, - ,15.58,20.67,25.35,,,,,,,,,,,61.60,,,,,,,,,61.60,,,,,,,,,
 BMWDLED , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, BAS ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 BMWDLEDPAT , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, - ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 BMWDPAT , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, BASA ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
 BMWI , - , Housing Assembly , CAD 4.00 , set-up ,5.00,, - ,5.00,5.00,5.00,,,,,,,,,,,15.00,2.00,2.00,2.00,6.00,,,,,21.00,,,,,,,,,
