Section,Kind of Ballast/Driver,Circuit,B/D Qty,Wires Qty,Work Center,Option,Length,ID,Task,Unit Time (min),Qty,Total Time (min),,,Sum of Total Time (min),Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,BI,1,2,4,Assembly,pcswcsbi12,8,3,bring power wires to main exit,0.15,1,0.15,,,6,,,4.39,,,,,,,4.39,,,5.31,5.31,,,4.39,4.39,,,5.31,5.31,,,,,,,,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Section,BI,1,2,4,Assembly,pcswcsbi12,8,4,extra time to passing wires for XO housing,0.6,1,0.6,,,ERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,BI,1,1,4,Assembly,pcswsr1bi11,4,1,plug connector on each 4 wires of 1 ballast,0.24,1,0.24,,,1,0.23,0.34,0.55,,,,,,,1.12,3.02,3.51,4.24,10.77,0.23,0.34,0.55,1.12,3.02,3.51,4.24,10.77,0.1,0.1,0.1,0.1,0.1,0.1,0.6,24.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,BI,1,1,4,Assembly,pcswsr1bi11,4,2,"take 4 wires, plug in connector, place, put tie-wrap",0.56,2,1.12,,,2,2.35,2.48,2.7,,,,,,,7.53,3.8,4.05,4.5,12.35,2.35,2.48,2.7,7.53,3.8,4.05,4.5,12.35,0.94,0.94,0.94,0.94,0.94,0.94,5.64,45.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,BI,1,1,4,Assembly,pcswsr1bi11,4,3,bring power wires to main exit,0.1,1,0.1,,,3,,2.93,3.05,,,,,,,5.98,,4.5,5.7,10.2,,2.93,3.05,5.98,,4.5,5.7,10.2,,,,,,,,32.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,BI,1,1,4,Assembly,pcswsr1bi11,4,4,bring wires to exit for system-run,0.1,1,0.1,,,4,,4.63,4.88,,,,,,,9.51,,6.2,6.58,12.78,,4.63,4.88,9.51,,6.2,6.58,12.78,,,,,,,,44.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,BI,1,1,4,Assembly,pcswsr1bi11,4,5,extra time to passing wires for XO housing,0.39,1,0.39,,,5,,,6.07,,,,,,,6.07,,,7.58,7.58,,,6.07,6.07,,,7.58,7.58,,,,,,,,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,BI,1,2,4,Assembly,pcswsr1bi12,4,1,connect 2 ballasts together (4 wires each),0.48,1,0.48,,,6,,,7.35,,,,,,,7.35,,,8.85,8.85,,,7.35,7.35,,,8.85,8.85,,,,,,,,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,BI,1,2,4,Assembly,pcswsr1bi12,4,2,"take 4 wires, plug in connector, place, put tie-wrap",0.56,2,1.12,,,2,15.8,16.5,47.32,,,,,,,79.62,31.04,30.54,67.68,129.26,15.8,16.5,47.32,79.62,31.04,30.54,67.68,129.26,2,2,2,2,2,2,12,429.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,BI,1,2,4,Assembly,pcswsr1bi12,4,3,bring power wires to main exit,0.1,1,0.1,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,BI,1,2,4,Assembly,pcswsr1bi12,4,4,bring wires to exit for system-run,0.1,1,0.1,,,1,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,BI,1,2,4,Assembly,pcswsr1bi12,4,5,extra time to passing wires for XO housing,0.9,1,0.9,,,2,2.56,2.61,0.5,,,,,,,5.67,6.18,5.73,4.12,16.03,2.56,2.61,0.5,5.67,6.18,5.73,4.12,16.03,0.5,0.5,0.5,0.5,0.5,0.5,3,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,BI,2,2,4,Assembly,pcswsr1bi22,4,1,plug connector on each 4 wires of 1 ballast,0.24,4,0.96,,,4,4,4.2,4.6,,,,,,,12.8,5.46,5.76,6.46,17.68,4,4.2,4.6,12.8,5.46,5.76,6.46,17.68,,,,,,,,60.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,BI,2,2,4,Assembly,pcswsr1bi22,4,2,"take 4 wires, plug in connector, place, put tie-wrap",0.56,4,2.24,,,6,,,4.94,,,,,,,4.94,,,6.6,6.6,,,4.94,4.94,,,6.6,6.6,,,,,,,,23.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,BI,2,2,4,Assembly,pcswsr1bi22,4,3,bring power wires to main exit,0.1,4,0.4,,,10,,,8.41,,,,,,,8.41,,,9.33,9.33,,,8.41,8.41,,,9.33,9.33,,,,,,,,35.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,BI,2,2,4,Assembly,pcswsr1bi22,4,4,identify wires circuits,0.15,4,0.6,,,ERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,BI,2,2,4,Assembly,pcswsr1bi22,4,5,extra time to passing wires for XO housing,2.1,1,2.1,,,1,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,BI,2A/B,2,4,Assembly,pcswsr1bi22,4,1,plug connector on each 4 wires of 1 ballast,0.24,4,0.96,,,2,3.06,3.21,0.5,,,,,,,6.77,10.3,9.45,4.12,23.87,3.06,3.21,0.5,6.77,10.3,9.45,4.12,23.87,0.5,0.5,0.5,0.5,0.5,0.5,3,64.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,BI,2A/B,2,4,Assembly,pcswsr1bi22,4,2,"take 4 wires, plug in connector, place, put tie-wrap",0.56,4,2.24,,,4,6.18,6.48,6.98,,,,,,,19.64,9.1,9.6,10.5,29.2,6.18,6.48,6.98,19.64,9.1,9.6,10.5,29.2,,,,,,,,97.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,BI,2A/B,2,4,Assembly,pcswsr1bi22,4,3,bring power wires to main exit,0.1,4,0.4,,,6,,,7.68,,,,,,,7.68,,,11,11,,,7.68,7.68,,,11,11,,,,,,,,37.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,BI,2A/B,2,4,Assembly,pcswsr1bi22,4,4,identify wires circuits,0.15,4,0.6,,,10,,,13.71,,,,,,,13.71,,,15.55,15.55,,,13.71,13.71,,,15.55,15.55,,,,,,,,58.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR1,BI,2A/B,2,4,Assembly,pcswsr1bi22,4,5,extra time to passing wires for XO housing,2.1,1,2.1,,,2A/B,15.8,16.5,47.32,,,,,,,79.62,31.04,30.54,67.68,129.26,15.8,16.5,47.32,79.62,31.04,30.54,67.68,129.26,2,2,2,2,2,2,12,429.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,BI,1,1,4,Assembly,pcswsrebi11,4,1,bring power wires to main exit,0.1,1,0.1,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,BI,1,1,4,Assembly,pcswsrebi11,4,2,extra time to passing wires for XO housing,0.03,1,0.03,,,1,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,BI,1,2,4,Assembly,pcswsrebi12,4,1,connect 2 ballasts together (4 wires each),0.48,1,0.48,,,2,2.56,2.61,0.5,,,,,,,5.67,6.18,5.73,4.12,16.03,2.56,2.61,0.5,5.67,6.18,5.73,4.12,16.03,0.5,0.5,0.5,0.5,0.5,0.5,3,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,BI,1,2,4,Assembly,pcswsrebi12,4,2,"take 4 wires, plug in connector, place, put tie-wrap",0.56,1,0.56,,,4,4,4.2,4.6,,,,,,,12.8,5.46,5.76,6.46,17.68,4,4.2,4.6,12.8,5.46,5.76,6.46,17.68,,,,,,,,60.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,BI,1,2,4,Assembly,pcswsrebi12,4,3,bring power wires to main exit,0.1,1,0.1,,,6,,,4.94,,,,,,,4.94,,,6.6,6.6,,,4.94,4.94,,,6.6,6.6,,,,,,,,23.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,BI,1,2,4,Assembly,pcswsrebi12,4,4,extra time to passing wires for XO housing,0.57,1,0.57,,,10,,,8.41,,,,,,,8.41,,,9.33,9.33,,,8.41,8.41,,,9.33,9.33,,,,,,,,35.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
