 Family Product , Optic , Work Center , Option , Length , ID , Task , Time (min) 
B2LED,RG,Preparation,aoptic1,8,1,Clean lens,0.26
B2LED,RG,Preparation,aoptic1,12,1,Clean lens,0.36
B2LED,S,Preparation,aoptic1,4,1,Clean lens,0.16
B2LED,S,Preparation,aoptic1,8,1,Clean lens,0.26
B2LED,S,Preparation,aoptic1,12,1,Clean lens,0.36
B2LED,SO,Preparation,aoptic1,4,1,Clean lens,0.16
B2LED,SO,Preparation,aoptic1,8,1,Clean lens,0.26
B2LED,SO,Preparation,aoptic1,12,1,Clean lens,0.36
B2LED,1.5M,Assembly,aoptic1,4,2,Assy lens on housing,0.4425
B2LED,1.5M,Assembly,aoptic1,8,2,Assy lens on housing,0.556666667
B2LED,1.5M,Assembly,aoptic1,12,2,Assy lens on housing,0.906
B2LED,1.5M,Preparation,aoptic1,4,1,Clean lens,0.16
B2LED,1.5M,Preparation,aoptic1,8,1,Clean lens,0.26
B2LED,1.5M,Preparation,aoptic1,12,1,Clean lens,0.36
B2S,SO,Assembly,aoptic1,4,1,clean lens,0.16
B2S,SO,Assembly,aoptic2,4,2,assy lens on housing,0.44
B2S,SO,Assembly,aoptic3,8,1,clean lens,0.26
B2S,SO,Assembly,aoptic4,8,2,assy lens on housing,0.56
B2S,SO,Assembly,aoptic5,12,1,clean lens,0.36
B2S,SO,Assembly,aoptic6,12,2,assy lens on housing,0.91
B2S,0.25G,Assembly,aoptic1,4,1,clean lens,0.16
B2S,0.25G,Assembly,aoptic2,4,2,assy lens on housing,0.4425
B2S,0.25G,Assembly,aoptic3,8,1,clean lens,0.26
B2S,0.25G,Assembly,aoptic4,8,2,assy lens on housing,0.56
B2S,0.25G,Assembly,aoptic5,12,1,clean lens,0.36
B2S,0.25G,Assembly,aoptic6,12,2,assy lens on housing,0.91
B2S,SL,Assembly,aoptic1,4,1,clean lens,0.16
B2S,SL,Assembly,aoptic2,4,2,assy lens on housing,0.4425
B2S,SL,Assembly,aoptic3,8,1,clean lens,0.26
B2S,SL,Assembly,aoptic4,8,2,assy lens on housing,0.56
B2S,SL,Assembly,aoptic5,12,1,clean lens,0.36
B2S,SL,Assembly,aoptic6,12,2,assy lens on housing,0.91
B2S,SLA,Assembly,aoptic1,4,1,clean lens,0.16
B2S,SLA,Assembly,aoptic2,4,2,assy lens on housing,0.4425
B2S,SLA,Assembly,aoptic3,8,1,clean lens,0.26
B2S,SLA,Assembly,aoptic4,8,2,assy lens on housing,0.56
B2S,SLA,Assembly,aoptic5,12,1,clean lens,0.36
B2S,SLA,Assembly,aoptic6,12,2,assy lens on housing,0.91
B2S,L,Assembly,aoptic1,4,1,clean lens,0.26
B2S,L,Assembly,aoptic2,4,2,assy lens on housing,0.41
B2S,L,Assembly,aoptic3,8,1,clean lens,0.25
B2S,L,Assembly,aoptic4,8,2,assy lens on housing,0.82
B2S,L,Assembly,aoptic5,12,1,clean lens,0.78
B2S,L,Assembly,aoptic6,12,2,assy lens on housing,1.23
B3LED,B,Assembly,aoptic5,4,1,Clip blank cover,0.3
B3LED,B,Assembly,aoptic5,8,1,Clip blank cover,0.45
B3LED,B,Assembly,aoptic5,12,1,Clip blank cover,0.6
B3LED,C,Assembly,aoptic1,4,2,Assy lens on housing,0.4425
B3LED,C,Assembly,aoptic1,8,2,Assy lens on housing,0.556666667
B3LED,C,Assembly,aoptic1,12,2,Assy lens on housing,0.906
B3LED,F,Assembly,aoptic1,4,2,Assy lens on housing,0.4425
B3LED,F,Assembly,aoptic1,8,2,Assy lens on housing,0.556666667
B3LED,F,Assembly,aoptic1,12,2,Assy lens on housing,0.906
B3LED,FL,Assembly,aoptic1,4,2,Assy lens on housing,0.4425
B3LED,FL,Assembly,aoptic1,8,2,Assy lens on housing,0.556666667
B3LED,FL,Assembly,aoptic1,12,2,Assy lens on housing,0.906
B3LED,NO,Assembly,aoptic0,4,1,No lens,0
B3LED,NO,Assembly,aoptic0,8,1,No lens,0
B3LED,NO,Assembly,aoptic0,12,1,No lens,0
B3LED,PL,Assembly,aoptic3,4,2,Clip louver on housing,0.41
B3LED,PL,Assembly,aoptic3,8,2,Clip louver on housing,0.82
B3LED,PL,Assembly,aoptic3,12,2,Clip louver on housing,1.23
B3LED,RG,Assembly,aoptic1,4,2,Assy lens on housing,0.4425
B3LED,RG,Assembly,aoptic1,8,2,Assy lens on housing,0.556666667
B3LED,RG,Assembly,aoptic1,12,2,Assy lens on housing,0.906
B3LED,S,Assembly,aoptic1,4,2,Assy lens on housing,0.4425
B3LED,S,Assembly,aoptic1,8,2,Assy lens on housing,0.556666667
B3LED,S,Assembly,aoptic1,12,2,Assy lens on housing,0.906
B3LED,SO,Assembly,aoptic1,4,2,Assy lens on housing,0.4425
B3LED,SO,Assembly,aoptic1,8,2,Assy lens on housing,0.556666667
B3LED,SO,Assembly,aoptic1,12,2,Assy lens on housing,0.906
B3LED,WW,Assembly,optic26,4,1,clip angle flange,0.166666667
B3LED,WW,Assembly,optic26,4,2,clip 2 covers on body housing,0.3
B3LED,WW,Assembly,optic26,4,3,open sub-ass'y (4ft),1
B3LED,WW,Assembly,optic26,8,1,clip angle flange,0.333333333
B3LED,WW,Assembly,optic26,8,2,clip 2 covers on body housing,0.3
B3LED,WW,Assembly,optic26,8,3,open sub-ass'y (4ft),2
B3LED,WW,Assembly,optic26,12,1,clip angle flange,0.5
B3LED,WW,Assembly,optic26,12,2,clip 2 covers on body housing,0.3
B3LED,WW,Assembly,optic26,12,3,open sub-ass'y (4ft),3
B3LED,SW,Assembly,optic27,4,1,clip angle flange,0.166666667
B3LED,SW,Assembly,optic27,4,2,clip 2 covers on body housing,0.3
B3LED,SW,Assembly,optic27,4,3,open sub-ass'y (4ft),1
B3LED,SW,Assembly,optic27,4,5,clip lens,0.166666667
B3LED,SW,Assembly,optic27,8,1,clip angle flange,0.333333333
B3LED,SW,Assembly,optic27,8,2,clip 2 covers on body housing,0.3
B3LED,SW,Assembly,optic27,8,3,open sub-ass'y (4ft),2
B3LED,SW,Assembly,optic27,8,5,clip lens,0.333333333
B3LED,SW,Assembly,optic27,12,1,clip angle flange,0.5
B3LED,SW,Assembly,optic27,12,2,clip 2 covers on body housing,0.3
B3LED,SW,Assembly,optic27,12,3,open sub-ass'y (4ft),3
B3LED,SW,Assembly,optic27,12,5,clip lens,0.5
B3LED,A,Assembly,optic28,4,1,fix 2 brkt for deflector & place,0.3
B3LED,A,Assembly,optic28,4,2,slide 2 deflector brkts on body housing,0.123
B3LED,A,Assembly,optic28,4,3,remove plastic film on deflector,0.21
B3LED,A,Assembly,optic28,4,4,place deflector & fix with 2 screws,0.493
B3LED,A,Assembly,optic28,4,5,clip flange extrusion on body,0.166666667
B3LED,A,Assembly,optic28,8,1,fix 2 brkt for deflector & place,0.6
B3LED,A,Assembly,optic28,8,2,slide 2 deflector brkts on body housing,0.246
B3LED,A,Assembly,optic28,8,3,remove plastic film on deflector,0.42
B3LED,A,Assembly,optic28,8,4,place deflector & fix with 2 screws,0.986
B3LED,A,Assembly,optic28,8,5,clip flange extrusion on body,0.333333333
B3LED,A,Assembly,optic28,12,1,fix 2 brkt for deflector & place,0.9
B3LED,A,Assembly,optic28,12,2,slide 2 deflector brkts on body housing,0.369
B3LED,A,Assembly,optic28,12,3,remove plastic film on deflector,0.63
B3LED,A,Assembly,optic28,12,4,place deflector & fix with 2 screws,1.479
B3LED,A,Assembly,optic28,12,5,clip flange extrusion on body,0.5
B3LED,C,Preparation,aoptic1,4,1,Clean lens,0.16
B3LED,C,Preparation,aoptic1,8,1,Clean lens,0.26
B3LED,C,Preparation,aoptic1,12,1,Clean lens,0.36
B3LED,F,Preparation,aoptic1,4,1,Clean lens,0.16
B3LED,F,Preparation,aoptic1,8,1,Clean lens,0.26
B3LED,F,Preparation,aoptic1,12,1,Clean lens,0.36
B3LED,FL,Preparation,aoptic1,4,1,Clean lens,0.16
B3LED,FL,Preparation,aoptic1,8,1,Clean lens,0.26
B3LED,FL,Preparation,aoptic1,12,1,Clean lens,0.36
B3LED,PL,Preparation,aoptic3,4,1,Unwrap louver,0.26
B3LED,PL,Preparation,aoptic3,8,1,Unwrap louver,0.52
B3LED,PL,Preparation,aoptic3,12,1,Unwrap louver,0.78
B3LED,RG,Preparation,aoptic1,4,1,Clean lens,0.16
B3LED,RG,Preparation,aoptic1,8,1,Clean lens,0.26
B3LED,RG,Preparation,aoptic1,12,1,Clean lens,0.36
B3LED,S,Preparation,aoptic1,4,1,Clean lens,0.16
B3LED,S,Preparation,aoptic1,8,1,Clean lens,0.26
B3LED,S,Preparation,aoptic1,12,1,Clean lens,0.36
B3LED,SO,Preparation,aoptic1,4,1,Clean lens,0.16
B3LED,SO,Preparation,aoptic1,8,1,Clean lens,0.26
B3LED,SO,Preparation,aoptic1,12,1,Clean lens,0.36
B3LED,SW,Preparation,optic27,4,4,clean lens,0
B3LED,SW,Preparation,optic27,8,4,clean lens,0
B3LED,SW,Preparation,optic27,12,4,clean lens,0
B3LED,1.5M,Assembly,aoptic1,4,2,Assy lens on housing,0.4425
B3LED,1.5M,Assembly,aoptic1,8,2,Assy lens on housing,0.556666667
B3LED,1.5M,Assembly,aoptic1,12,2,Assy lens on housing,0.906
B3LED,1.5M,Preparation,aoptic1,4,1,Clean lens,0.16
B3LED,1.5M,Preparation,aoptic1,8,1,Clean lens,0.26
B3LED,1.5M,Preparation,aoptic1,12,1,Clean lens,0.36
B4LED,B,Assembly,aoptic5,4,1,Clip blank cover,0.3
B4LED,B,Assembly,aoptic5,8,1,Clip blank cover,0.45
B4LED,B,Assembly,aoptic5,12,1,Clip blank cover,0.6
B4LED,C,Assembly,aoptic1,4,2,Assy lens on housing,0.4425
B4LED,C,Assembly,aoptic1,8,2,Assy lens on housing,0.556666667
B4LED,C,Assembly,aoptic1,12,2,Assy lens on housing,0.906
B4LED,F,Assembly,aoptic1,4,2,Assy lens on housing,0.4425
B4LED,F,Assembly,aoptic1,8,2,Assy lens on housing,0.556666667
B4LED,F,Assembly,aoptic1,12,2,Assy lens on housing,0.906
B4LED,FL,Assembly,aoptic1,4,2,Assy lens on housing,0.4425
B4LED,FL,Assembly,aoptic1,8,2,Assy lens on housing,0.556666667
B4LED,FL,Assembly,aoptic1,12,2,Assy lens on housing,0.906
B4LED,NO,Assembly,aoptic0,4,1,No lens,0
B4LED,NO,Assembly,aoptic0,8,1,No lens,0
B4LED,NO,Assembly,aoptic0,12,1,No lens,0
B4LED,PL,Assembly,aoptic3,4,2,Clip louver on housing,0.41
B4LED,PL,Assembly,aoptic3,8,2,Clip louver on housing,0.82
B4LED,PL,Assembly,aoptic3,12,2,Clip louver on housing,1.23
B4LED,RG,Assembly,aoptic1,4,2,Assy lens on housing,0.4425
B4LED,RG,Assembly,aoptic1,8,2,Assy lens on housing,0.556666667
B4LED,RG,Assembly,aoptic1,12,2,Assy lens on housing,0.906
B4LED,S,Assembly,aoptic1,4,2,Assy lens on housing,0.4425
B4LED,S,Assembly,aoptic1,8,2,Assy lens on housing,0.556666667
B4LED,S,Assembly,aoptic1,12,2,Assy lens on housing,0.906
B4LED,SO,Assembly,aoptic1,4,2,Assy lens on housing,0.4425
B4LED,SO,Assembly,aoptic1,8,2,Assy lens on housing,0.556666667
B4LED,SO,Assembly,aoptic1,12,2,Assy lens on housing,0.906
B4LED,C,Preparation,aoptic1,4,1,Clean lens,0.16
B4LED,C,Preparation,aoptic1,8,1,Clean lens,0.26
B4LED,C,Preparation,aoptic1,12,1,Clean lens,0.36
B4LED,F,Preparation,aoptic1,4,1,Clean lens,0.16
B4LED,F,Preparation,aoptic1,8,1,Clean lens,0.26
B4LED,F,Preparation,aoptic1,12,1,Clean lens,0.36
B4LED,FL,Preparation,aoptic1,4,1,Clean lens,0.16
B4LED,FL,Preparation,aoptic1,8,1,Clean lens,0.26
B4LED,FL,Preparation,aoptic1,12,1,Clean lens,0.36
B4LED,PL,Preparation,aoptic3,4,1,Unwrap louver,0.26
B4LED,PL,Preparation,aoptic3,8,1,Unwrap louver,0.52
B4LED,PL,Preparation,aoptic3,12,1,Unwrap louver,0.78
B4LED,RG,Preparation,aoptic1,4,1,Clean lens,0.16
B4LED,RG,Preparation,aoptic1,8,1,Clean lens,0.26
B4LED,RG,Preparation,aoptic1,12,1,Clean lens,0.36
B4LED,S,Preparation,aoptic1,4,1,Clean lens,0.16
B4LED,S,Preparation,aoptic1,8,1,Clean lens,0.26
B4LED,S,Preparation,aoptic1,12,1,Clean lens,0.36
B4LED,SO,Preparation,aoptic1,4,1,Clean lens,0.16
B4LED,SO,Preparation,aoptic1,8,1,Clean lens,0.26
B4LED,SO,Preparation,aoptic1,12,1,Clean lens,0.36
B4LED,1.5M,Assembly,aoptic1,4,2,Assy lens on housing,0.4425
B4LED,1.5M,Assembly,aoptic1,8,2,Assy lens on housing,0.556666667
B4LED,1.5M,Assembly,aoptic1,12,2,Assy lens on housing,0.906
B4LED,1.5M,Preparation,aoptic1,4,1,Clean lens,0.16
B4LED,1.5M,Preparation,aoptic1,8,1,Clean lens,0.26
B4LED,1.5M,Preparation,aoptic1,12,1,Clean lens,0.36
B4SLED,B,Assembly,aoptic5,4,1,Clip blank cover,0.3
B4SLED,B,Assembly,aoptic5,8,1,Clip blank cover,0.45
B4SLED,B,Assembly,aoptic5,12,1,Clip blank cover,0.6
B4SLED,C,Assembly,aoptic1,4,2,Assy lens on housing,0.4425
B4SLED,C,Assembly,aoptic1,8,2,Assy lens on housing,0.556666667
B4SLED,C,Assembly,aoptic1,12,2,Assy lens on housing,0.906
B4SLED,F,Assembly,aoptic1,4,2,Assy lens on housing,0.4425
B4SLED,F,Assembly,aoptic1,8,2,Assy lens on housing,0.556666667
B4SLED,F,Assembly,aoptic1,12,2,Assy lens on housing,0.906
B4SLED,FL,Assembly,aoptic1,4,2,Assy lens on housing,0.4425
B4SLED,FL,Assembly,aoptic1,8,2,Assy lens on housing,0.556666667
B4SLED,FL,Assembly,aoptic1,12,2,Assy lens on housing,0.906
B4SLED,NO,Assembly,aoptic0,4,1,No lens,0
B4SLED,NO,Assembly,aoptic0,8,1,No lens,0
B4SLED,NO,Assembly,aoptic0,12,1,No lens,0
B4SLED,PL,Assembly,aoptic3,4,2,Clip louver on housing,0.41
B4SLED,PL,Assembly,aoptic3,8,2,Clip louver on housing,0.82
B4SLED,PL,Assembly,aoptic3,12,2,Clip louver on housing,1.23
B4SLED,RG,Assembly,aoptic1,4,2,Assy lens on housing,0.4425
B4SLED,RG,Assembly,aoptic1,8,2,Assy lens on housing,0.556666667
B4SLED,RG,Assembly,aoptic1,12,2,Assy lens on housing,0.906
B4SLED,S,Assembly,aoptic1,4,2,Assy lens on housing,0.4425
B4SLED,S,Assembly,aoptic1,8,2,Assy lens on housing,0.556666667
B4SLED,S,Assembly,aoptic1,12,2,Assy lens on housing,0.906
B4SLED,SO,Assembly,aoptic1,4,2,Assy lens on housing,0.4425
B4SLED,SO,Assembly,aoptic1,8,2,Assy lens on housing,0.556666667
B4SLED,SO,Assembly,aoptic1,12,2,Assy lens on housing,0.906
B4SLED,NO,Assembly,aoptic31,4,1,clean guide light,0.16
B4SLED,NO,Assembly,aoptic31,4,2,place on housing,0.3
B4SLED,NO,Assembly,aoptic31,4,3,place & clip 2 plastic boards retainer,0.59
B4SLED,NO,Assembly,aoptic31,4,4,"place & screw guide light end brkt (2 brkt, 2 screws each)",0.46
B4SLED,NO,Assembly,aoptic31,8,1,clean guide light,0.32
B4SLED,NO,Assembly,aoptic31,8,2,place on housing,0.6
B4SLED,NO,Assembly,aoptic31,8,3,place & clip 2 plastic boards retainer,1.18
B4SLED,NO,Assembly,aoptic31,8,4,"place & screw guide light end brkt (2 brkt, 2 screws each)",0.92
B4SLED,NO,Assembly,aoptic31,12,1,clean guide light,0.48
B4SLED,NO,Assembly,aoptic31,12,2,place on housing,0.9
B4SLED,NO,Assembly,aoptic31,12,3,place & clip 2 plastic boards retainer,1.77
B4SLED,NO,Assembly,aoptic31,12,4,"place & screw guide light end brkt (2 brkt, 2 screws each)",1.38
B4SLED,SO,Assembly,aoptic31,4,1,clean guide light,0.16
B4SLED,SO,Assembly,aoptic31,4,2,place on housing,0.3
B4SLED,SO,Assembly,aoptic31,4,3,place & clip 2 plastic boards retainer,0.59
B4SLED,SO,Assembly,aoptic31,4,4,"place & screw guide light end brkt (2 brkt, 2 screws each)",0.46
B4SLED,SO,Assembly,aoptic31,8,1,clean guide light,0.32
B4SLED,SO,Assembly,aoptic31,8,2,place on housing,0.6
B4SLED,SO,Assembly,aoptic31,8,3,place & clip 2 plastic boards retainer,1.18
B4SLED,SO,Assembly,aoptic31,8,4,"place & screw guide light end brkt (2 brkt, 2 screws each)",0.92
B4SLED,SO,Assembly,aoptic31,12,1,clean guide light,0.48
B4SLED,SO,Assembly,aoptic31,12,2,place on housing,0.9
B4SLED,SO,Assembly,aoptic31,12,3,place & clip 2 plastic boards retainer,1.77
B4SLED,SO,Assembly,aoptic31,12,4,"place & screw guide light end brkt (2 brkt, 2 screws each)",1.38
B4SLED,C,Preparation,aoptic1,4,1,Clean lens,0.16
B4SLED,C,Preparation,aoptic1,8,1,Clean lens,0.26
B4SLED,C,Preparation,aoptic1,12,1,Clean lens,0.36
B4SLED,F,Preparation,aoptic1,4,1,Clean lens,0.16
B4SLED,F,Preparation,aoptic1,8,1,Clean lens,0.26
B4SLED,F,Preparation,aoptic1,12,1,Clean lens,0.36
B4SLED,FL,Preparation,aoptic1,4,1,Clean lens,0.16
B4SLED,FL,Preparation,aoptic1,8,1,Clean lens,0.26
B4SLED,FL,Preparation,aoptic1,12,1,Clean lens,0.36
B4SLED,PL,Preparation,aoptic3,4,1,Unwrap louver,0.26
B4SLED,PL,Preparation,aoptic3,8,1,Unwrap louver,0.52
B4SLED,PL,Preparation,aoptic3,12,1,Unwrap louver,0.78
B4SLED,RG,Preparation,aoptic1,4,1,Clean lens,0.16
B4SLED,RG,Preparation,aoptic1,8,1,Clean lens,0.26
B4SLED,RG,Preparation,aoptic1,12,1,Clean lens,0.36
B4SLED,S,Preparation,aoptic1,4,1,Clean lens,0.16
B4SLED,S,Preparation,aoptic1,8,1,Clean lens,0.26
B4SLED,S,Preparation,aoptic1,12,1,Clean lens,0.36
B4SLED,SO,Preparation,aoptic1,4,1,Clean lens,0.16
B4SLED,SO,Preparation,aoptic1,8,1,Clean lens,0.26
B4SLED,SO,Preparation,aoptic1,12,1,Clean lens,0.36
B4SLED,1.5M,Assembly,aoptic1,4,2,Assy lens on housing,0.4425
B4SLED,1.5M,Assembly,aoptic1,8,2,Assy lens on housing,0.556666667
B4SLED,1.5M,Assembly,aoptic1,12,2,Assy lens on housing,0.906
B4SLED,1.5M,Preparation,aoptic1,4,1,Clean lens,0.16
B4SLED,1.5M,Preparation,aoptic1,8,1,Clean lens,0.26
B4SLED,1.5M,Preparation,aoptic1,12,1,Clean lens,0.36
B6LED,B,Assembly,aoptic5,4,1,Clip blank cover,0.3
B6LED,B,Assembly,aoptic5,8,1,Clip blank cover,0.45
B6LED,B,Assembly,aoptic5,12,1,Clip blank cover,0.6
B6LED,C,Assembly,aoptic1,4,2,Assy lens on housing,0.4425
B6LED,C,Assembly,aoptic1,8,2,Assy lens on housing,0.556666667
B6LED,C,Assembly,aoptic1,12,2,Assy lens on housing,0.906
B6LED,F,Assembly,aoptic1,4,2,Assy lens on housing,0.4425
B6LED,F,Assembly,aoptic1,8,2,Assy lens on housing,0.556666667
B6LED,F,Assembly,aoptic1,12,2,Assy lens on housing,0.906
B6LED,FL,Assembly,aoptic1,4,2,Assy lens on housing,0.4425
B6LED,FL,Assembly,aoptic1,8,2,Assy lens on housing,0.556666667
B6LED,FL,Assembly,aoptic1,12,2,Assy lens on housing,0.906
B6LED,NO,Assembly,aoptic0,4,1,No lens,0
B6LED,NO,Assembly,aoptic0,8,1,No lens,0
B6LED,NO,Assembly,aoptic0,12,1,No lens,0
B6LED,PL,Assembly,aoptic3,4,2,Clip louver on housing,0.41
B6LED,PL,Assembly,aoptic3,8,2,Clip louver on housing,0.82
B6LED,PL,Assembly,aoptic3,12,2,Clip louver on housing,1.23
B6LED,RG,Assembly,aoptic1,4,2,Assy lens on housing,0.4425
B6LED,RG,Assembly,aoptic1,8,2,Assy lens on housing,0.556666667
B6LED,RG,Assembly,aoptic1,12,2,Assy lens on housing,0.906
B6LED,S,Assembly,aoptic1,4,2,Assy lens on housing,0.4425
B6LED,S,Assembly,aoptic1,8,2,Assy lens on housing,0.556666667
B6LED,S,Assembly,aoptic1,12,2,Assy lens on housing,0.906
B6LED,C,Preparation,aoptic1,4,1,Clean lens,0.16
